Sample_geo_accession	Condition	Group
GSM3553701	LPS + IFNy	Wildtype Healthy Control
GSM3553702	LPS + IFNy	Wildtype Healthy Control
GSM3553705	LPS + IFNy	Wildtype Healthy Control
GSM3553706	LPS + IFNy	Wildtype Healthy Control
GSM3553709	LPS + IFNy	Wildtype Healthy Control
GSM3553710	LPS + IFNy	Wildtype Healthy Control
GSM3553689	control	Wildtype Healthy Control
GSM3553690	control	Wildtype Healthy Control
GSM3553693	control	Wildtype Healthy Control
GSM3553694	control	Wildtype Healthy Control
GSM3553697	control	Wildtype Healthy Control
GSM3553698	control	Wildtype Healthy Control
GSM3553699	LPS + IFNy	Diabetic mice
GSM3553700	LPS + IFNy	Diabetic mice
GSM3553703	LPS + IFNy	Diabetic mice
GSM3553704	LPS + IFNy	Diabetic mice
GSM3553707	LPS + IFNy	Diabetic mice
GSM3553708	LPS + IFNy	Diabetic mice
GSM3553687	control	Diabetic mice
GSM3553688	control	Diabetic mice
GSM3553691	control	Diabetic mice
GSM3553692	control	Diabetic mice
GSM3553695	control	Diabetic mice
GSM3553696	control	Diabetic mice
