Sample_geo_accession	Condition	Group
GSM4178128	control	Myocardium
GSM4178129	control	Myocardium
GSM4178130	control	Myocardium
GSM4178131	control	Myocardium
GSM4178132	control	Myocardium
GSM4178123	NPRA-/-: myocardium-specific deletion of NPRA	Myocardium
GSM4178124	NPRA-/-: myocardium-specific deletion of NPRA	Myocardium
GSM4178125	NPRA-/-: myocardium-specific deletion of NPRA	Myocardium
GSM4178126	NPRA-/-: myocardium-specific deletion of NPRA	Myocardium
GSM4178127	NPRA-/-: myocardium-specific deletion of NPRA	Myocardium
