,Filename,Species,Description,Downloads
0,human_rna_pval,Homo sapiens,RNA-seq p-values,"t2d-datasets/VERSION/rna_human_pval.f,t2d-datasets/VERSION/rna_human_pval.csv"
1,mouse_rna_pval,Mus musculus,RNA-seq p-values,"t2d-datasets/VERSION/rna_mouse_pval.f,t2d-datasets/VERSION/rna_mouse_pval.csv"
2,human_micro_pval,Homo sapiens,Microarray p-values,"t2d-datasets/VERSION/micro_human_pval.f,t2d-datasets/VERSION/micro_human_pval.csv"
3,mouse_micro_pval,Mus musculus,Microarray p-values,"t2d-datasets/VERSION/micro_mouse_pval.f,t2d-datasets/VERSION/micro_mouse_pval.csv"
