Sample_geo_accession	Condition	Group
GSM2345461	control	Islets: FACS-purified beta cells
GSM2345462	control	Islets: FACS-purified beta cells
GSM2345463	control	Islets: FACS-purified beta cells
GSM2345464	 P7	Islets: FACS-purified beta cells
GSM2345465	 P7	Islets: FACS-purified beta cells
GSM2345466	 P7	Islets: FACS-purified beta cells
GSM2345467	 P14	Islets: FACS-purified beta cells
GSM2345468	 P14	Islets: FACS-purified beta cells
GSM2345469	 P14	Islets: FACS-purified beta cells
GSM2345470	 P14	Islets: FACS-purified beta cells
GSM2345471	 P21	Islets: FACS-purified beta cells
GSM2345472	 P21	Islets: FACS-purified beta cells
GSM2345473	 P21	Islets: FACS-purified beta cells
