	GSM2345472	GSM2345460	GSM2345464	GSM2345473	GSM2345470	GSM2345461	GSM2345466	GSM2345463	GSM2345469	GSM2345471	GSM2345462	GSM2345465	GSM2345468	GSM2345467	GSM2345459
Tgfbr1	696	1637	1060	850	253	1348	2051	1543	1465	703	976	2327	615	317	1566
Tgfbr2	14	33	61	9	11	49	41	49	52	7	128	38	57	14	24
Tgfbr3	135	109	146	133	55	126	261	345	229	138	143	230	91	64	86
Tgfbr3l	23	62	18	16	3	26	26	79	24	17	12	34	11	14	31
Tgfbrap1	946	911	1094	552	571	773	1457	804	1297	478	724	1449	1091	599	859
Tgif1	6	31	71	6	16	56	68	114	80	7	80	86	55	19	31
Tgif1-ps	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgif2	46	172	334	34	56	177	385	267	102	34	30	390	84	91	103
Tgif2-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgif2-ps2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Tgif2lx1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgif2lx2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgm1	0	5	3	0	0	3	4	9	1	1	4	9	0	1	4
Tgm2	69	123	60	20	44	156	68	341	128	21	44	100	202	65	134
Tgm3	1	3	15	2	7	7	23	4	4	2	6	10	7	3	0
Tgm4	7	7	5	0	5	1	6	10	5	3	4	6	4	3	2
Tgm5	26	13	14	5	9	17	14	18	14	11	2	37	17	9	10
Tgm6	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Tgm7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Tgoln1	5412	3741	5371	4197	2275	4785	7585	4349	7524	3070	4322	8119	4215	2212	4025
Tgs1	89	271	54	93	37	97	122	130	163	101	153	154	58	31	204
Tgtp1	0	0	0	5	0	4	13	0	83	0	34	0	18	0	0
Tgtp2	4	2	13	3	1	0	0	0	20	0	0	5	29	6	0
Th	991	300	1067	343	976	607	1108	468	1013	341	410	857	1241	1256	314
