	GSM2517014	GSM2517015	GSM2517016	GSM2517017	GSM2517018	GSM2517019	GSM2517020	GSM2517021	GSM2517022	GSM2517023	GSM2517024	GSM2517025
Fmo5	81	24	23	6	236	109	119	192	116	112	105	146
Fmo6	1	0	0	0	4	1	1	0	2	2	0	0
Fmo9	0	0	0	0	0	0	0	0	0	0	0	0
Fmod	5	14	6	6	743	41	42	739	42	49	26	269
Fmr1	510	723	571	346	1989	843	882	413	503	550	489	322
Fmr1nb	0	0	0	0	4	1	4	0	0	0	1	0
Fn1	232	62	57	67	11962	897	2444	636	889	1101	312	1215
Fn3k	116	20	17	14	30	157	93	137	79	125	90	124
Fn3krp	102	9	16	9	148	125	154	168	123	125	96	154
Fnbp1	329	213	208	130	941	1030	479	673	380	481	353	619
Fnbp1l	448	289	206	141	344	324	232	183	247	239	145	194
Fnbp4	640	1032	925	528	380	1221	695	873	491	954	621	697
Fnd3c2	0	0	0	2	0	0	0	0	0	0	0	0
Fndc1	23	10	8	9	2079	256	530	119	117	363	75	331
Fndc10	171	128	74	52	115	165	148	311	211	223	185	245
Fndc11	4	2	1	0	8	3	11	7	3	5	3	5
Fndc3a	4814	5854	5277	2646	2103	3741	3764	3152	4323	4009	2820	2523
Fndc3b	1181	1495	1532	714	1495	1164	1683	1134	1377	1431	985	856
Fndc3c1	0	1	0	0	0	0	0	0	1	0	0	0
Fndc4	22	13	10	10	39	14	27	40	13	11	6	18
Fndc5	16	26	27	23	21	47	30	64	46	50	52	67
Fndc7	10	1	1	0	12	8	9	2	0	1	3	3
Fndc8	0	0	0	1	6	2	2	1	0	1	1	2
Fndc9	21	18	24	16	1	15	6	6	3	10	10	2
Fnip1	934	1267	1284	680	543	785	427	341	491	543	325	367
Fnip2	829	1507	1722	809	431	490	454	464	403	461	336	476
Fnta	337	331	285	186	783	382	431	505	347	425	295	405
Fntb	234	80	69	32	204	177	202	353	235	260	206	259
Focad	222	165	147	71	324	269	379	307	340	395	267	237
Folh1	0	0	0	0	265	21	51	13	31	9	15	13
Folr1	151	155	115	59	123	131	150	260	149	214	221	205
Folr2	0	0	0	1	1492	103	297	18	74	73	33	57
Fos	13575	228	178	124	4856	289	699	385	121	265	174	1042
Fosb	29143	510	383	232	1734	102	230	144	19	64	140	414
Fosl1	180	38	31	39	5	0	1	0	0	0	0	1
Fosl2	963	661	489	212	1122	217	236	262	203	272	144	241
Foxa1	51	24	11	9	1	1	0	0	0	2	2	1
Foxa2	601	617	528	299	231	395	482	844	534	632	556	760
Foxa3	43	36	38	11	23	29	37	58	32	62	50	65
Foxb1	0	0	0	0	0	0	0	0	0	0	0	0
Foxb2	0	0	0	0	0	0	0	0	0	0	0	0
Foxc1	10	33	14	16	40	24	9	18	29	14	15	29
Foxc2	4	15	18	7	13	7	8	9	8	2	5	7
Foxd1	0	0	0	0	0	2	0	0	1	0	0	0
Foxd2	0	2	2	0	6	6	1	5	3	2	1	6
Foxd2os	1	1	1	1	7	15	6	10	8	3	5	8
Foxd3	3	4	2	1	6	11	1	33	12	5	7	23
Foxd4	0	0	0	0	2	1	0	0	2	0	1	0
Foxe1	0	0	0	0	0	0	0	0	0	0	0	0
Foxe3	0	0	0	0	0	0	0	0	0	0	0	0
Foxf1	21	66	47	40	6	12	4	64	20	21	10	40
Foxf2	2	5	4	1	4	1	3	0	1	0	0	3
Foxg1	2	0	1	1	0	0	4	6	0	2	2	1
Foxh1	0	1	0	0	0	0	0	0	0	0	0	1
Foxi1	0	0	0	0	0	0	0	0	0	0	0	0
Foxi2	0	0	0	0	0	0	0	0	1	0	0	0
Foxi3	0	0	0	0	0	0	0	0	0	0	0	0
Foxj1	61	7	7	2	4	2	1	8	7	2	1	3
Foxj2	517	554	436	221	312	399	376	521	402	445	360	490
Foxj3	701	1285	1245	625	356	671	433	645	456	702	410	609
Foxk1	564	934	809	404	313	483	398	631	399	438	350	616
Foxk2	464	310	280	131	407	407	451	609	472	565	351	511
Foxl1	0	0	0	0	0	0	1	0	1	0	1	0
Foxl2	0	0	0	0	0	0	0	0	0	0	0	0
Foxl2os	0	0	1	0	0	0	3	1	0	0	1	0
Foxl3	3	4	2	2	15	8	16	36	25	22	24	12
