Sample_geo_accession	Condition	Group
GSM2835517	control	Whole cardiac tissue
GSM2835518	control	Whole cardiac tissue
GSM2835519	control	Whole cardiac tissue
GSM2835512	cTMs Depleted	Whole cardiac tissue
GSM2835513	cTMs Depleted	Whole cardiac tissue
GSM2835514	cTMs Depleted	Whole cardiac tissue
GSM2835515	Mertk-KO	Whole cardiac tissue
GSM2835516	Mertk-KO	Whole cardiac tissue
GSM2835520	LxRαβ DKO	Whole cardiac tissue
GSM2835521	LxRαβ DKO	Whole cardiac tissue
GSM2835522	LxRαβ DKO	Whole cardiac tissue
