gene_symbol	GSM1151233	GSM1151236	GSM1151243	GSM1151239	GSM1151232	GSM1151241	GSM1151237	GSM1151240	GSM1151244	GSM1151242	GSM1151235	GSM1151238	GSM1151234	GSM1151245
0610007P14Rik	8.7890625	8.7109375	8.8515625	8.796875	8.7578125	8.4375	8.6484375	9.0546875	8.796875	8.84375	8.7890625	8.734375	8.828125	8.984375
0610009B22Rik	8.6171875	8.8203125	8.7578125	8.6953125	8.921875	8.6953125	8.4921875	9.0078125	8.671875	8.546875	8.3046875	8.2578125	8.65625	8.6015625
0610009L18Rik	7.28125	7.23046875	6.88671875	6.97265625	6.85546875	7.0703125	7.1171875	7.16015625	7.14453125	7.34375	7.23828125	7.26953125	7.1484375	6.90234375
0610009O20Rik	7.7109375	7.99609375	7.91796875	8.015625	7.90234375	7.7421875	7.6875	7.70703125	7.65234375	7.61328125	7.79296875	7.7734375	7.95703125	7.625
0610010F05Rik	7.140625	7.32421875	7.33203125	7.34765625	7.58984375	7.49609375	7.18359375	7.17578125	7.4921875	7.2421875	7.0625	7.01953125	7.14453125	7.0625
0610010K14Rik	8.484375	8.1875	8.3671875	8.2421875	8.328125	8.0703125	8.0234375	8.625	8.0703125	8.5078125	8.296875	8.359375	8.1484375	8.3828125
0610011F06Rik	8.984375	8.984375	9.015625	8.7265625	8.8515625	9.0703125	8.8515625	8.921875	8.8359375	9.53125	8.8828125	8.9609375	8.9609375	8.140625
0610012G03Rik	8.1015625	7.984375	7.89453125	7.84765625	8.15625	8.1171875	7.78125	8.4140625	8.046875	8.2734375	8.0078125	8.09375	8.078125	7.77734375
0610025J13Rik	5.9921875	5.94921875	5.98828125	5.75	5.66796875	5.90625	6.1171875	5.859375	5.8125	6.32421875	5.95703125	6.125	5.84375	5.63671875
0610030E20Rik	7.66015625	7.3984375	7.81640625	7.4765625	7.6640625	7.6484375	7.51953125	7.56640625	7.6171875	7.828125	7.6484375	7.69140625	7.62109375	7.96484375
0610037L13Rik	7.65234375	7.72265625	7.7265625	7.75390625	7.76171875	7.57421875	7.6953125	7.71484375	7.78125	7.4921875	7.74609375	7.57421875	7.80078125	7.6640625
0610038B21Rik	5.62109375	5.59375	5.6953125	5.671875	5.64453125	5.63671875	5.7109375	5.57421875	5.52734375	5.9296875	6.01171875	5.609375	5.83203125	5.5234375
0610039K10Rik	5.21875	4.85546875	4.9609375	4.5546875	4.70703125	4.92578125	4.890625	4.9921875	4.76171875	5.11328125	4.828125	4.83203125	4.73046875	4.6640625
0610040B10Rik	4.78125	5.484375	5.33984375	4.96875	5.28125	5.04296875	5.02734375	5.10546875	5.08984375	5.2734375	5.5078125	5.35546875	5.4296875	5.34765625
0610040J01Rik	8.171875	8.8515625	8.703125	8.6328125	8.390625	8.3125	8.296875	8.0078125	8.2734375	8.21875	8.3984375	8.2109375	8.34375	7.796875
1110002L01Rik	6.75	6.94921875	7.1328125	7.078125	6.78125	6.8671875	6.8046875	6.47265625	7.203125	6.41015625	6.89453125	6.5859375	7.0234375	6.89453125
1110004E09Rik	7.58984375	7.24609375	7.45703125	7.421875	7.48828125	7.48828125	7.2265625	7.65234375	7.3671875	7.5234375	7.390625	7.29296875	7.53125	7.265625
1110004F10Rik	8.1796875	8.25	8.1953125	8.2109375	8.25	8.34375	8.0234375	8.3359375	8.2421875	8.015625	8.0	7.94921875	8.0390625	8.2421875
1110006O24Rik	7.015625	6.9375	6.87109375	6.95703125	6.72265625	6.84765625	6.8828125	6.9921875	6.83203125	6.921875	6.84765625	6.78125	6.69140625	6.4765625
1110008E08Rik	4.859375	5.0546875	4.890625	4.96484375	5.02734375	5.0703125	4.8828125	5.11328125	5.12890625	5.31640625	5.05078125	4.86328125	4.984375	5.046875
1110008F13Rik	10.1015625	9.421875	9.6953125	9.3046875	9.78125	9.8046875	9.359375	10.09375	9.6171875	10.1640625	9.703125	9.84375	9.65625	9.7734375
1110008L16Rik	7.83203125	7.79296875	7.7109375	7.421875	7.94921875	7.76171875	7.67578125	8.078125	7.63671875	7.953125	7.48046875	7.61328125	7.71875	7.6640625
1110008P14Rik	7.078125	7.18359375	7.23046875	6.8984375	7.015625	6.83984375	6.7578125	7.7265625	6.88671875	7.34375	6.82421875	6.796875	6.984375	6.72265625
1110012L19Rik	5.61328125	5.958984375	5.72265625	5.953125	6.291015625	5.7890625	5.92578125	5.734375	6.25390625	5.330078125	6.185546875	5.4921875	6.005859375	5.923828125
1110017D15Rik	6.21875	5.96484375	5.79296875	5.921875	5.80078125	5.84375	5.9296875	5.828125	5.82421875	6.0703125	6.28515625	6.0078125	5.9765625	5.921875
1110020C17Rik	4.11328125	4.08984375	4.05859375	4.0546875	4.23046875	4.125	3.9921875	3.4375	4.25390625	4.05859375	3.873046875	3.791015625	3.94921875	4.0
1110032A03Rik	8.328125	8.8125	8.703125	8.640625	9.0078125	8.890625	8.6796875	9.09375	8.6484375	8.4453125	8.5625	8.3671875	8.609375	8.5625
1110032F04Rik	4.953125	4.4609375	4.4765625	4.671875	4.4375	4.65234375	4.64453125	4.7421875	4.625	4.8671875	4.85546875	4.90234375	4.8125	4.96484375
1110034G24Rik	5.828125	6.16015625	5.96875	5.984375	6.09375	5.74609375	5.66796875	5.86328125	5.95703125	5.37890625	5.71875	5.69140625	6.09375	5.7109375
1110035H17Rik	5.23046875	5.87109375	5.8046875	5.3203125	5.578125	5.45703125	5.4296875	5.33203125	5.359375	5.5859375	5.37890625	5.375	5.51171875	5.5234375
1110037F02Rik	7.045572916666667	7.580729166666667	7.54296875	7.713541666666667	7.486979166666667	7.579427083333333	7.3828125	7.153645833333333	7.559895833333333	6.903645833333333	7.25390625	7.2890625	7.401041666666667	7.546875
1110038F14Rik	7.08984375	7.23828125	7.015625	7.10546875	7.23828125	7.12109375	7.05859375	6.9609375	7.1953125	6.9921875	7.00390625	7.0625	7.015625	6.90234375
1110051M20Rik	6.87109375	7.36328125	7.2109375	7.36328125	7.34375	7.02734375	7.109375	6.86328125	7.046875	6.4921875	7.2421875	6.72265625	7.41015625	6.84375
1110059E24Rik	6.87890625	7.03515625	7.13671875	7.08203125	7.22265625	6.9453125	7.00390625	6.984375	6.90234375	6.9765625	7.11328125	6.96484375	6.53515625	7.1171875
1110059G10Rik	6.06640625	6.1640625	6.34765625	6.140625	6.28515625	6.1328125	6.1640625	6.375	5.9921875	5.87109375	5.87109375	5.87890625	6.1953125	6.27734375
1110065P20Rik	8.6796875	8.5703125	8.5390625	8.5703125	8.328125	8.53125	8.59375	8.8046875	8.3515625	8.8515625	8.5703125	8.6875	8.40625	8.25
1190002N15Rik	7.46484375	7.33984375	7.3125	7.4609375	7.73828125	7.47265625	7.671875	7.265625	7.71484375	6.7578125	7.6015625	7.43359375	7.90625	7.36328125
1190005I06Rik	5.5859375	5.43359375	5.35546875	5.19140625	5.015625	5.38671875	5.24609375	5.3046875	5.20703125	5.6484375	5.46484375	5.1640625	5.21484375	5.17578125
1190007I07Rik	7.10546875	6.984375	6.66796875	6.38671875	6.609375	6.53515625	6.50390625	6.90234375	6.6171875	7.2421875	6.76953125	6.63671875	6.54296875	6.23046875
1300017J02Rik	5.875	5.72265625	5.625	5.50390625	5.62109375	5.66796875	5.69921875	5.81640625	5.53125	5.9453125	5.73046875	5.75	5.578125	5.61328125
1500002C15Rik	6.25	6.58203125	6.416015625	6.298828125	6.0546875	6.19140625	6.37109375	6.12890625	6.072265625	6.376953125	6.3828125	6.33984375	6.392578125	6.0546875
1500002F19Rik	3.9140625	3.8828125	4.0625	3.8984375	3.818359375	3.994140625	4.0546875	3.95703125	3.939453125	3.857421875	3.787109375	3.841796875	3.900390625	3.9296875
1500009C09Rik	6.4609375	6.140625	6.25	6.296875	6.24609375	6.31640625	6.2265625	5.92578125	6.2578125	6.33984375	6.140625	6.390625	6.1953125	6.2109375
1500011B03Rik	7.17578125	7.421875	7.3046875	7.39453125	7.1015625	7.18359375	7.21875	7.1015625	7.125	7.25390625	7.30859375	7.0546875	7.22265625	7.4140625
1500011K16Rik	6.578125	6.66015625	6.53515625	6.59375	6.625	6.453125	6.5546875	6.4296875	6.46484375	6.46875	6.46484375	6.46875	6.625	6.4375
1500015L24Rik	3.806640625	3.7109375	3.53125	3.673828125	3.6328125	3.6015625	3.697265625	3.462890625	3.525390625	3.734375	3.64453125	3.59765625	3.595703125	3.748046875
