	GSM3625299	GSM3625300	GSM3625302	GSM3625298	GSM3625303	GSM3625306	GSM3625305	GSM3625301	GSM3625304
Gm2889	6.19921875	6.33203125	6.22265625	6.1328125	6.203125	6.3515625	6.19921875	5.96484375	6.2421875
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	3.78515625	3.88671875	3.603515625	3.3125	3.359375	3.609375	3.603515625	3.568359375	3.0859375
Gm10568	3.869140625	3.861328125	3.77734375	3.861328125	3.8984375	4.12890625	3.861328125	3.861328125	3.861328125
NA	6.5390625	6.55859375	6.6875	6.46875	6.546875	6.8359375	6.51171875	6.41796875	6.46875
Lypla1	6.984375	6.96484375	6.98046875	6.984375	7.01171875	6.7578125	6.96484375	7.01953125	6.55078125
Tcea1	7.99609375	8.1875	8.0546875	8.3046875	8.140625	8.0703125	8.3046875	8.0703125	8.1640625
Atp6v1h	8.4453125	8.375	8.4921875	8.4453125	8.4453125	8.5703125	8.4453125	8.546875	8.4609375
Oprk1	6.51171875	6.1171875	6.390625	5.9140625	6.7109375	6.78125	6.51171875	6.51171875	6.30859375
Rb1cc1	7.93359375	7.7265625	7.953125	7.8046875	7.88671875	7.8046875	7.66015625	7.74609375	7.484375
Fam150a	NA	NA	NA	NA	NA	NA	NA	NA	NA
St18	6.265625	6.1953125	6.171875	6.37109375	6.13671875	5.9921875	6.44921875	6.08203125	6.03515625
NA	4.85546875	4.90625	4.859375	4.85546875	4.23046875	4.703125	5.09375	4.85546875	5.00390625
Pcmtd1	8.3125	8.515625	8.6953125	8.578125	8.5	8.5	8.3828125	8.421875	8.6328125
Ahcy///Gm4737	6.65625	7.0703125	7.078125	7.05859375	6.90234375	7.09765625	7.125	7.1953125	7.046875
Gm30414	4.09375	4.1484375	4.09375	4.09375	4.09375	3.76171875	4.09375	4.09375	3.947265625
NA	3.25390625	3.291015625	3.025390625	3.375	3.26171875	3.169921875	3.181640625	2.94140625	2.755859375
Gm35144///Rnf7	4.45703125	4.46875	4.45703125	4.578125	4.45703125	4.45703125	4.45703125	4.58203125	4.3203125
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rrs1	6.8125	6.859375	7.10546875	6.6640625	7.01171875	6.79296875	6.90234375	6.4296875	6.94921875
Adhfe1	7.25	7.1953125	7.30078125	7.25	7.25	7.25	7.26171875	7.23046875	7.23828125
Gm6793///Hnrnpa3	9.3125	9.1875	9.328125	9.21875	9.3359375	9.4375	9.3125	9.265625	9.40625
3110035E14Rik	5.9609375	5.51953125	6.2109375	5.75390625	5.92578125	6.30859375	6.2734375	6.36328125	6.05859375
Sgk3	4.83984375	4.8671875	5.19140625	5.41015625	5.015625	5.046875	4.90234375	5.19140625	4.828125
Mcmdc2	5.38671875	5.375	5.265625	5.38671875	5.328125	5.55078125	5.484375	5.3671875	5.578125
Cspp1	7.50390625	7.4921875	7.50390625	7.29296875	7.46484375	7.53515625	7.65234375	7.2265625	7.34375
Cspp1	6.3828125	6.81640625	6.81640625	6.81640625	6.81640625	6.921875	6.7890625	6.81640625	6.86328125
Cspp1	8.2890625	7.97265625	8.0078125	8.0703125	8.453125	8.265625	8.015625	7.78125	8.3984375
Cspp1	7.59765625	7.4765625	7.53125	7.390625	7.83984375	7.67578125	7.4140625	7.32421875	7.8515625
Cspp1	7.7421875	6.9296875	7.375	7.38671875	7.703125	7.33203125	7.015625	6.734375	7.3125
Cspp1	6.88671875	6.47265625	6.58984375	6.55078125	6.71484375	6.55078125	6.30078125	6.203125	6.55859375
Cspp1	7.875	7.78515625	7.85546875	7.82421875	8	7.83984375	7.99609375	7.6953125	8.078125
Cspp1	6.6484375	6.75390625	6.7421875	6.6484375	6.9375	6.43359375	6.55078125	6.3125	6.7421875
Cspp1	7.828125	7.94140625	7.69921875	7.62890625	7.78125	7.78515625	7.5390625	7.5703125	8.0078125
Cspp1	6.55859375	5.68359375	6.13671875	6.1015625	6.1015625	6.1015625	6.1015625	5.609375	6.234375
Cspp1	7.00390625	6.796875	6.90625	6.80078125	6.84765625	7.15234375	6.7890625	6.6015625	7.234375
Cspp1	6.23046875	6.1484375	6.5078125	6.20703125	5.9140625	6.40234375	6.40234375	5.9609375	6.390625
Cspp1	6.65234375	6.2890625	6.5625	6.46875	6.28125	6.60546875	6.76171875	6.24609375	6.2109375
Cspp1	6.34765625	6.29296875	6.29296875	6.2109375	6.2421875	6.3828125	6.29296875	6.00390625	6.5234375
NA	5.625	5.828125	5.74609375	5.7734375	5.59765625	5.80078125	5.59765625	5.7265625	5.6796875
Prex2	7.515625	7.20703125	7.3671875	7.27734375	7.390625	7.48828125	7.3671875	7.3671875	7.3671875
A830018L16Rik	7.06640625	6.63671875	6.625	6.66796875	6.66015625	6.703125	6.640625	6.84375	6.58984375
NA	4.2734375	4.46484375	4.37890625	4.39453125	3.8984375	4.171875	4.1328125	4.32421875	3.916015625
Sulf1	6.6484375	6.75	6.71484375	7.45703125	6.75	6.79296875	6.75	6.41796875	6.82421875
NA	3.689453125	3.943359375	3.689453125	4.046875	3.572265625	3.373046875	3.291015625	3.720703125	3.73828125
Xkr9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm9947	4.0546875	4.18359375	3.9140625	4.1640625	4.2421875	4.15625	4.0546875	3.9921875	4.0546875
Rpl5	9.71875	9.7109375	9.71875	9.796875	9.6875	9.6796875	9.71875	9.75	9.6171875
NA	6.41015625	7.1875	6.69140625	6.875	6.6640625	6.85546875	6.22265625	6.66796875	7.078125
Kcnb2	6.70703125	6.421875	6.50390625	6.55078125	6.8125	7.2109375	6.70703125	6.7265625	6.8515625
Terf1	6.8828125	6.69140625	6.9453125	6.8203125	6.8828125	6.8828125	6.890625	6.71484375	6.91015625
NA	3.228515625	3.1875	3.064453125	2.978515625	3.00390625	2.93359375	3.314453125	3.31640625	2.71484375
Rdh10	6.2421875	6.19921875	6.15625	6.23046875	6.19140625	6.2265625	6.23046875	6.23046875	6.40625
Tmem70	7.1796875	7.078125	7.1875	7.1171875	7.1171875	7.00390625	7.1171875	7.1171875	6.9609375
Ly96	3.484375	3.259765625	3.16015625	3.400390625	2.99609375	3.251953125	3.7265625	2.767578125	2.7734375
Gdap1	8.78125	8.5390625	8.8203125	8.6875	8.65625	8.6796875	8.6640625	8.5	8.6796875
Pi15	3.845703125	3.919921875	3.916015625	3.974609375	3.916015625	3.916015625	3.830078125	3.916015625	3.71875
Crispld1	4.80078125	5.02734375	4.875	4.875	4.75390625	5.10546875	4.921875	4.875	4.765625
Tfap2d	4.0234375	3.970703125	3.970703125	3.970703125	3.951171875	3.94140625	3.974609375	3.9765625	4.08984375
Tfap2b	3.841796875	4.03515625	4.03125	3.998046875	3.783203125	3.982421875	4.03515625	4.10546875	4.5234375
Iars	8.0546875	7.91015625	8.25	8.015625	8	8.09375	7.75390625	8.15625	8.125
Mir206	NA	NA	NA	NA	NA	NA	NA	NA	NA
Linc-md1///Mir133b	5.04296875	5.3046875	5.4375	5.3359375	5.23046875	5.234375	5.3046875	5.3984375	5.4296875
Il17a	4.65234375	4.5703125	4.5703125	4.5703125	4.5703125	4.5703125	4.453125	4.5703125	4.6015625
Paqr8	8.25	8.21875	8.3125	8.21875	8.2421875	7.87109375	8.140625	8.3671875	8.015625
Efhc1	5.96875	5.671875	5.52734375	5.93359375	5.68359375	5.671875	5.671875	5.59375	5.6328125
Tmem14a	7.10546875	7.1875	7.27734375	7.30078125	7.1875	7.0859375	7.31640625	7.1953125	6.9921875
Gsta3	5.83984375	5.12109375	5.5390625	5.54296875	5.39453125	5.625	5.67578125	5.35546875	5.65234375
Cetn4	6.046875	6.00390625	6.09375	5.96484375	6.15234375	6.08984375	6.296875	5.87890625	6.14453125
Khdc1a	3.693359375	3.333984375	2.4765625	3.314453125	2.779296875	3.333984375	3.333984375	3.333984375	3.966796875
Khdc1c///Khdc1a///Khdc1b	4.4609375	4.28515625	4.26171875	4.25390625	4.28515625	4.015625	4.28515625	4.28515625	4.46875
Khdc1c///Khdc1a///Khdc1b	3.865234375	3.9375	3.990234375	3.9375	3.7421875	3.919921875	3.9375	3.9375	4.31640625
Mir30a	3.8828125	3.666015625	3.810546875	3.8359375	3.8359375	3.568359375	3.8359375	3.8359375	3.8359375
Mir30c-2	3.2578125	3.2578125	3.2578125	3.2578125	3.09375	3.2578125	3.2578125	3.2578125	3.404296875
B3gat2	7.61328125	7.34765625	7.65234375	7.54296875	7.609375	7.52734375	7.59765625	7.6953125	7.375
Sdhaf4	5.8515625	5.4921875	5.30078125	5.60546875	5.6015625	5.75390625	5.69921875	5.45703125	5.6015625
Col9a1	4.69921875	4.69921875	4.69921875	4.5859375	4.69921875	4.4765625	4.875	4.671875	4.8359375
Lmbrd1	8.21875	8.171875	8.171875	8.1796875	8.1015625	8.171875	8.234375	8.171875	8.109375
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
