gene_symbol	GSM3625299	GSM3625300	GSM3625302	GSM3625298	GSM3625303	GSM3625306	GSM3625305	GSM3625301	GSM3625304
0610007P14Rik	8.921875	9.0859375	8.9296875	9.203125	8.953125	8.84375	8.90625	9.078125	8.859375
0610009B22Rik	8.3125	8.34375	8.28125	8.46875	8.265625	8.3125	8.453125	8.2734375	8.3125
0610009L18Rik	7.01953125	7.08984375	6.9609375	7.13671875	7.01171875	7.18359375	7.19140625	6.9609375	6.875
0610009O20Rik	6.60546875	6.7734375	6.7734375	6.72265625	6.6640625	6.88671875	6.7734375	6.90234375	7.0234375
0610010F05Rik	7.08984375	6.9140625	7.09375	7.03125	7.03125	7.19921875	7.03125	7.03125	6.9453125
0610010K14Rik	7.359375	7.3359375	7.1484375	7.61328125	7.3828125	7.3359375	7.47265625	7.359375	7.3359375
0610011F06Rik	8.75	8.75	8.546875	8.7578125	8.625	8.6796875	8.71875	8.5859375	8.4609375
0610012G03Rik	9.6875	9.6484375	9.53125	9.8828125	9.6796875	9.421875	9.6875	9.625	9.3828125
0610025J13Rik	5.2109375	5.3359375	5.36328125	5.65234375	5.42578125	5.2890625	5.63671875	5.1875	5.3359375
0610030E20Rik	6.22265625	6.22265625	6.22265625	6.22265625	6.16796875	6.23046875	6.16015625	6.21484375	6.32421875
0610037L13Rik	8.3671875	8.40625	8.453125	8.5703125	8.3671875	8.5859375	8.53125	8.25	8.484375
0610038B21Rik	4.75390625	5.08984375	4.75390625	4.609375	4.61328125	4.89453125	4.75390625	4.75390625	5.0390625
0610039K10Rik	5.09375	4.94921875	4.62109375	4.94921875	4.94921875	4.9140625	5.0	4.94921875	4.6953125
0610040B10Rik	5.23828125	5.3984375	4.64453125	5.36328125	5.140625	5.14453125	5.265625	4.74609375	4.94140625
0610040J01Rik	6.12890625	5.94921875	6.07421875	6.03515625	6.1875	6.07421875	6.05859375	6.1328125	6.07421875
1110002L01Rik	6.34375	6.515625	6.41796875	6.29296875	6.3359375	6.19921875	6.05859375	6.29296875	6.06640625
1110004E09Rik	7.80859375	7.80859375	7.765625	7.81640625	7.80859375	7.81640625	7.88671875	7.6875	7.796875
1110004F10Rik	8.2421875	8.3515625	8.3671875	8.3046875	8.3203125	8.453125	8.4453125	8.5078125	8.390625
1110006O24Rik	5.26953125	5.390625	5.3125	5.3125	5.3125	5.15234375	5.55859375	5.3125	5.3125
1110008E08Rik	4.82421875	5.40625	5.05859375	4.9921875	5.09765625	5.05859375	5.1171875	5.05859375	5.05859375
1110008F13Rik	7.80078125	7.921875	7.8984375	7.89453125	7.6953125	7.72265625	7.7265625	7.828125	7.62890625
1110008L16Rik	6.34375	6.28515625	6.2578125	6.453125	6.3359375	6.4921875	6.421875	6.34375	6.34375
1110008P14Rik	7.4140625	7.48046875	7.25	7.3984375	7.21484375	7.2890625	7.34375	7.3125	7.15234375
1110012L19Rik	6.52734375	6.63671875	6.697265625	6.720703125	6.7109375	6.673828125	6.765625	6.818359375	6.84375
1110017D15Rik	6.57421875	6.39453125	6.4375	6.59765625	6.421875	6.6328125	6.890625	6.57421875	6.44140625
1110020C17Rik	3.935546875	3.806640625	3.908203125	3.693359375	3.83984375	3.83984375	3.83984375	3.83984375	3.83984375
1110032A03Rik	8.875	8.7265625	8.5078125	8.890625	8.6328125	8.6640625	8.7109375	8.5390625	8.4296875
1110032F04Rik	4.59765625	4.734375	4.33984375	4.59765625	4.46484375	4.59765625	4.59765625	4.5546875	4.83984375
1110034G24Rik	6.2421875	6.2421875	6.19921875	6.2421875	6.27734375	6.1484375	6.27734375	6.20703125	6.2421875
1110035H17Rik	5.0859375	5.03515625	5.03515625	5.015625	5.03515625	4.71875	5.10546875	5.03515625	5.03515625
1110037F02Rik	6.458333333333333	6.411458333333333	6.41796875	6.376302083333333	6.434895833333333	6.384114583333333	6.473958333333333	6.520833333333333	6.3828125
1110038F14Rik	5.99609375	5.9765625	6.08984375	6.13671875	6.1015625	6.0234375	5.92578125	6.09375	6.0234375
1110051M20Rik	8.3671875	8.203125	8.125	8.1875	8.1953125	8.21875	8.21875	8.21875	8.21875
1110059E24Rik	7.78515625	7.69921875	7.69921875	7.69921875	7.65234375	7.71484375	7.69921875	7.69921875	7.7890625
1110059G10Rik	6.94140625	6.8984375	7.0625	7.1484375	6.90625	7.16796875	6.94140625	6.90625	6.87109375
1110065P20Rik	7.51171875	7.53125	7.55859375	7.5859375	7.4296875	7.4765625	7.625	7.515625	7.4296875
1190002N15Rik	4.9765625	4.59765625	4.8359375	4.9609375	5.00390625	5.140625	5.02734375	5.00390625	5.00390625
1190005I06Rik	5.42578125	5.69140625	5.5703125	5.6484375	5.3515625	5.49609375	5.7265625	5.62890625	5.55078125
1190007I07Rik	5.015625	4.84375	4.69921875	4.98046875	4.7734375	5.10546875	5.30078125	4.421875	4.9140625
1300017J02Rik	4.74609375	4.74609375	4.74609375	4.9296875	4.74609375	4.6875	4.5625	4.8046875	4.80859375
1500002C15Rik	5.501953125	5.609375	5.560546875	5.59375	5.50390625	5.427734375	5.5234375	5.458984375	5.5
1500002F19Rik	4.16796875	5.02734375	4.40625	4.4375	4.43359375	4.48828125	4.6484375	4.70703125	4.52734375
1500009C09Rik	9.5390625	9.6953125	9.5703125	9.640625	9.5859375	9.5078125	9.5859375	9.7109375	9.578125
1500011B03Rik	7.84375	7.84375	7.8359375	7.83984375	7.84375	8.0078125	7.9765625	7.53125	7.84375
1500011K16Rik	8.578125	8.4140625	8.328125	8.6015625	8.390625	8.4375	8.5390625	8.421875	8.3203125
1500015L24Rik	4.46484375	4.078125	4.51953125	4.3125	4.4453125	4.3203125	4.36328125	4.3203125	4.19140625
1500015O10Rik	7.3828125	6.42578125	5.66015625	10.1796875	5.93359375	5.35546875	5.9921875	5.73046875	5.8046875
1500035N22Rik	5.98828125	5.71484375	5.7421875	6.1015625	6.12890625	5.94921875	5.83203125	5.796875	6.28515625
1520401A03Rik	5.05859375	5.17578125	5.1875	5.1875	5.234375	5.1875	5.1875	5.1875	5.234375
1600002H07Rik	6.09375	6.16015625	6.44921875	6.34765625	6.140625	6.01953125	6.14453125	6.16015625	6.16015625
1600002K03Rik	5.8515625	5.984375	5.984375	6.15625	5.94921875	5.9921875	6.07421875	5.765625	6.06640625
1600012H06Rik	5.81640625	5.71875	5.9921875	5.75390625	5.921875	5.90625	5.8125	5.85546875	5.85546875
1600012P17Rik	4.328125	4.546875	4.34765625	4.34765625	4.38671875	4.234375	4.29296875	4.23046875	4.40625
1600014C10Rik	6.61328125	6.77734375	6.61328125	6.5703125	6.6015625	6.58984375	6.64453125	6.61328125	6.6953125
1600014C23Rik	3.833984375	3.638671875	3.453125	3.46484375	3.6875	3.685546875	3.544921875	3.931640625	3.916015625
1600015I10Rik	3.58203125	3.654296875	3.654296875	3.677734375	3.84765625	3.55078125	3.884765625	3.654296875	3.654296875
1600017P15Rik	5.98828125	6.10546875	6.0625	6.0234375	6.0234375	5.93359375	5.6015625	6.01953125	6.0234375
1600029O15Rik	8.57421875	8.6328125	8.48046875	8.56640625	8.634765625	8.515625	8.7578125	8.5625	8.291015625
1700001C02Rik	5.6875	5.8828125	5.70703125	5.92578125	5.58203125	5.71875	6.0546875	5.703125	5.5
1700001C19Rik	4.1875	4.0625	3.982421875	4.0234375	3.990234375	3.96484375	4.31640625	3.53515625	3.990234375
1700001G17Rik	5.109375	5.53125	5.2421875	5.2421875	5.13671875	5.23046875	5.19140625	5.27734375	4.90234375
1700001J03Rik	4.9609375	5.51171875	5.109375	5.3671875	5.21484375	4.78515625	5.26953125	4.94140625	5.18359375
1700001J11Rik	3.3203125	3.591796875	3.8671875	3.263671875	3.16015625	3.880859375	3.486328125	3.59375	3.591796875
1700001K19Rik	5.1015625	5.4140625	5.03125	5.3125	5.2109375	5.3359375	5.23828125	5.3125	5.6328125
1700001K23Rik	5.02734375	5.02734375	5.02734375	5.02734375	5.10546875	5.02734375	5.08203125	4.921875	4.94921875
1700001L05Rik	5.1171875	5.25	5.3203125	4.953125	5.10546875	5.265625	5.17578125	5.3203125	5.19921875
1700001L19Rik	7.26171875	7.23828125	6.92578125	7.23828125	7.078125	7.4609375	7.55078125	7.07421875	7.27734375
1700001O22Rik	5.25390625	5.35546875	5.328125	5.58203125	5.25	5.3828125	5.25	5.24609375	5.41796875
1700001P01Rik	3.888671875	3.103515625	3.228515625	3.037109375	3.16015625	2.974609375	3.201171875	3.220703125	3.0078125
1700003E16Rik	5.3359375	5.31640625	5.13671875	5.46484375	5.3359375	5.4453125	5.52734375	5.27734375	5.2890625
1700003E24Rik	4.3515625	4.416015625	4.232421875	4.408203125	4.294921875	4.408203125	4.408203125	4.65625	4.44140625
1700003F12Rik	6.05859375	6.1484375	5.8515625	6.30859375	6.09765625	5.88671875	6.12890625	5.92578125	5.93359375
1700003O11Rik	4.74609375	4.38671875	4.3046875	4.33203125	4.0078125	4.4453125	4.41796875	4.05078125	4.9453125
1700006E09Rik	3.4140625	3.109375	3.2421875	2.810546875	3.32421875	3.08984375	3.08984375	2.92578125	2.720703125
1700006J14Rik	4.8515625	4.8125	4.8125	4.8125	4.84765625	4.3515625	4.84375	4.6171875	4.8203125
1700007G11Rik	3.572265625	3.875	3.60546875	3.701171875	3.96484375	3.560546875	4.17578125	3.8203125	4.1171875
1700007K09Rik	4.03515625	4.5234375	4.3984375	4.09375	4.19140625	4.33203125	4.859375	4.76953125	4.3984375
1700007K13Rik	6.890625	6.890625	6.84375	6.890625	6.85546875	6.90625	7.0859375	6.81640625	6.984375
1700008J07Rik	6.58203125	6.58203125	6.58203125	6.56640625	6.6015625	6.5	6.58203125	6.58203125	6.63671875
1700008O03Rik	5.4453125	5.046875	4.87109375	4.8515625	4.953125	5.203125	4.96875	5.15234375	5.2421875
1700009J07Rik	4.25	4.21875	4.25	4.25	4.19140625	4.25	4.25	4.26953125	4.25390625
1700009N14Rik	3.228515625	3.228515625	3.228515625	3.228515625	3.228515625	2.98828125	3.3828125	3.12890625	3.359375
1700010B08Rik	4.984375	5.0078125	4.9609375	4.90625	4.9921875	4.984375	4.94921875	4.859375	5.07421875
1700010H22Rik	3.94140625	3.818359375	3.904296875	4.0859375	4.31640625	3.8984375	3.8359375	3.630859375	3.974609375
1700010I14Rik	4.62890625	4.85546875	4.71875	4.921875	4.921875	5.11328125	4.953125	4.921875	4.921875
1700010L04Rik	3.666015625	3.6953125	3.666015625	3.806640625	3.708984375	3.49609375	3.666015625	3.666015625	3.666015625
