Sample_geo_accession	Condition	Group
GSM2897819	control	Human islets of Langerhans
GSM2897821	control	Human islets of Langerhans
GSM2897823	control	Human islets of Langerhans
GSM2897825	control	Human islets of Langerhans
GSM2897827	control	Human islets of Langerhans
GSM2897820	cytokine treatment	Human islets of Langerhans
GSM2897822	cytokine treatment	Human islets of Langerhans
GSM2897824	cytokine treatment	Human islets of Langerhans
GSM2897826	cytokine treatment	Human islets of Langerhans
GSM2897828	cytokine treatment	Human islets of Langerhans
