Sample_geo_accession	Condition	Group
GSM6107906	 T2D Basal	Vastus Lateralis
GSM6107907	 T2D Post	Vastus Lateralis
GSM6107908	 T2D Recovery	Vastus Lateralis
GSM6107909	 NGT Basal	Vastus Lateralis
GSM6107910	 NGT Post	Vastus Lateralis
GSM6107911	 NGT Recovery	Vastus Lateralis
GSM6107912	 T2D Basal	Vastus Lateralis
GSM6107913	 T2D Recovery	Vastus Lateralis
GSM6107914	 NGT Basal	Vastus Lateralis
GSM6107915	 NGT Post	Vastus Lateralis
GSM6107916	 NGT Recovery	Vastus Lateralis
GSM6107917	 T2D Basal	Vastus Lateralis
GSM6107918	 T2D Post	Vastus Lateralis
GSM6107919	 T2D Recovery	Vastus Lateralis
GSM6107920	 T2D Basal	Vastus Lateralis
GSM6107921	 T2D Post	Vastus Lateralis
GSM6107922	 T2D Recovery	Vastus Lateralis
GSM6107923	 NGT Basal	Vastus Lateralis
GSM6107924	 NGT Post	Vastus Lateralis
GSM6107925	 NGT Recovery	Vastus Lateralis
GSM6107926	 T2D Basal	Vastus Lateralis
GSM6107927	 T2D Post	Vastus Lateralis
GSM6107928	 T2D Recovery	Vastus Lateralis
GSM6107929	 NGT Basal	Vastus Lateralis
GSM6107930	 NGT Post	Vastus Lateralis
GSM6107931	 NGT Recovery	Vastus Lateralis
GSM6107932	 T2D Basal	Vastus Lateralis
GSM6107933	 T2D Post	Vastus Lateralis
GSM6107934	 T2D Recovery	Vastus Lateralis
GSM6107935	 NGT Basal	Vastus Lateralis
GSM6107936	 NGT Post	Vastus Lateralis
GSM6107937	 NGT Recovery	Vastus Lateralis
GSM6107938	 T2D Basal	Vastus Lateralis
GSM6107939	 T2D Post	Vastus Lateralis
GSM6107940	 T2D Recovery	Vastus Lateralis
GSM6107941	 NGT Basal	Vastus Lateralis
GSM6107942	 NGT Post	Vastus Lateralis
GSM6107943	 NGT Recovery	Vastus Lateralis
GSM6107944	 T2D Basal	Vastus Lateralis
GSM6107945	 T2D Post	Vastus Lateralis
GSM6107946	 T2D Recovery	Vastus Lateralis
GSM6107947	 NGT Basal	Vastus Lateralis
GSM6107948	 NGT Post	Vastus Lateralis
GSM6107949	 NGT Recovery	Vastus Lateralis
GSM6107950	 T2D Basal	Vastus Lateralis
GSM6107951	 T2D Post	Vastus Lateralis
GSM6107952	 T2D Recovery	Vastus Lateralis
GSM6107953	 NGT Basal	Vastus Lateralis
GSM6107954	 NGT Post	Vastus Lateralis
GSM6107955	 NGT Recovery	Vastus Lateralis
GSM6107956	 T2D Basal	Vastus Lateralis
GSM6107957	 T2D Post	Vastus Lateralis
GSM6107958	 T2D Recovery	Vastus Lateralis
GSM6107959	 NGT Basal	Vastus Lateralis
GSM6107960	 NGT Post	Vastus Lateralis
GSM6107961	 NGT Recovery	Vastus Lateralis
GSM6107962	 T2D Basal	Vastus Lateralis
GSM6107963	 T2D Post	Vastus Lateralis
GSM6107964	 T2D Recovery	Vastus Lateralis
GSM6107965	 NGT Basal	Vastus Lateralis
GSM6107966	 NGT Post	Vastus Lateralis
GSM6107967	 NGT Recovery	Vastus Lateralis
GSM6107968	 T2D Basal	Vastus Lateralis
GSM6107969	 T2D Post	Vastus Lateralis
GSM6107970	 T2D Recovery	Vastus Lateralis
GSM6107971	 NGT Basal	Vastus Lateralis
GSM6107972	 NGT Post	Vastus Lateralis
GSM6107973	 NGT Recovery	Vastus Lateralis
GSM6107974	 T2D Basal	Vastus Lateralis
GSM6107975	 T2D Post	Vastus Lateralis
GSM6107976	 T2D Recovery	Vastus Lateralis
GSM6107977	 NGT Basal	Vastus Lateralis
GSM6107978	 NGT Post	Vastus Lateralis
GSM6107979	 NGT Recovery	Vastus Lateralis
GSM6107980	 T2D Basal	Vastus Lateralis
GSM6107981	 T2D Post	Vastus Lateralis
GSM6107982	 T2D Recovery	Vastus Lateralis
GSM6107983	 NGT Basal	Vastus Lateralis
GSM6107984	 NGT Post	Vastus Lateralis
GSM6107985	 NGT Recovery	Vastus Lateralis
GSM6107986	 T2D Basal	Vastus Lateralis
GSM6107987	 T2D Post	Vastus Lateralis
GSM6107988	 T2D Recovery	Vastus Lateralis
GSM6107989	 NGT Basal	Vastus Lateralis
GSM6107990	 NGT Post	Vastus Lateralis
GSM6107991	 NGT Recovery	Vastus Lateralis
GSM6107992	 T2D Basal	Vastus Lateralis
GSM6107993	 T2D Post	Vastus Lateralis
GSM6107994	 T2D Recovery	Vastus Lateralis
GSM6107995	 NGT Basal	Vastus Lateralis
GSM6107996	 NGT Recovery	Vastus Lateralis
GSM6107997	 T2D Basal	Vastus Lateralis
GSM6107998	 T2D Post	Vastus Lateralis
GSM6107999	 T2D Recovery	Vastus Lateralis
GSM6108000	 T2D Basal	Vastus Lateralis
GSM6108001	 T2D Post	Vastus Lateralis
GSM6108002	 T2D Recovery	Vastus Lateralis
GSM6108003	 NGT Basal	Vastus Lateralis
GSM6108004	 NGT Post	Vastus Lateralis
GSM6108005	 NGT Recovery	Vastus Lateralis
GSM6108006	 T2D Basal	Vastus Lateralis
GSM6108007	 T2D Post	Vastus Lateralis
GSM6108008	 T2D Recovery	Vastus Lateralis
GSM6108009	 T2D Basal	Vastus Lateralis
GSM6108010	 T2D Post	Vastus Lateralis
GSM6108011	 NGT Basal	Vastus Lateralis
GSM6108012	 NGT Post	Vastus Lateralis
GSM6108013	 NGT Recovery	Vastus Lateralis
GSM6108014	 T2D Basal	Vastus Lateralis
GSM6108015	 T2D Post	Vastus Lateralis
GSM6108016	 T2D Recovery	Vastus Lateralis
