Sample_geo_accession	Condition	Group
GSM1720851	 Conditional Nebulin Knockout (Neb cKO)	Male mice, age ~40 days
GSM1720852	 Conditional Nebulin Knockout (Neb cKO)	Male mice, age ~40 days
GSM1720853	 Conditional Nebulin Knockout (Neb cKO)	Male mice, age ~40 days
GSM1720854	 Conditional Nebulin Knockout (Neb cKO)	Male mice, age ~40 days
GSM1720855	 Conditional Nebulin Knockout (Neb cKO)	Male mice, age ~40 days
GSM1720856	 Conditional Nebulin Knockout (Neb cKO)	Male mice, age ~40 days
GSM1720845	Control 	Male mice, age ~40 days
GSM1720846	Control 	Male mice, age ~40 days
GSM1720847	Control 	Male mice, age ~40 days
GSM1720848	Control 	Male mice, age ~40 days
GSM1720849	Control 	Male mice, age ~40 days
GSM1720850	Control 	Male mice, age ~40 days
