Sample_geo_accession	Condition	Group
GSM591474	 Benign Hepatic Steatosis	C57Bl/6 mice fed a low-fat diet
GSM591476	 Benign Hepatic Steatosis	C57Bl/6 mice fed a low-fat diet
GSM591478	 Benign Hepatic Steatosis	C57Bl/6 mice fed a low-fat diet
GSM591479	 Benign Hepatic Steatosis	C57Bl/6 mice fed a low-fat diet
GSM591481	 Benign Hepatic Steatosis	C57Bl/6 mice fed a low-fat diet
GSM591482	 Benign Hepatic Steatosis	C57Bl/6 mice fed a low-fat diet
GSM591473	Normal Liver Morphology 	C57Bl/6 mice fed a low-fat diet
GSM591475	Normal Liver Morphology 	C57Bl/6 mice fed a low-fat diet
GSM591477	Normal Liver Morphology 	C57Bl/6 mice fed a low-fat diet
GSM591480	Normal Liver Morphology 	C57Bl/6 mice fed a low-fat diet
GSM591486	 Overt NASH	C57Bl/6 mice high-fat diet
GSM591488	 Overt NASH	C57Bl/6 mice high-fat diet
GSM591489	 Overt NASH	C57Bl/6 mice high-fat diet
GSM591490	 Overt NASH	C57Bl/6 mice high-fat diet
GSM591483	Pre-NASH 	C57Bl/6 mice high-fat diet
GSM591484	Pre-NASH 	C57Bl/6 mice high-fat diet
GSM591485	Pre-NASH 	C57Bl/6 mice high-fat diet
GSM591487	Pre-NASH 	C57Bl/6 mice high-fat diet
