	GSM4191298	GSM4191299	GSM4191296	GSM4191292	GSM4191295	GSM4191294	GSM4191293	GSM4191290	GSM4191301	GSM4191291
Rfk	9.328125	9.171875	8.8984375	9.1640625	9.2109375	9.0234375	9.1796875	9.2734375	8.9765625	9.40625
Txndc12	9.5859375	9.375	9.671875	9.390625	9.484375	9.375	9.28125	9.2578125	9.7578125	9.6171875
Rbm42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Psmc5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tmem165	9.4375	8.84375	9.84375	9.46875	9.8984375	9.6484375	9.265625	9.6171875	9.5	9.640625
Aup1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hdac5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pfdn6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dscr3	8.5078125	8.21875	8.7109375	8.234375	8.625	8.359375	7.95703125	8.40625	8.578125	8.421875
Cic	8.3203125	8.0859375	8.0546875	8.96875	8.609375	8.96875	8.8671875	8.8359375	8.3515625	8.375
Riok3	9.8671875	9.7265625	10.328125	9.71875	10.046875	9.8046875	9.7265625	9.875	10.2890625	9.875
Dctn5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rragc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tbl3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hp1bp3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BC031181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abhd17a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polr2f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ube2v1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Snapin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gbf1	8.453125	8.671875	8.1484375	8.8828125	8.546875	8.765625	8.8671875	8.7890625	8.4609375	8.453125
Fryl	8.015625	7.89453125	8.171875	8.265625	8.390625	8.3515625	8.1484375	8.3515625	8.2109375	8.3828125
Lamtor5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atox1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mrpl52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mrpl52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tmem234	9.453125	9.7578125	9.3125	9.7734375	9.4296875	9.8125	9.734375	9.515625	9.46875	9.59375
Zbed6///Zc3h11a	10.109375	9.8125	10.328125	9.9375	10.265625	10.046875	9.8359375	10.1796875	10.1796875	10.21875
Hnrnpul2	7.21484375	7.41015625	7.50390625	7.75	7.5078125	7.66796875	7.62109375	7.46484375	7.375	7.078125
Sec22b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ythdf1	8.6953125	8.4765625	8.46875	8.890625	8.6171875	8.8828125	8.609375	8.9921875	8.5703125	8.6171875
Ube2r2	9.2578125	9.0234375	9.3359375	8.953125	9.3203125	9.3515625	8.9453125	9.0078125	9.6328125	9.4140625
Itch	8.0546875	8.046875	8.25	7.81640625	8.125	7.94921875	7.61328125	8.046875	8.1015625	8.109375
Wdr6	9.2890625	9.1953125	8.7734375	9.3203125	9.3359375	9.5078125	9.6796875	9.4296875	8.9453125	9.21875
Ncl	10.2421875	9.9921875	10.515625	10.4921875	10.5234375	10.46875	10.4140625	10.390625	10.375	10.3515625
Ncl	6.16015625	5.81640625	6.79296875	6.09765625	6.21875	6.25	6.140625	6.16796875	6.33203125	6.515625
Ncl	8.8125	8.3046875	9.109375	8.9375	9.046875	8.828125	8.7265625	8.8515625	9.0078125	8.890625
Elp2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rbbp7	11.0703125	10.359375	10.9609375	10.6953125	10.8828125	10.796875	10.71875	10.9140625	10.7734375	11.015625
Aldh3a2	7.92578125	8.3125	8.0390625	7.80859375	7.8515625	8.046875	7.890625	7.83203125	7.82421875	7.8125
Pnliprp1	3.869140625	4.32421875	3.642578125	3.87109375	3.732421875	3.701171875	3.8203125	3.806640625	3.822265625	3.759765625
Morf4l2	10.7890625	10.2265625	10.9296875	10.6328125	10.8203125	10.71875	10.5625	10.796875	10.6484375	10.7421875
Actg1	12.28125	11.828125	12.546875	12.40625	12.5859375	12.453125	12.3515625	12.3828125	12.2578125	12.3515625
Armcx2	8.1640625	6.4453125	7.765625	7.23046875	7.84375	7.8203125	7.390625	7.5234375	7.46875	7.48046875
LOC101056240///Sumo2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101056240///Sumo2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vps35	10.5703125	10.5546875	10.8984375	10.4140625	10.6796875	10.5078125	10.421875	10.578125	10.84375	10.59375
Vps35	8	7.61328125	8.578125	7.78125	8.0546875	7.5625	7.83984375	7.90234375	8.3359375	7.9296875
Cct8	9.6875	9.140625	9.7421875	9.6328125	9.6796875	9.59375	9.4296875	9.640625	9.6015625	9.5546875
Pgc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ganab	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ublcp1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ublcp1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ublcp1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rnf34	8.421875	8.2890625	8.3828125	8.3203125	8.6015625	8.3203125	8.078125	8.4921875	8.46875	8.625
