Sample_geo_accession	Condition	Group
GSM4191296	Wiltype 	Brown Adipose Tissue (BAT)
GSM4191297	Wiltype 	Brown Adipose Tissue (BAT)
GSM4191298	Wiltype 	Brown Adipose Tissue (BAT)
GSM4191299	Wiltype 	Brown Adipose Tissue (BAT)
GSM4191300	Wiltype 	Brown Adipose Tissue (BAT)
GSM4191301	Wiltype 	Brown Adipose Tissue (BAT)
GSM4191290	 Ahsg Knockout	Brown Adipose Tissue (BAT)
GSM4191291	 Ahsg Knockout	Brown Adipose Tissue (BAT)
GSM4191292	 Ahsg Knockout	Brown Adipose Tissue (BAT)
GSM4191293	 Ahsg Knockout	Brown Adipose Tissue (BAT)
GSM4191294	 Ahsg Knockout	Brown Adipose Tissue (BAT)
GSM4191295	 Ahsg Knockout	Brown Adipose Tissue (BAT)
