gene_symbol	GSM1164972	GSM1164975	GSM1164974	GSM1164976	GSM1164973	GSM1164977
1700003E24Rik	21.953125	22.15625	22.203125	22.578125	22.40625	21.8359375
1700003F12Rik	26.265625	26.0625	27.40625	27.40625	26.109375	24.5
1700003H04Rik	19.921875	19.71875	20.15625	19.75	20.34375	19.890625
1700003O11Rik	23.796875	23.6875	23.953125	23.078125	23.359375	22.75
1700006A11Rik	20.390625	20.40625	20.296875	20.9375	20.25	20.375
1700006E09Rik	20.5625	21.0	21.09375	20.859375	20.734375	20.609375
1700006J14Rik	23.125	21.75	22.734375	23.25	22.375	22.3125
1700007B14Rik	19.703125	20.46875	20.265625	20.40625	20.578125	20.40625
1700007G11Rik	21.40625	21.328125	21.546875	21.8125	22.28125	21.328125
1700007K09Rik	22.71875	22.328125	23.25	22.71875	22.21875	23.078125
1700007K13Rik	22.25	21.640625	22.140625	21.78125	22.125	21.71875
1700008J07Rik	61.6875	58.75	57.0625	64.8125	66.0	59.25
1700008O03Rik	24.65625	25.890625	25.625	25.796875	22.625	24.65625
1700008P02Rik	20.5625	20.296875	20.5	20.203125	20.375	20.90625
1700009J07Rik	20.75	21.59375	20.859375	21.046875	20.765625	20.953125
1700009N14Rik	22.171875	23.9375	22.125	22.28125	22.171875	22.421875
1700010B08Rik	22.59375	23.34375	23.640625	24.015625	23.234375	23.765625
1700010H22Rik	22.1875	21.21875	21.9375	21.1875	20.953125	21.671875
1700010I14Rik	22.0625	21.34375	21.5625	24.0625	21.890625	21.8125
1700010L04Rik	21.875	21.6875	21.828125	21.6875	21.453125	20.71875
1700010L13Rik	58.375	52.1875	55.21875	57.625	53.53125	50.71875
1700011E24Rik	21.40625	21.25	21.0	21.390625	20.8125	21.671875
1700011H14Rik	20.734375	20.734375	20.8125	21.0	20.484375	21.03125
1700011I03Rik	20.484375	20.359375	20.359375	20.40625	20.640625	20.53125
1700011L22Rik	21.8125	21.640625	21.984375	22.1875	22.015625	21.671875
1700012A03Rik	21.28125	22.265625	22.109375	24.40625	21.953125	23.671875
1700012B07Rik	38.40625	37.84375	45.0625	42.03125	44.5	39.46875
1700012B09Rik	20.0	20.46875	20.484375	20.96875	20.21875	20.875
1700012P22Rik	20.96875	20.921875	20.890625	20.828125	21.90625	20.96875
1700013D24Rik	22.140625	21.890625	22.265625	22.6875	22.90625	22.546875
1700013F07Rik	24.375	23.578125	23.828125	24.234375	24.515625	23.421875
1700013G24Rik	22.8125	22.875	22.890625	23.484375	21.96875	23.03125
1700013H16Rik	19.890625	20.375	20.21875	19.4375	19.875	19.5625
1700014B07Rik	34.65625	32.59375	35.5	37.3125	35.65625	31.859375
