	GSM5082473	GSM5082474	GSM5082475	GSM5082476	GSM5082477	GSM5082478
A1BG	245	551	689	273	910	1069
A1BG-AS1	278	436	505	320	919	943
A1CF	2073	2311	2182	3409	6019	6283
A2M	986	1540	1609	1064	2163	2276
A2M-AS1	39	52	42	59	136	156
A2ML1	98	120	151	37	44	69
A2ML1-AS1	0	0	0	1	0	0
A2ML1-AS2	0	3	2	0	0	1
A2MP1	3	2	1	0	1	4
A3GALT2	2	0	0	1	3	2
A4GALT	670	1209	1535	323	882	993
A4GNT	1	0	0	0	3	0
AAAS	1567	2582	2766	1460	3445	3555
AACS	2097	4094	4167	2165	5734	5980
AACSP1	19	33	24	17	62	78
AADAC	1	1	0	0	2	4
AADACL2	0	0	0	2	0	0
AADACL2-AS1	0	0	0	0	0	5
AADACL3	93	145	166	10	21	35
AADACL4	1	2	2	0	1	1
AADACP1	7	7	6	5	16	16
AADAT	365	501	523	304	527	612
AAGAB	1330	2208	2236	1179	2973	3066
AAK1	859	1221	1050	916	1800	1758
AAMDC	222	500	468	191	467	522
AAMP	3648	7728	8162	2990	7841	8469
AANAT	3	17	18	1	17	15
AAR2	1194	2318	2437	1032	2682	2742
AARD	91	139	141	109	238	233
AARS1	8176	14548	15292	5387	13163	13739
AARS1P1	1	0	0	0	0	0
AARS2	1154	2000	1992	762	1837	1828
AARSD1	571	1236	1214	382	1222	1231
AARSD1P1	6	1	4	3	1	9
AASDH	410	614	621	405	850	848
AASDHPPT	1512	1934	1649	1611	2984	3093
AASS	2942	3604	3441	836	1680	1726
AATBC	6	1	8	2	4	4
AATF	1201	2126	2157	929	2071	2142
AATK	771	1523	1716	917	2839	2919
ABALON	36	26	24	38	5	35
ABAT	731	1073	1136	1495	3291	3659
ABCA1	1322	1219	1090	1600	2526	2673
ABCA10	31	26	15	40	36	53
ABCA11P	180	254	206	225	458	451
ABCA12	18	7	17	11	18	26
ABCA13	20	25	26	9	21	14
ABCA17P	15	24	29	13	25	36
ABCA2	1853	3082	3726	2070	5848	6125
ABCA3	1404	2522	2737	1962	5108	5556
ABCA3P1	0	0	0	0	0	0
ABCA4	47	78	74	35	78	68
ABCA5	924	1119	947	1756	3198	3286
ABCA6	22	36	42	35	75	89
ABCA7	2530	5197	5614	3862	10609	11129
ABCA8	4	7	7	8	9	6
ABCA9	10	9	10	23	23	20
ABCA9-AS1	3	2	4	2	1	3
ABCB1	36	71	69	119	259	312
ABCB10	852	986	931	1420	2417	2705
ABCB10P1	0	0	0	0	0	6
ABCB10P3	0	2	0	0	0	0
ABCB10P4	0	0	4	0	0	0
ABCB11	12	17	16	16	31	23
ABCB4	39	69	81	39	116	85
ABCB5	3	6	4	5	7	15
ABCB6	1404	2715	3012	1292	3362	3585
ABCB7	987	1476	1553	742	1613	1719
ABCB8	820	1592	1711	726	2053	2142
ABCB9	232	423	536	191	559	550
ABCC1	3853	6361	6630	3949	10201	10643
ABCC10	856	1589	1741	1119	3217	3331
ABCC11	23	29	20	20	28	34
ABCC12	5	2	7	1	1	3
ABCC13	16	26	27	4	22	20
ABCC2	73	89	96	109	228	265
ABCC3	140	232	206	160	378	355
ABCC4	257	331	340	387	884	883
ABCC5	2159	3540	3624	3418	8028	8351
ABCC5-AS1	0	0	0	0	0	1
ABCC6	436	866	916	898	2517	2774
ABCC6P1	289	389	392	559	1131	1066
ABCC6P2	49	88	76	115	253	262
ABCC8	1551	2893	3109	2797	6891	7447
ABCC9	309	292	288	814	1362	1294
ABCD1	972	1696	1886	1038	2774	3091
ABCD1P2	2	0	0	2	0	2
ABCD1P3	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0
ABCD1P5	1	0	0	0	7	0
ABCD2	10	9	3	10	8	14
ABCD3	1242	1713	1521	1634	3185	3406
ABCD4	1801	3372	3365	1878	4628	4927
ABCE1	2160	2649	2484	1364	2600	2593
ABCF1	3293	5589	5853	2322	5348	5605
ABCF2	1063	2159	2116	753	1573	1833
ABCF2-H2BK1	334	341	433	180	611	542
ABCF2P1	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0
ABCF3	1335	2797	3052	1433	3749	3971
ABCG1	283	520	527	353	962	934
ABCG2	758	1145	1122	990	2185	2257
ABCG4	117	233	249	138	269	317
ABCG5	5	7	1	7	6	8
ABCG8	10	20	18	22	42	30
ABHD1	35	68	63	41	104	103
ABHD10	649	928	840	635	1268	1408
ABHD11	1065	1996	2248	1088	3234	3321
ABHD11-AS1	1	1	13	5	7	11
ABHD12	794	1394	1617	768	1964	2117
ABHD12B	2288	2650	2667	496	757	821
ABHD13	1315	1251	1126	1558	2421	2476
ABHD14A	413	842	900	596	1388	1552
ABHD14A-ACY1	67	57	126	157	134	259
ABHD14B	607	1268	1251	957	2484	2725
ABHD15	3784	6675	7335	5924	16623	17346
ABHD15-AS1	0	0	0	0	0	0
ABHD16A	1879	3593	4114	2587	7214	7674
ABHD16B	0	122	194	43	106	135
ABHD17A	2163	4876	5714	2110	6172	6521
ABHD17AP1	0	0	9	0	2	0
ABHD17AP3	0	4	3	0	3	3
ABHD17AP4	0	3	0	0	6	3
ABHD17AP5	0	2	0	4	0	0
ABHD17AP6	0	1	0	0	0	0
ABHD17AP7	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0
ABHD17B	840	1291	1189	614	1158	1339
ABHD17C	391	644	675	263	700	645
ABHD18	469	576	554	504	891	965
ABHD2	2172	3002	3052	3012	6547	7029
ABHD3	375	463	488	447	938	915
ABHD4	921	1402	1610	675	1445	1483
ABHD5	482	551	588	368	686	792
ABHD6	355	559	701	388	1035	1102
ABHD8	650	1271	1468	559	1729	1854
ABI1	1375	1549	1616	1408	2554	2583
ABI1P1	0	0	0	0	0	0
ABI2	2728	3603	3234	2355	4631	4775
ABI3	10	34	21	6	9	8
ABI3BP	33	19	23	20	46	42
ABITRAM	440	644	579	424	834	917
ABITRAMP1	0	0	0	0	0	0
ABL1	4074	6542	6881	3350	7961	8650
ABL2	933	1346	1366	827	1886	2006
ABLIM1	1365	1894	1774	1270	2725	2850
ABLIM2	340	681	715	531	1219	1276
ABLIM3	59	92	109	53	130	132
ABO	177	154	197	180	429	429
ABR	2811	4979	5029	2784	7113	7738
ABR-AS1	0	0	0	0	0	0
ABRA	0	0	0	0	1	0
ABRACL	450	790	711	201	440	476
ABRAXAS1	444	526	401	369	595	663
ABRAXAS2	572	792	703	476	970	920
ABT1	995	1931	2008	837	2082	2296
ABT1P1	0	0	0	0	0	4
ABTB1	480	1002	1208	661	2030	2034
ABTB2	600	913	1068	467	1331	1530
ACAA1	1287	2256	2468	1300	3167	3232
ACAA2	2322	4032	4131	1962	4410	4606
