	GSM3580178	GSM3580179	GSM3580180	GSM3580181	GSM3580182	GSM3580183	GSM3580184	GSM3580185
Rbm7	1771	1141	1110	1673	1372	1468	1016	1012
Rbm8a	1330	1181	1100	1571	1159	1182	1299	1334
Rbm8a2	8	4	4	5	9	9	4	2
Rbms1	385	414	551	533	309	328	295	367
Rbms2	278	200	153	269	191	187	202	194
Rbms3	2	3	2	6	5	5	0	1
Rbmx	791	703	650	881	697	628	521	703
Rbmx2	223	190	132	250	187	151	195	149
Rbmx2-ps	0	0	0	3	0	0	0	0
Rbmxl1	2236	2033	1601	2321	1666	1710	2330	2140
Rbmxl2	1	0	0	0	0	0	0	0
Rbmy	0	0	0	0	0	0	0	0
Rbp1	699	575	421	966	424	479	444	515
Rbp2	0	2	0	4	1	0	0	0
Rbp3	0	2	0	6	0	0	0	0
Rbp4	0	1	0	0	0	2	1	0
Rbp7	1	1	0	2	2	0	0	0
Rbpj	912	908	830	1063	839	780	734	629
Rbpj-ps1	2	0	0	0	0	0	0	0
Rbpj-ps3	54	27	23	46	34	0	17	26
Rbpjl	0	5	0	2	0	0	0	6
Rbpms	1334	1259	825	1526	1224	1292	875	996
Rbpms2	81	45	24	72	56	34	61	49
Rbsn	479	400	457	595	503	446	483	436
Rbx1	2291	2148	1823	2786	1960	1848	2342	2389
Rbx1-ps	0	0	0	2	0	0	2	0
Rc3h1	261	236	224	300	229	239	212	168
Rc3h2	473	373	278	346	352	308	294	256
Rcan1	206	249	174	332	150	212	186	263
Rcan2	11	7	6	14	2	9	6	5
Rcan3	247	200	234	273	295	146	217	187
Rcbtb1	612	467	409	716	541	501	540	617
Rcbtb2	1196	1211	1002	1641	983	1117	1007	1088
Rcc1	1157	969	1196	1338	1141	1125	1611	1240
Rcc1l	276	215	263	381	350	247	362	305
Rcc2	568	538	440	635	646	534	512	559
Rccd1	519	402	315	516	339	323	356	335
Rce1	431	463	378	658	440	435	477	450
Rchy1	737	644	634	950	612	571	463	579
Rcl1	1296	1111	893	1552	913	960	1399	1093
Rcn1	1435	1171	989	1431	1107	941	1048	943
Rcn2	2103	1621	1214	1971	2056	2122	1768	1546
Rcn3	439	469	280	528	331	376	347	340
Rcor1	339	398	273	444	233	316	207	276
Rcor2	91	99	129	144	135	126	52	69
Rcor3	524	451	374	608	355	419	333	432
Rcsd1	1300	1214	1356	1615	1395	1105	1025	1023
Rcvrn	1	0	0	0	0	0	4	0
Rd3	0	1	5	1	0	0	0	0
Rd3l	0	1	2	0	0	0	0	0
Rdh1	19	21	25	7	14	8	7	12
Rdh10	167	152	145	111	104	89	92	121
Rdh11	342	440	333	600	344	377	300	389
Rdh12	161	229	278	307	177	239	71	141
Rdh13	367	267	269	366	314	280	317	350
Rdh14	374	401	286	541	275	381	338	316
Rdh16	6	11	10	11	7	8	4	4
Rdh16f1	0	7	0	0	0	0	0	0
Rdh16f2	0	0	0	0	0	0	0	0
Rdh18-ps	0	0	0	0	0	0	0	0
Rdh19	1	0	0	0	0	0	0	1
Rdh5	131	69	75	144	90	77	56	103
Rdh7	0	1	0	0	0	0	0	0
Rdh8	0	0	0	0	0	0	0	0
Rdh9	19	10	6	6	4	4	3	0
Rdm1	200	236	180	234	182	217	138	137
Rdx	2162	1572	1369	1908	1914	1692	1787	1512
Rec114	4	3	10	7	3	3	7	3
Rec8	165	190	113	294	117	149	107	101
Reck	57	67	69	132	91	101	37	43
Recql	519	380	364	338	446	404	492	404
Recql4	138	117	122	195	225	143	299	181
Recql5	347	221	303	326	313	313	260	296
Recql5os1	0	0	0	1	0	0	0	0
Redrum	0	0	37	0	0	3	0	0
Reep1	13	20	22	8	14	16	19	9
Reep2	36	11	18	42	19	15	34	5
Reep3	456	371	370	491	324	321	312	279
Reep4	442	544	506	600	426	476	456	497
Reep5	1051	955	950	1194	919	924	745	793
Reep6	50	47	64	81	59	19	101	105
Reg1	0	0	0	0	0	0	0	0
Reg2	26	74	46	42	17	31	26	28
Reg3a	0	0	0	0	0	0	0	0
Reg3b	0	0	0	0	0	0	0	0
Reg3d	0	0	0	0	0	0	0	0
Reg3g	0	0	0	0	0	0	0	0
Reg4	0	0	0	1	0	1	0	0
Rel	417	339	372	536	340	306	200	210
Rela	1482	1402	1332	1912	1135	1202	1095	1175
Relb	197	187	174	242	125	114	84	152
Relch	364	383	343	429	463	304	255	301
Rell1	142	136	147	138	133	82	84	78
Rell2	188	122	111	173	126	128	181	86
Reln	4	9	20	2	12	3	0	2
Relt	635	609	577	751	588	474	509	517
Rem1	0	0	7	0	0	0	0	0
