	GSM2087154	GSM2087158	GSM2087156	GSM2087160	GSM2087159	GSM2087161	GSM2087155	GSM2087157
Gm2889	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm10568	NA	NA	NA	NA	NA	NA	NA	NA
Cetn4	4.2265625	4.23046875	4.2109375	3.93359375	4.12890625	4.1484375	4.0859375	4.4296875
Khdc1a	2.90625	2.833984375	2.765625	2.66015625	3.318359375	3.083984375	2.89453125	2.94921875
Khdc1c///Khdc1a///Khdc1b	3.529296875	3.544921875	3.5859375	3.615234375	3.564453125	3.46875	3.412109375	3.822265625
Khdc1c///Khdc1a///Khdc1b	3.6640625	3.59375	3.646484375	3.796875	3.55078125	3.486328125	3.580078125	3.513671875
Mir30a	5.9609375	6.1484375	6.3828125	6.23046875	6.53125	6.50390625	6.109375	6.203125
Mir30c-2	5.203125	5.34765625	5.296875	5.3046875	5.6875	5.50390625	5.28515625	5.54296875
B3gat2	5.1015625	5.2421875	5.49609375	5.359375	5.234375	5.35546875	5.1953125	5.37109375
Sdhaf4	5.265625	4.74609375	5.12109375	5.14453125	5.046875	5.09765625	5.1796875	5.203125
Col9a1	5.19921875	5.19140625	5.1953125	5.1953125	5.11328125	5.11328125	5.14453125	5.12890625
Lmbrd1	7.6015625	7.79296875	7.51953125	7.71484375	7.6796875	7.65625	7.671875	7.71875
NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm9884	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Cdk10	7.52734375	7.2734375	7.2890625	7.296875	7.17578125	7.3828125	7.44140625	7.41796875
Lgsn	4.59765625	4.43359375	4.91015625	4.71484375	4.66796875	4.6953125	4.6484375	4.6953125
Pih1d3	2.845703125	2.94140625	2.75	2.83984375	2.71875	2.91015625	2.82421875	2.751953125
NA	NA	NA	NA	NA	NA	NA	NA	NA
Paox	7.64453125	7.80859375	7.8984375	7.515625	7.59375	7.60546875	7.75	7.81640625
NA	NA	NA	NA	NA	NA	NA	NA	NA
Khdrbs2	3.50390625	3.44921875	3.517578125	3.33203125	3.404296875	3.53515625	3.33203125	3.39453125
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
1700001G17Rik	5.375	5.34765625	5.48828125	5.46875	5.5546875	5.34765625	5.3125	5.390625
Rab23	6.01953125	6.01953125	6.125	6.375	6.03515625	6.23046875	6.08984375	6.08203125
Dst	9.09375	9.3984375	9.3984375	9.265625	9.5	9.4296875	9.359375	9.28125
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Imp4	8.1328125	8.2109375	8.1015625	8.2578125	8.2734375	8.2890625	8.1171875	8.125
D1Ertd448e	NA	NA	NA	NA	NA	NA	NA	NA
Ptpn18	5.390625	5.1875	5.1171875	4.9609375	5.1484375	5.28125	5.203125	5.078125
Prss39	4.31640625	4.43359375	4.39453125	4.48828125	4.6015625	4.5859375	4.375	4.5703125
Cfc1	4.80859375	4.94140625	4.7734375	4.9921875	4.84765625	4.94140625	4.78515625	4.953125
Amer3	4.390625	4.0625	4.43359375	4.203125	4.3671875	4.03125	4.078125	4.296875
C230030N03Rik	5.60546875	5.30859375	5.5	5.5703125	5.28515625	5.7890625	5.59375	5.4765625
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Arhgef4	5.63671875	5.52734375	5.76171875	5.7421875	5.6015625	5.71484375	5.50390625	5.734375
Plekhb2	7.0859375	7.2734375	7.140625	7.2265625	7.32421875	7.23828125	7.1328125	6.9609375
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Hs6st1	6.80078125	6.7265625	7.0234375	6.9140625	6.62109375	6.69921875	6.83203125	6.8671875
Arid5a	6.125	6.1640625	6.09765625	6.01171875	6.1015625	6.078125	6.07421875	6.1171875
Fer1l5	NA	NA	NA	NA	NA	NA	NA	NA
