gene_symbol	GSM719996	GSM720001	GSM719994	GSM719999	GSM719997	GSM720000	GSM719998	GSM719995
0610005C13Rik	9.5390625	9.9375	10.1796875	9.5859375	8.9609375	10.1328125	8.96875	9.953125
0610006L08Rik	4.28125	4.046875	4.328125	4.34765625	4.1171875	4.28125	4.1328125	4.0859375
0610007P14Rik	10.1328125	9.9765625	9.9140625	9.984375	9.890625	9.8984375	10.1171875	10.0390625
0610009B22Rik	8.6328125	8.6015625	8.625	8.6171875	8.5859375	8.6640625	8.6015625	8.640625
0610009L18Rik	6.33203125	6.3828125	6.37890625	6.3046875	6.4140625	6.58203125	6.3828125	6.5234375
0610009O20Rik	6.8125	6.66015625	6.73046875	6.845703125	6.71875	6.681640625	6.822265625	6.744140625
0610010F05Rik	5.923828125	6.017578125	6.173828125	5.861328125	6.076171875	6.201171875	6.0625	5.966796875
0610010K14Rik	6.9453125	6.9609375	6.869140625	6.810546875	6.986328125	6.818359375	6.841796875	6.6328125
0610011F06Rik	8.890625	9.1953125	9.25	9.21875	9.1328125	9.28515625	8.73046875	9.1640625
0610012G03Rik	8.299479166666666	8.291666666666666	8.334635416666666	8.352864583333334	8.319010416666666	8.295572916666666	8.28125	8.263020833333334
0610025J13Rik	4.140625	4.21484375	3.939453125	4.21484375	4.33984375	4.25	4.09375	4.35546875
0610030E20Rik	7.7734375	7.94140625	7.97265625	7.767578125	7.794921875	7.919921875	7.787109375	7.869140625
0610033M10Rik	5.05859375	5.59375	5.2578125	5.29296875	5.33203125	4.9140625	5.265625	5.4140625
0610037L13Rik	5.922265625	5.923046875	5.88046875	5.84140625	5.883203125	5.951171875	5.867578125	5.89765625
0610038B21Rik	4.53515625	4.6015625	4.55859375	4.51171875	4.33984375	4.27734375	4.32421875	4.28515625
0610039K10Rik	3.7734375	3.6484375	3.677734375	3.609375	3.65625	3.76171875	3.763671875	3.677734375
0610040A22Rik	3.7734375	3.56640625	3.529296875	3.6328125	3.583984375	3.63671875	3.81640625	3.765625
0610040B10Rik	3.4794921875	3.5595703125	3.6435546875	3.5869140625	3.5263671875	3.568359375	3.623046875	3.6875
0610040F04Rik	6.078125	6.0	5.95703125	6.02734375	5.97265625	5.984375	6.0078125	6.0078125
0610040J01Rik	9.6484375	9.734375	9.8828125	9.8515625	9.75	9.7109375	9.7265625	9.75
0610042E11Rik	3.6708984375	3.705078125	3.7216796875	3.712890625	3.7236328125	3.6572265625	3.814453125	3.7734375
0710001A04Rik	4.04296875	3.66015625	3.314453125	3.779296875	3.5078125	3.69921875	3.798828125	4.07421875
0710001D07Rik	4.86328125	5.2890625	4.9765625	4.703125	4.93359375	5.05859375	4.9140625	5.1875
1010001B22Rik	4.546875	4.57421875	4.62890625	4.484375	4.7109375	4.76171875	4.43359375	4.3671875
1010001I08Rik	3.583984375	3.5625	3.6640625	3.640625	3.5546875	3.60546875	3.501953125	3.505859375
1110002L01Rik	4.8828125	4.859375	4.95703125	4.796875	4.76171875	4.8203125	4.91015625	4.78515625
1110003F02Rik	6.81640625	6.7109375	6.94140625	6.921875	6.34765625	6.77734375	6.375	6.6796875
1110004E09Rik	6.287109375	6.2646484375	6.2255859375	6.3330078125	6.2919921875	6.240234375	6.2744140625	6.3056640625
1110004F10Rik	9.0625	8.9375	8.96875	8.9609375	9.0	8.84375	9.125	8.828125
1110004M10Rik	4.09375	4.0546875	4.0546875	4.0673828125	4.0751953125	4.0703125	4.1298828125	4.0966796875
1110006E14Rik	3.689453125	3.427734375	3.435546875	3.357421875	3.3046875	3.51171875	3.705078125	3.572265625
1110006O24Rik	4.25390625	4.44921875	4.265625	4.21484375	4.140625	4.26953125	4.203125	4.47265625
1110008E08Rik	5.0546875	5.03125	4.9765625	5.26953125	5.046875	4.96484375	4.8671875	5.05078125
1110008F13Rik	7.5947265625	7.626953125	7.62109375	7.6162109375	7.5478515625	7.4306640625	7.59375	7.5029296875
1110008L16Rik	8.375	8.015625	8.0703125	8.2421875	8.2578125	8.2265625	8.4140625	8.2109375
1110008P14Rik	8.661458333333334	8.567708333333334	8.463541666666666	8.583333333333334	8.5625	8.53125	8.541666666666666	8.533854166666666
1110012L19Rik	7.53515625	7.828125	7.75390625	7.76171875	7.77734375	7.859375	7.28125	7.66796875
1110014L15Rik	3.322265625	3.3203125	3.298828125	3.306640625	3.1171875	3.2890625	3.119140625	3.296875
1110015O18Rik	3.134765625	2.935546875	2.982421875	3.361328125	3.044921875	2.873046875	2.98828125	2.99609375
1110017D15Rik	4.19921875	4.60546875	4.62890625	4.38671875	4.62109375	4.37890625	4.4921875	4.41015625
1110018N20Rik	3.658203125	3.34765625	3.65234375	3.60546875	3.494140625	3.68359375	3.45703125	3.2890625
1110019B22Rik	4.20703125	4.390625	4.42578125	4.7734375	4.421875	4.08203125	4.38671875	4.57421875
1110019D14Rik	4.73828125	5.01171875	4.89453125	4.953125	4.96484375	5.09375	4.54296875	5.0
1110020A21Rik	6.7265625	6.91015625	6.703125	6.8984375	6.6953125	6.6953125	6.45703125	6.83984375
1110020C17Rik	5.16015625	5.38671875	5.26171875	5.30859375	5.375	5.3046875	5.13671875	5.34375
1110028F11Rik	4.373046875	4.294921875	4.1279296875	4.31640625	4.1748046875	4.02734375	4.2255859375	4.1875
1110028F18Rik	4.25390625	4.359375	4.3671875	4.34375	4.3671875	4.16796875	4.51171875	4.39453125
1110032A03Rik	5.890625	6.0859375	6.060546875	5.958984375	6.185546875	6.0859375	6.0	5.9921875
1110032F04Rik	3.875	3.78125	3.8125	3.625	3.6474609375	3.8486328125	3.7744140625	3.6953125
1110034G24Rik	6.830078125	7.3515625	7.017578125	7.015625	6.9921875	6.763671875	6.861328125	7.150390625
1110035E04Rik	3.267578125	3.17578125	3.12890625	3.1875	3.095703125	3.080078125	3.19921875	3.1484375
1110035H17Rik	4.7578125	4.9140625	4.7265625	4.4765625	4.67578125	4.97265625	4.578125	4.78125
1110037F02Rik	7.59765625	7.546875	7.525390625	7.328125	7.59375	7.732421875	7.71484375	7.607421875
1110038B12Rik	8.71875	8.640625	8.671875	8.4609375	8.5546875	8.6875	8.546875	8.390625
1110038F14Rik	7.6953125	7.26171875	7.25390625	7.36328125	7.59765625	7.40625	7.96875	7.45703125
1110046J04Rik	3.248046875	3.783203125	3.947265625	3.630859375	3.951171875	3.83984375	3.638671875	3.74609375
1110050P16Rik	4.21875	3.853515625	3.728515625	3.408203125	3.806640625	4.203125	4.35546875	4.06640625
1110051M20Rik	6.921875	6.81640625	6.72265625	6.65234375	6.79296875	6.92578125	6.8515625	6.8046875
1110059E24Rik	9.046875	8.90625	8.875	8.859375	8.828125	8.953125	8.9453125	8.921875
1110059G02Rik	4.10107421875	4.19970703125	3.921875	4.099609375	3.96484375	4.1923828125	3.9521484375	4.45458984375
1110059G10Rik	9.6640625	9.8828125	9.7421875	9.5859375	9.703125	9.796875	9.5390625	9.703125
1110064A23Rik	5.06640625	4.94921875	5.11328125	5.1875	5.0703125	5.1171875	5.1484375	5.14453125
1110065P20Rik	8.125	8.1640625	8.28125	8.453125	8.21875	8.1328125	8.125	8.25
1190002N15Rik	6.173177083333333	7.37890625	7.391927083333333	6.651041666666667	6.565104166666667	7.084635416666667	6.272135416666667	7.256510416666667
1190003K10Rik	3.732421875	3.71875	3.599609375	3.685546875	3.62109375	3.666015625	3.55859375	3.673828125
1190005I06Rik	4.99609375	5.03515625	5.01171875	5.1171875	5.05078125	4.9921875	4.80859375	4.890625
1190007I07Rik	9.4921875	9.4453125	9.265625	9.421875	9.484375	9.2890625	9.3515625	9.265625
1200003I10Rik	3.326171875	3.228515625	3.23046875	3.390625	3.484375	3.4140625	3.234375	3.2265625
1200007C13Rik	5.4296875	5.38671875	5.3203125	5.45703125	5.3515625	5.2109375	5.42578125	5.37890625
1300002E11Rik	6.4296875	6.6328125	6.64453125	6.66796875	6.59765625	6.72265625	6.33984375	6.6953125
1300014J16Rik	3.720703125	3.80078125	3.74609375	3.935546875	3.732421875	3.5703125	3.994140625	4.1015625
1300017J02Rik	5.23046875	5.29296875	5.203125	5.3359375	5.2890625	5.23046875	5.30078125	5.43359375
130004C03	3.4765625	3.671875	3.52734375	3.52734375	3.326171875	3.296875	3.142578125	3.3125
1500002C15Rik	4.359375	4.56640625	4.234375	4.3515625	4.3359375	4.11328125	4.203125	4.30078125
1500002F19Rik	3.701171875	3.830078125	3.6279296875	3.7294921875	3.6796875	3.4951171875	3.6845703125	3.73046875
1500002I01Rik	3.19921875	3.119140625	3.45703125	3.533203125	3.146484375	3.28125	3.216796875	3.34765625
1500002K03Rik	4.078125	4.08203125	4.1875	4.609375	4.3359375	4.1015625	4.36328125	4.55859375
1500004A13Rik	3.6354166666666665	3.7682291666666665	3.7096354166666665	3.6328125	3.58984375	3.61328125	3.5403645833333335	3.62109375
1500004F05Rik	4.5625	4.6171875	4.56640625	4.4921875	4.421875	4.46484375	4.55078125	4.57421875
1500005C15Rik	4.40234375	4.509765625	4.4375	4.34765625	4.4208984375	4.2646484375	4.71484375	4.5751953125
1500009C09Rik	5.328125	5.2890625	5.23046875	5.265625	5.32421875	5.33203125	5.2578125	5.265625
1500009L16Rik	3.8642578125	3.8056640625	3.8505859375	3.98046875	3.7734375	3.8388671875	3.8359375	3.9755859375
1500011B03Rik	6.126953125	6.296875	6.294921875	6.072265625	6.359375	6.33203125	6.2578125	6.177734375
1500011K16Rik	9.0625	9.0859375	9.0234375	8.984375	8.9453125	9.03125	9.0234375	9.09375
1500015A07Rik	4.8828125	4.69921875	5.13671875	5.1484375	4.87890625	5.0390625	4.9375	4.92578125
1500015O10Rik	3.7233072916666665	3.4778645833333335	3.6360677083333335	3.6822916666666665	3.5442708333333335	3.8502604166666665	3.5084635416666665	3.6145833333333335
1500017E21Rik	2.837890625	2.8828125	2.919921875	2.86328125	2.904296875	2.92578125	2.87890625	2.890625
1500032P08Rik	6.1484375	6.19921875	6.05859375	6.05859375	5.9453125	6.16796875	5.94921875	6.2265625
1500035N22Rik	6.41796875	6.265625	6.19140625	6.35546875	6.34765625	6.29296875	6.48828125	6.4453125
1520401O13Rik	4.89453125	4.7265625	4.8359375	5.0	4.615234375	4.580078125	4.890625	4.853515625
1600002H07Rik	5.921875	6.02734375	5.765625	5.91015625	6.23046875	5.84375	5.8515625	5.71875
1600002K03Rik	7.296875	7.0859375	6.63671875	6.73828125	6.9921875	6.97265625	7.02734375	6.8984375
1600010M07Rik	6.27734375	6.55859375	6.2109375	6.28125	6.4765625	6.31640625	6.2421875	6.4296875
1600012H06Rik	8.05859375	8.43359375	8.49609375	8.130859375	8.18359375	8.1796875	8.2578125	8.2578125
1600012P17Rik	6.51953125	6.41796875	6.484375	6.796875	6.51953125	6.48828125	6.265625	6.44140625
1600014C10Rik	6.3046875	6.57470703125	6.42578125	6.45263671875	6.54833984375	6.3828125	6.375	6.50439453125
1600014C23Rik	6.921875	6.76171875	6.75390625	6.890625	6.79296875	7.015625	6.79296875	6.9921875
1600015I10Rik	4.234375	4.546875	4.234375	4.2890625	4.30859375	4.37109375	4.01953125	4.44921875
1600020E01Rik	6.73046875	7.109375	6.921875	6.7890625	6.8671875	7.0234375	6.4296875	6.828125
1600022D10Rik	3.697265625	3.578125	3.47265625	3.763671875	3.59375	3.587890625	3.5546875	3.72265625
1600023N17Rik	3.41796875	3.595703125	3.494140625	3.45703125	3.34765625	3.521484375	3.2109375	3.52734375
1600025M17Rik	3.71484375	3.82421875	3.900390625	3.74609375	3.810546875	3.76953125	3.890625	3.8046875
1600029O15Rik	3.55859375	3.75390625	3.94921875	3.814453125	3.73046875	3.80859375	3.810546875	3.94921875
1700001C02Rik	3.9365234375	3.916015625	3.876953125	3.923828125	3.7197265625	3.8427734375	3.740234375	3.8876953125
1700001C19Rik	4.70703125	4.537109375	4.591796875	4.6796875	4.69921875	4.775390625	4.69921875	4.689453125
1700001D01Rik	3.416015625	3.447265625	3.380859375	3.62109375	3.673828125	3.552734375	3.470703125	3.619140625
1700001G11Rik	5.4765625	5.46875	5.15625	5.078125	5.46484375	5.61328125	5.18359375	5.24609375
1700001G17Rik	5.421875	5.45703125	5.30078125	5.15234375	5.1015625	5.6171875	4.98828125	5.390625
1700001K19Rik	4.3203125	4.23046875	4.5234375	4.359375	4.4609375	4.625	4.4609375	4.375
1700001L05Rik	6.05859375	6.1796875	6.3515625	6.2109375	6.15625	6.28125	6.07421875	6.1796875
1700001L19Rik	4.15234375	4.3046875	4.21484375	4.21875	4.11328125	4.05859375	4.08203125	4.1875
1700001O22Rik	3.9765625	3.939453125	4.09765625	4.1640625	3.966796875	4.125	3.916015625	4.10546875
1700001P01Rik	3.837890625	3.8388671875	3.8603515625	3.845703125	3.9052734375	3.97265625	3.88671875	3.9423828125
1700003D09Rik	3.765625	4.05078125	3.896484375	3.748046875	4.1640625	3.8203125	3.98828125	3.77734375
1700003E16Rik	7.31640625	7.125	7.09765625	7.625	7.3125	7.1484375	7.18359375	7.35546875
1700003E24Rik	2.841796875	2.8046875	2.765625	3.115234375	3.087890625	3.0546875	2.6875	2.966796875
1700003F12Rik	4.1865234375	4.017578125	3.84375	4.1806640625	3.953125	3.9873046875	3.9453125	4.1474609375
1700003G18Rik	3.626953125	3.62890625	3.638671875	3.798828125	3.755859375	3.908203125	3.634765625	3.94921875
1700003H04Rik	3.244140625	3.4306640625	3.3427734375	3.3564453125	3.3623046875	3.3232421875	3.248046875	3.4072265625
1700003I16Rik	4.51953125	4.4375	4.5859375	4.72265625	4.6171875	4.71484375	4.4375	4.5859375
1700003P14Rik	3.310546875	3.212890625	3.2265625	3.212890625	3.2578125	3.3125	3.126953125	3.072265625
1700006A11Rik	3.34765625	3.359375	3.291015625	3.34375	3.326171875	3.111328125	3.70703125	3.556640625
1700006E09Rik	3.052734375	3.0390625	2.96484375	3.10546875	3.095703125	2.869140625	3.181640625	3.08203125
1700006F04Rik	2.990234375	3.009765625	2.791015625	3.0234375	3.296875	3.251953125	2.779296875	2.986328125
1700006J14Rik	3.455078125	3.27734375	3.212890625	3.51171875	3.388671875	3.298828125	3.291015625	3.32421875
1700007B14Rik	3.181640625	3.0625	3.21484375	3.447265625	3.18359375	3.068359375	3.09375	3.08984375
1700007E05Rik	3.134765625	3.07421875	3.2109375	3.275390625	3.052734375	3.162109375	3.041015625	3.154296875
1700007F19Rik	4.0859375	3.978515625	3.724609375	3.962890625	3.939453125	3.708984375	3.982421875	3.884765625
1700007G11Rik	3.18359375	3.21875	3.1015625	3.244140625	3.375	3.240234375	3.376953125	3.419921875
1700007J10Rik	3.998046875	4.2421875	4.0390625	4.0625	4.125	3.861328125	4.1171875	4.12109375
1700007J24Rik	3.712890625	3.513671875	3.591796875	3.88671875	3.634765625	3.6640625	3.681640625	3.806640625
1700007K09Rik	4.60546875	4.390625	4.4296875	4.9140625	4.6171875	4.546875	4.3984375	4.59765625
1700007K13Rik	4.03125	3.833984375	3.826171875	4.13671875	3.875	3.814453125	3.8203125	3.869140625
1700007L15Rik	5.890625	6.234375	6.015625	5.609375	6.0	6.0390625	5.7890625	5.76953125
1700008F19Rik	4.96484375	5.3203125	5.15234375	4.921875	5.359375	5.34375	5.3125	5.41796875
1700008H02Rik	3.017578125	3.125	3.0732421875	3.1416015625	3.1201171875	3.138671875	3.083984375	3.2802734375
1700008J07Rik	4.3095703125	4.4970703125	4.486328125	4.5322265625	4.72265625	4.361328125	4.453125	4.322265625
1700008K24Rik	4.30859375	4.60546875	4.5546875	4.42578125	4.61328125	4.3203125	4.62890625	4.5078125
1700008N17Rik	3.7646484375	3.71484375	3.763671875	3.81640625	3.6005859375	3.642578125	3.755859375	3.802734375
1700008O03Rik	3.888671875	3.513671875	3.763671875	3.96484375	3.65625	3.935546875	3.673828125	3.78125
1700008P02Rik	4.0078125	4.03515625	4.05078125	3.853515625	4.00390625	4.06640625	4.0078125	3.908203125
1700009J07Rik	3.48046875	3.4140625	3.65234375	3.501953125	3.47265625	3.638671875	3.69140625	3.640625
1700009N14Rik	4.15625	4.140625	4.19140625	4.10546875	4.05078125	4.25390625	4.1015625	4.19921875
1700010B08Rik	4.53515625	4.68359375	4.44140625	4.359375	4.609375	4.6875	4.4375	4.5859375
1700010B09Rik	3.607421875	3.75390625	3.76953125	3.728515625	3.734375	3.87109375	3.5546875	3.796875
1700010B13Rik	3.26171875	3.408203125	3.37109375	3.318359375	3.44140625	3.380859375	3.15234375	3.1875
