gene_symbol	GSM4121419	GSM4121420	GSM4121423	GSM4121427	GSM4121424	GSM4121421	GSM4121422	GSM4121425	GSM4121426	GSM4121418	GSM4121417	GSM4121428
A1CF	101.5	83.0625	87.25	109.5	95.625	62.8125	132.25	80.1875	97.125	68.25	62.71875	115.3125
A2M	4.85546875	4.74609375	14.34375	41.0	3.21875	4.7890625	7.03125	2.478515625	34.3125	9.984375	21.359375	7.56640625
A4GALT	27.984375	17.046875	10.6171875	25.21875	26.265625	8.4453125	11.9296875	13.8125	19.671875	7.66015625	12.3359375	38.46875
A4GNT	48.5625	25.671875	68.875	41.75	46.71875	49.125	50.59375	49.65625	62.5	34.59375	48.1875	70.5
AAAS	126.0625	113.875	115.0625	103.125	146.75	121.0625	59.0625	115.375	142.5	51.40625	128.75	101.75
AACS	191.625	165.375	245.375	230.625	369.5	126.9375	173.375	280.0	257.5	148.75	201.125	259.25
AADAC	17.6875	5.26171875	5.3515625	7.13671875	5.02734375	3.9140625	33.03125	27.75	17.328125	5.05859375	2.8984375	4.24609375
AAGAB	64.83984375	39.31640625	51.51171875	43.1796875	49.162109375	66.0625	71.19921875	68.1953125	34.5234375	46.533203125	61.32421875	49.8671875
AAK1	22.544921875	40.709765625	46.633203125	43.47734375	43.11484375	21.79453125	30.898046875	47.1359375	37.8609375	24.95	28.36484375	36.20859375
AAMDC	41.065104166666664	54.479166666666664	77.85416666666667	104.29166666666667	61.388020833333336	55.950520833333336	63.765625	86.5625	70.9140625	46.284342447916664	42.218098958333336	73.28287760416667
AAMP	272.5	219.625	315.5	298.0	380.25	189.875	319.25	352.75	369.0	192.875	197.375	272.0
AANAT	7.32421875	4.1640625	3.322265625	5.4140625	4.8359375	4.26953125	7.28125	3.388671875	7.578125	2.775390625	2.86328125	6.1015625
AAR2	189.5	217.625	326.75	298.5	327.5	233.875	246.0	267.0	363.75	226.0	215.0	277.5
AARS	607.0	499.5	487.5	569.0	589.5	366.25	415.75	503.0	561.0	512.0	549.0	506.0
AASDHPPT	264.4375	280.0	271.25	243.5	175.4375	274.5	231.9375	186.0625	176.375	407.75	282.875	340.0
AASS	20.15234375	3.04150390625	6.19580078125	3.0234375	8.482421875	13.8359375	15.29296875	10.7620849609375	3.991455078125	13.3125	15.48046875	12.89892578125
AATF	313.5	305.0	423.0	350.0	429.5	259.75	290.0	493.75	343.25	264.0	303.75	351.5
AATK	87.0625	113.5625	68.6875	81.0625	104.3125	121.625	117.3125	114.625	97.25	59.96875	63.5	61.03125
ABAT	121.1875	110.73958333333333	55.552083333333336	55.479166666666664	55.760416666666664	128.74739583333334	122.10416666666667	65.04166666666667	49.552083333333336	128.16666666666666	95.15625	62.291666666666664
ABCA1	135.13020833333334	110.265625	57.932291666666664	63.908854166666664	37.627604166666664	207.78841145833334	176.75520833333334	32.832682291666664	37.944010416666664	188.66666666666666	107.12890625	51.830729166666664
ABCA11P	66.75	54.15625	43.53125	52.875	45.125	31.21875	37.0625	23.28125	21.421875	31.8125	51.03125	36.28125
ABCA12	90.75	98.8125	47.65625	50.71875	31.625	51.625	75.4375	23.453125	49.25	91.25	70.8125	67.75
ABCA2	49.059244791666664	36.662760416666664	35.845052083333336	42.17578125	53.690755208333336	27.8203125	34.80078125	23.3828125	37.966796875	24.154296875	24.018229166666668	38.006510416666664
ABCA3	6.765625	2.212890625	3.9375	8.21875	6.578125	5.96875	6.7265625	27.953125	4.8359375	2.955078125	32.3125	6.765625
ABCA4	3.3046875	9.6328125	5.35546875	6.765625	7.62890625	11.625	12.4921875	4.98046875	7.14453125	3.240234375	5.96875	10.765625
ABCA5	58.15625	36.3125	46.25	25.53125	26.6875	64.625	44.4375	7.23828125	21.8125	42.3125	35.0	33.75
ABCA6	38.3125	34.96875	26.640625	16.5625	3.97265625	51.28125	65.5625	23.578125	21.8125	48.625	52.625	48.0625
ABCA7	50.53125	65.3125	55.125	95.25	80.9375	47.71875	72.6875	78.1875	85.6875	38.96875	57.28125	78.375
ABCA8	1.7822265625	2.19921875	1.3466796875	19.53125	2.697265625	8.4609375	3.033203125	13.40625	30.125	8.2421875	8.5078125	24.515625
ABCB1	12.296875	3.666015625	18.65625	3.310546875	4.2578125	8.6953125	25.734375	13.1328125	4.3203125	12.1796875	19.703125	15.3046875
