Sample_geo_accession	Condition	Group
GSM1649191	adult beta cells	Human islet cells
GSM1649192	adult beta cells	Human islet cells
GSM1649193	adult beta cells	Human islet cells
GSM1649194	adult beta cells	Human islet cells
GSM1649195	adult beta cells	Human islet cells
GSM1649196	adult beta cells	Human islet cells
GSM1649197	adult beta cells	Human islet cells
GSM1649198	adult alpha cells	Human islet cells
GSM1649199	adult alpha cells	Human islet cells
GSM1649200	adult alpha cells	Human islet cells
GSM1649201	adult alpha cells	Human islet cells
GSM1649202	adult alpha cells	Human islet cells
GSM1649203	adult alpha cells	Human islet cells
GSM1649204	alpha subtype fetal (12-18 gestational weeks)	Human islet cells
GSM1649205	alpha subtype fetal (12-18 gestational weeks)	Human islet cells
GSM1649206	alpha subtype fetal (12-18 gestational weeks)	Human islet cells
GSM1649207	alpha subtype fetal (12-18 gestational weeks)	Human islet cells
GSM1649208	alpha subtype fetal (12-18 gestational weeks)	Human islet cells
GSM1649209	beta subtype fetal (12-18 gestational weeks)	Human islet cells
GSM1649210	beta subtype fetal (12-18 gestational weeks)	Human islet cells
GSM1649211	beta subtype fetal (12-18 gestational weeks)	Human islet cells
GSM1649212	beta subtype fetal (12-18 gestational weeks)	Human islet cells
GSM1649213	beta subtype fetal (12-18 gestational weeks)	Human islet cells
GSM1649214	beta subtype fetal (12-18 gestational weeks)	Human islet cells
