gene_symbol	GSM401528	GSM401525	GSM401526	GSM401529	GSM401527	GSM401530
0610005C13Rik	3.53125	3.513671875	3.162109375	3.890625	3.515625	3.771484375
0610006L08Rik	3.5390625	3.66796875	4.05078125	3.46484375	3.509765625	3.57421875
0610007P14Rik	7.74609375	7.58984375	7.74609375	7.5625	7.6484375	7.59375
0610009B22Rik	10.078125	10.109375	9.9921875	10.125	10.03125	9.84375
0610009L18Rik	6.9140625	7.18359375	6.734375	6.578125	6.8125	6.62890625
0610009O20Rik	7.576171875	7.7890625	7.87890625	7.654296875	7.6796875	7.673828125
0610010F05Rik	7.7421875	7.712890625	7.705078125	7.69921875	7.626953125	7.591796875
0610010K14Rik	7.82421875	7.95703125	8.375	7.83984375	7.919921875	7.650390625
0610011F06Rik	9.6328125	9.78515625	9.640625	9.75390625	9.7578125	9.6953125
0610012G03Rik	6.761067708333333	7.48828125	7.131510416666667	6.733723958333333	7.235677083333333	6.98046875
0610025J13Rik	5.20703125	5.08984375	5.2890625	5.15234375	5.25	5.1875
0610030E20Rik	7.349609375	7.43359375	7.6875	7.5859375	7.517578125	7.298828125
0610033M10Rik	3.21875	3.50390625	3.263671875	2.91796875	3.314453125	3.314453125
0610037L13Rik	5.8927734375	5.9841796875	5.76640625	6.158203125	5.820703125	5.594140625
0610038B21Rik	4.8359375	5.125	4.953125	4.921875	4.98046875	4.98828125
0610039K10Rik	3.349609375	2.95703125	3.349609375	3.31640625	3.2109375	3.43359375
0610040A22Rik	2.9140625	3.052734375	2.75390625	2.74609375	2.875	2.666015625
0610040B10Rik	5.109375	5.0732421875	5.24609375	4.96875	5.162109375	4.9716796875
0610040F04Rik	2.498046875	2.591796875	2.615234375	2.625	2.69921875	2.943359375
0610040J01Rik	10.3984375	10.40625	10.34375	10.2890625	10.4609375	10.421875
0610042E11Rik	2.5771484375	2.5439453125	2.5078125	2.548828125	2.568359375	2.482421875
0710001A04Rik	3.9375	4.0546875	4.23046875	3.82421875	3.822265625	3.9453125
0710001D07Rik	8.4453125	8.5703125	8.4765625	8.7265625	8.7109375	8.390625
1010001B22Rik	4.3984375	4.50390625	4.48828125	4.39453125	4.5	4.39453125
1010001I08Rik	2.955078125	2.830078125	2.8046875	3.021484375	2.7109375	3.47265625
1110002L01Rik	7.43359375	7.546875	7.35546875	7.4140625	7.46875	7.390625
1110003F02Rik	3.607421875	3.50390625	3.9140625	2.814453125	3.548828125	3.154296875
1110004E09Rik	7.1220703125	7.3818359375	7.333984375	7.228515625	7.4052734375	7.28125
1110004F10Rik	10.0546875	9.796875	10.0546875	9.9921875	9.9609375	9.796875
1110004M10Rik	4.931640625	5.078125	6.06640625	5.23046875	5.29296875	4.6943359375
1110006E14Rik	6.37890625	5.79296875	7.23828125	7.1953125	6.40625	6.0703125
1110006O24Rik	5.66015625	5.80859375	5.46484375	5.6328125	5.69921875	5.64453125
1110008E08Rik	3.7578125	3.513671875	3.791015625	3.728515625	3.697265625	3.91015625
1110008F13Rik	6.326171875	6.041015625	6.201171875	6.50390625	6.2265625	6.267578125
1110008L16Rik	7.67578125	7.375	7.16015625	7.609375	7.5	7.7578125
1110008P14Rik	6.52734375	6.783854166666667	6.6484375	6.572916666666667	6.772135416666667	6.748697916666667
1110012L19Rik	8.2109375	8.234375	7.9140625	8.4375	8.453125	7.9765625
1110014L15Rik	4.71875	5.875	5.92578125	4.7890625	6.40625	5.34375
1110015O18Rik	1.923828125	2.154296875	1.93359375	1.923828125	2.16796875	1.837890625
1110017D15Rik	5.28515625	5.640625	4.47265625	5.34375	5.50390625	5.265625
1110018N20Rik	5.8984375	5.71484375	5.984375	5.8046875	5.8671875	6.1171875
1110019B22Rik	2.51953125	2.177734375	2.208984375	2.521484375	2.60546875	2.92578125
1110019D14Rik	7.08984375	7.11328125	6.25	7.171875	5.98828125	7.125
1110020A21Rik	5.7265625	6.296875	6.296875	5.86328125	6.15625	5.85546875
1110020C17Rik	3.6953125	3.79296875	4.00390625	3.822265625	4.0859375	3.87890625
1110028F11Rik	2.328125	2.2568359375	2.396484375	2.3076171875	2.5927734375	2.5078125
1110028F18Rik	3.4921875	3.58984375	3.650390625	3.583984375	3.7890625	3.9140625
1110032A03Rik	6.0361328125	5.92578125	5.9326171875	6.2578125	6.0703125	6.396484375
1110032F04Rik	3.0546875	2.8525390625	2.7705078125	2.8798828125	2.74609375	2.7978515625
1110034G24Rik	6.41015625	6.0859375	5.83203125	6.287109375	5.9921875	6.052734375
1110035E04Rik	4.95703125	5.5	5.69140625	5.0859375	5.50390625	3.65625
1110035H17Rik	5.26171875	4.3828125	5.57421875	4.64453125	4.91015625	4.5703125
1110037F02Rik	8.796875	9.22265625	8.5234375	8.85546875	8.6953125	8.6796875
1110038B12Rik	8.375	8.5	9.0234375	8.375	8.234375	7.83984375
1110038F14Rik	9.2578125	9.4375	9.1953125	9.234375	9.5390625	9.234375
1110046J04Rik	4.41015625	4.984375	4.87109375	5.2734375	3.47265625	4.55859375
1110050P16Rik	4.13671875	3.7890625	4.23828125	4.62109375	4.0234375	3.74609375
1110051M20Rik	7.24609375	7.58984375	7.44140625	7.22265625	7.4609375	7.2578125
1110059E24Rik	7.76953125	7.8984375	7.6796875	8.078125	7.50390625	7.76953125
1110059G02Rik	2.90771484375	3.12158203125	4.8154296875	2.87646484375	4.0859375	2.98974609375
1110059G10Rik	8.109375	8.2265625	8.3515625	8.0078125	8.1015625	8.046875
1110064A23Rik	4.22265625	4.0	4.56640625	3.564453125	4.25	4.25390625
1110065P20Rik	7.9765625	7.59765625	7.71484375	8.0703125	7.90625	7.90625
1190002N15Rik	6.391927083333333	6.494791666666667	6.28515625	6.248697916666667	6.134114583333333	6.194010416666667
1190003K10Rik	2.1171875	2.037109375	2.083984375	2.494140625	2.37890625	2.51171875
1190005I06Rik	5.8515625	6.33984375	5.60546875	5.64453125	6.05078125	6.2109375
1190007I07Rik	7.56640625	7.73828125	7.95703125	7.6328125	8.0546875	7.53125
1200003I10Rik	3.41015625	3.130859375	3.435546875	3.154296875	3.97265625	3.50390625
1200007C13Rik	5.51171875	4.48046875	4.875	5.37109375	4.51171875	4.94921875
1300002E11Rik	4.7109375	4.71875	4.8203125	5.01953125	4.765625	4.7734375
1300014J16Rik	2.95703125	2.87109375	2.8046875	2.806640625	2.69921875	2.845703125
1300017J02Rik	4.51171875	4.546875	4.8203125	4.7109375	4.0	4.515625
130004C03	3.63671875	3.41796875	5.71875	4.37890625	5.609375	4.0859375
1500002C15Rik	6.03515625	6.14453125	5.96875	5.97265625	6.2578125	5.5859375
1500002F19Rik	4.0576171875	3.8515625	4.185546875	4.416015625	4.05078125	3.8857421875
1500002I01Rik	3.732421875	3.7421875	4.23828125	4.01953125	4.1015625	3.578125
1500002K03Rik	4.46875	4.03125	4.96875	4.421875	4.53515625	4.4296875
1500004A13Rik	4.94140625	5.194661458333333	5.338541666666667	4.768229166666667	5.173828125	5.119791666666667
1500004F05Rik	5.89453125	6.0625	5.78515625	5.5625	5.875	5.765625
1500005C15Rik	3.8291015625	3.62109375	3.787109375	3.6591796875	3.814453125	3.89453125
1500009C09Rik	3.62109375	3.443359375	3.9375	3.365234375	3.771484375	3.39453125
1500009L16Rik	6.490234375	6.638671875	6.373046875	5.8876953125	6.5380859375	6.23046875
1500011B03Rik	8.505859375	8.53125	8.248046875	8.46484375	8.359375	8.26171875
1500011K16Rik	10.7265625	10.8203125	10.9921875	10.671875	11.1171875	10.78125
1500015A07Rik	7.890625	8.125	8.2265625	7.6328125	8.40625	8.0234375
1500015O10Rik	3.8229166666666665	3.7447916666666665	3.5989583333333335	3.8125	3.8365885416666665	3.7786458333333335
1500017E21Rik	2.1640625	2.08984375	2.150390625	2.115234375	1.8662109375	2.1640625
1500032P08Rik	3.97265625	3.9140625	3.873046875	3.87890625	4.19921875	3.861328125
1500035N22Rik	3.107421875	3.23046875	3.291015625	3.091796875	3.064453125	3.388671875
1520401O13Rik	5.408203125	4.955078125	5.0625	5.341796875	5.361328125	5.30859375
1600002H07Rik	6.55859375	6.296875	5.85546875	6.6484375	6.41015625	6.65625
