Sample_geo_accession	Condition	Group
GSM4725041	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725042	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725043	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725044	 0.1percent ethanol 24 h	PBMCs
GSM4725045	 0.1percent ethanol 24 h	PBMCs
GSM4725046	 0.1percent ethanol 24 h	PBMCs
GSM4725047	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725048	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725049	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725050	 0.1percent ethanol 24 h	PBMCs
GSM4725051	 0.1percent ethanol 24 h	PBMCs
GSM4725052	 0.1percent ethanol 24 h	PBMCs
GSM4725053	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725054	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725055	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725056	 0.1percent ethanol 24 h	PBMCs
GSM4725057	 0.1percent ethanol 24 h	PBMCs
GSM4725058	 0.1percent ethanol 24 h	PBMCs
GSM4725059	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725060	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725061	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725062	 0.1percent ethanol 24 h	PBMCs
GSM4725063	 0.1percent ethanol 24 h	PBMCs
GSM4725064	 0.1percent ethanol 24 h	PBMCs
GSM4725065	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725066	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725067	 10 nM 1,25(OH)2D3 24 h	PBMCs
GSM4725068	 0.1percent ethanol 24 h	PBMCs
GSM4725069	 0.1percent ethanol 24 h	PBMCs
GSM4725070	 0.1percent ethanol 24 h	PBMCs
