	GSM2906486	GSM2906487	GSM2906488	GSM2906489	GSM2906490	GSM2906491
0610007P14Rik	5341	4908	4415	4197	5683	6652
0610009B22Rik	1593	1435	1449	1383	1458	1847
0610009L18Rik	57	60	72	30	70	71
0610009O20Rik	3939	3484	3363	3031	3941	4267
0610010F05Rik	1788	1538	1651	1565	1567	2115
0610010K14Rik	1067	909	856	714	1046	936
0610011F06Rik	7906	6712	6946	6102	7733	9232
0610012G03Rik	2690	2154	2137	1673	2335	2811
0610030E20Rik	2952	2554	2492	2620	3012	3030
0610037L13Rik	2077	1840	1888	1581	1947	2373
0610040J01Rik	2942	2438	2397	2267	2777	3211
1110001J03Rik	1440	1263	1307	1139	1468	1636
1110002E22Rik	12	2	10	7	6	10
1110004E09Rik	1354	1043	1111	895	1258	1400
1110004F10Rik	4306	3869	3918	3641	4386	4853
1110008F13Rik	9352	8002	7600	7833	8634	10372
1110008L16Rik	829	800	774	813	862	938
1110008P14Rik	1607	1293	1345	1037	1371	1714
1110012L19Rik	1233	969	981	1061	1141	1156
1110017D15Rik	1	0	1	3	2	1
1110025L11Rik	0	0	0	0	0	0
1110032A03Rik	2332	1974	2069	2185	2366	2911
1110032F04Rik	2	3	3	0	4	1
1110034G24Rik	681	601	540	546	639	673
1110037F02Rik	2332	2024	2098	1848	2335	2541
1110038F14Rik	704	653	636	543	720	801
1110051M20Rik	496	356	419	382	525	498
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	1999	1841	1734	1810	2089	2284
1110059G10Rik	1173	932	1016	1049	1164	1376
1110065P20Rik	1221	1009	1031	909	1208	1538
1190002N15Rik	7261	6617	6774	6180	6878	9658
1190003K10Rik	0	0	0	0	0	0
1190005I06Rik	460	408	382	366	496	576
1190007I07Rik	739	556	710	673	755	920
1300017J02Rik	30717	27523	26228	27469	30155	34516
1500009C09Rik	2	0	0	2	0	0
1500009L16Rik	18	10	12	14	17	12
1500011B03Rik	163	122	147	106	185	171
1500011K16Rik	1146	912	964	901	1148	1254
1500015O10Rik	8	14	10	15	19	12
1520401A03Rik	9	1	2	0	4	4
1600002H07Rik	3566	3045	3390	3317	3301	6295
1600002K03Rik	304	271	258	248	294	327
1600012H06Rik	4368	3748	3769	3595	4261	5377
1600014C10Rik	17451	16384	16434	15755	19542	21139
1600014C23Rik	5	1	0	0	0	0
1600015I10Rik	0	0	0	0	1	0
1600029O15Rik	25	13	16	23	15	20
1700001C02Rik	4	1	0	0	1	0
1700001C19Rik	967	810	749	849	892	994
1700001F09Rik	0	0	0	0	0	0
1700001J03Rik	3	2	2	7	5	7
1700001J11Rik	3	9	3	5	3	0
1700001K19Rik	2	2	5	1	3	4
1700001L19Rik	4	1	1	4	5	3
1700001O22Rik	5	5	14	6	14	4
1700001P01Rik	0	1	0	3	3	1
1700003E16Rik	104	102	88	91	118	115
1700003F12Rik	29	14	24	10	16	27
1700003H04Rik	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	1
1700007B14Rik	0	0	0	0	0	0
1700007E05Rik	4	6	4	2	4	4
1700007G11Rik	1	0	0	0	1	0
1700007K09Rik	0	0	0	0	6	0
1700007K13Rik	11	8	9	19	22	25
