Sample_geo_accession	Condition	Group
GSM4495677	vehicle	subcutaneous abdominal adipose progenitor cells
GSM4495679	vehicle	subcutaneous abdominal adipose progenitor cells
GSM4495681	vehicle	subcutaneous abdominal adipose progenitor cells
GSM4495683	vehicle	subcutaneous abdominal adipose progenitor cells
GSM4495685	vehicle	subcutaneous abdominal adipose progenitor cells
GSM4495687	vehicle	subcutaneous abdominal adipose progenitor cells
GSM4495678	dox (0.05 ug/ml)	subcutaneous abdominal adipose progenitor cells
GSM4495680	dox (0.05 ug/ml)	subcutaneous abdominal adipose progenitor cells
GSM4495682	dox (0.05 ug/ml)	subcutaneous abdominal adipose progenitor cells
GSM4495684	dox (0.05 ug/ml)	subcutaneous abdominal adipose progenitor cells
GSM4495686	dox (0.05 ug/ml)	subcutaneous abdominal adipose progenitor cells
GSM4495688	dox (0.05 ug/ml)	subcutaneous abdominal adipose progenitor cells
GSM4495689	vehicle	gluteal adipose progenitor cells
GSM4495691	vehicle	gluteal adipose progenitor cells
GSM4495693	vehicle	gluteal adipose progenitor cells
GSM4495695	vehicle	gluteal adipose progenitor cells
GSM4495697	vehicle	gluteal adipose progenitor cells
GSM4495699	vehicle	gluteal adipose progenitor cells
GSM4495690	dox (0.05 ug/ml)	gluteal adipose progenitor cells
GSM4495692	dox (0.05 ug/ml)	gluteal adipose progenitor cells
GSM4495694	dox (0.05 ug/ml)	gluteal adipose progenitor cells
GSM4495696	dox (0.05 ug/ml)	gluteal adipose progenitor cells
GSM4495698	dox (0.05 ug/ml)	gluteal adipose progenitor cells
GSM4495700	dox (0.05 ug/ml)	gluteal adipose progenitor cells
