Sample_geo_accession	Condition	Group
GSM3137413	TB_DM	Whole Blood
GSM3137417	TB_DM	Whole Blood
GSM3137418	TB_DM	Whole Blood
GSM3137420	TB_DM	Whole Blood
GSM3137421	TB_DM	Whole Blood
GSM3137431	TB_DM	Whole Blood
GSM3137436	TB_DM	Whole Blood
GSM3137438	TB_DM	Whole Blood
GSM3137442	TB_DM	Whole Blood
GSM3137450	TB_DM	Whole Blood
GSM3137455	TB_DM	Whole Blood
GSM3137460	TB_DM	Whole Blood
GSM3137463	TB_DM	Whole Blood
GSM3137464	TB_DM	Whole Blood
GSM3137466	TB_DM	Whole Blood
GSM3137468	TB_DM	Whole Blood
GSM3137471	TB_DM	Whole Blood
GSM3137474	TB_DM	Whole Blood
GSM3137483	TB_DM	Whole Blood
GSM3137491	TB_DM	Whole Blood
GSM3137497	TB_DM	Whole Blood
GSM3137498	TB_DM	Whole Blood
GSM3137501	TB_DM	Whole Blood
GSM3137507	TB_DM	Whole Blood
GSM3137509	TB_DM	Whole Blood
GSM3137511	TB_DM	Whole Blood
GSM3137517	TB_DM	Whole Blood
GSM3137520	TB_DM	Whole Blood
GSM3137521	TB_DM	Whole Blood
GSM3137524	TB_DM	Whole Blood
GSM3137528	TB_DM	Whole Blood
GSM3137530	TB_DM	Whole Blood
GSM3137531	TB_DM	Whole Blood
GSM3137535	TB_DM	Whole Blood
GSM3137541	TB_DM	Whole Blood
GSM3137543	TB_DM	Whole Blood
GSM3137545	TB_DM	Whole Blood
GSM3137554	TB_DM	Whole Blood
GSM3137555	TB_DM	Whole Blood
GSM3137573	TB_DM	Whole Blood
GSM3137574	TB_DM	Whole Blood
GSM3137578	TB_DM	Whole Blood
GSM3137582	TB_DM	Whole Blood
GSM3137583	TB_DM	Whole Blood
GSM3137589	TB_DM	Whole Blood
GSM3137592	TB_DM	Whole Blood
GSM3137600	TB_DM	Whole Blood
GSM3137602	TB_DM	Whole Blood
GSM3137604	TB_DM	Whole Blood
GSM3137606	TB_DM	Whole Blood
GSM3137607	TB_DM	Whole Blood
GSM3137611	TB_DM	Whole Blood
GSM3137616	TB_DM	Whole Blood
GSM3137620	TB_DM	Whole Blood
GSM3137625	TB_DM	Whole Blood
GSM3137627	TB_DM	Whole Blood
GSM3137630	TB_DM	Whole Blood
GSM3137632	TB_DM	Whole Blood
GSM3137634	TB_DM	Whole Blood
GSM3137649	TB_DM	Whole Blood
GSM3137661	TB_DM	Whole Blood
GSM3137414	TB_only	Whole Blood
GSM3137423	TB_only	Whole Blood
GSM3137426	TB_only	Whole Blood
GSM3137430	TB_only	Whole Blood
GSM3137432	TB_only	Whole Blood
GSM3137434	TB_only	Whole Blood
GSM3137439	TB_only	Whole Blood
GSM3137449	TB_only	Whole Blood
GSM3137451	TB_only	Whole Blood
GSM3137462	TB_only	Whole Blood
GSM3137465	TB_only	Whole Blood
GSM3137467	TB_only	Whole Blood
GSM3137479	TB_only	Whole Blood
GSM3137487	TB_only	Whole Blood
GSM3137489	TB_only	Whole Blood
GSM3137518	TB_only	Whole Blood
GSM3137532	TB_only	Whole Blood
GSM3137536	TB_only	Whole Blood
GSM3137540	TB_only	Whole Blood
GSM3137542	TB_only	Whole Blood
GSM3137544	TB_only	Whole Blood
GSM3137549	TB_only	Whole Blood
GSM3137553	TB_only	Whole Blood
GSM3137558	TB_only	Whole Blood
GSM3137560	TB_only	Whole Blood
GSM3137567	TB_only	Whole Blood
GSM3137568	TB_only	Whole Blood
GSM3137577	TB_only	Whole Blood
GSM3137584	TB_only	Whole Blood
GSM3137585	TB_only	Whole Blood
GSM3137590	TB_only	Whole Blood
GSM3137610	TB_only	Whole Blood
GSM3137613	TB_only	Whole Blood
GSM3137617	TB_only	Whole Blood
