	GSM4685031	GSM4685032	GSM4685033	GSM4685034	GSM4685035	GSM4685036	GSM4685037	GSM4685038	GSM4685039	GSM4685040
NUDT13	6	6	0	1	1	2	1	3	4	4
NUDT14	2	14	0	1	37	33	26	5	2	1
NUDT15	6	4	0	3	19	14	12	2	2	1
NUDT16	19	25	17	10	41	31	25	29	31	19
NUDT16-DT	9	6	1	0	3	0	1	4	6	10
NUDT16L1	4	2	0	2	54	45	35	8	8	6
NUDT16L2P	5	5	7	0	1	0	0	6	4	2
NUDT17	2	1	1	1	8	3	1	2	1	0
NUDT18	1	1	0	0	23	19	19	1	2	0
NUDT19	3	8	1	6	9	7	13	3	9	4
NUDT19-DT	0	0	0	0	0	1	0	0	0	0
NUDT19P2	0	0	0	0	0	0	0	0	0	0
NUDT19P3	0	0	0	0	0	0	0	0	0	0
NUDT19P4	0	0	0	0	0	0	0	0	0	0
NUDT19P5	0	0	0	0	0	0	0	1	0	1
NUDT19P6	0	0	0	0	0	0	0	0	0	0
NUDT2	2	1	2	6	8	11	10	5	4	1
NUDT21	60	36	9	34	47	37	52	11	22	22
NUDT22	11	11	2	1	87	65	71	0	12	5
NUDT3	90	72	0	44	41	15	21	0	53	57
NUDT4	108	76	20	6	34	32	47	33	42	39
NUDT4B	9	15	0	0	0	0	7	14	6	0
NUDT4P2	0	1	0	4	6	4	4	1	3	3
NUDT5	25	33	11	28	36	20	33	36	29	35
NUDT6	1	4	0	2	5	1	2	10	6	13
NUDT7	10	12	1	1	3	3	3	1	4	8
NUDT8	5	1	0	0	4	2	6	2	3	4
NUDT9	4	11	8	5	18	21	13	7	11	8
NUDT9P1	0	0	0	0	0	0	0	0	0	0
NUF2	0	0	14	12	17	10	6	1	25	9
NUFIP1	3	5	1	5	9	6	9	4	1	1
NUFIP1P1	0	0	0	0	0	0	0	0	0	0
NUFIP2	99	126	52	38	97	70	56	85	97	96
NUGGC	9	16	11	6	3	5	2	29	17	16
NUMA1	100	72	12	54	198	149	160	89	114	123
NUMB	59	55	10	17	56	41	49	37	50	39
NUMBL	6	3	0	8	31	25	19	7	10	11
NUP107	17	21	2	21	57	42	38	19	9	13
NUP107-DT	0	0	0	0	1	0	0	0	2	0
NUP133	25	33	7	39	31	36	31	18	32	26
NUP133-DT	0	0	0	0	0	0	0	0	5	0
NUP153	53	67	14	60	69	58	59	46	52	58
NUP153-AS1	1	0	1	0	3	3	2	0	0	0
NUP155	31	36	13	34	43	56	30	20	30	29
NUP160	44	55	3	40	40	30	26	25	34	35
NUP188	21	22	17	33	131	102	106	14	42	22
NUP205	58	32	12	61	84	74	65	21	42	39
NUP210	28	52	16	71	69	67	38	41	65	63
NUP210L	0	0	0	0	0	0	0	1	4	1
NUP210P1	0	0	0	0	0	0	0	0	0	0
NUP210P2	0	0	0	0	0	0	0	0	0	0
NUP210P3	0	0	0	0	0	0	0	0	0	0
NUP214	49	56	22	25	80	67	67	50	64	79
NUP35	7	4	3	3	8	6	6	3	8	3
NUP35P1	1	0	0	0	0	0	0	0	0	0
NUP35P2	0	0	0	0	0	0	0	0	0	0
NUP37	9	5	0	7	23	19	16	5	6	7
NUP42	13	7	1	2	9	21	20	6	9	7
NUP43	8	6	8	10	29	18	24	19	27	14
NUP50	60	55	22	22	49	44	25	38	45	37
NUP50-DT	4	4	2	0	8	8	2	5	4	3
NUP50P1	0	0	4	0	0	0	0	0	0	0
NUP54	15	23	4	14	25	22	23	7	19	9
NUP58	18	18	12	15	55	24	25	14	41	25
NUP58P1	0	0	0	0	1	0	0	0	0	0
NUP62	15	20	5	27	73	59	68	16	28	12
NUP62CL	2	1	0	5	0	3	1	1	2	0
NUP85	19	14	4	16	42	31	28	10	23	23
NUP88	23	40	10	22	31	38	40	22	34	30
NUP93	15	13	1	26	78	47	44	6	10	7
NUP93-DT	1	0	0	1	0	0	0	1	1	1
NUP98	157	140	56	49	108	85	87	80	115	88
NUPR1	31	22	23	6	38	29	34	21	27	26
NUPR2	0	0	0	0	0	0	0	0	0	0
NUS1	23	27	15	27	34	36	32	27	41	33
NUS1P1	0	4	0	0	0	0	0	0	0	2
NUS1P2	0	0	0	1	0	0	0	0	0	0
NUS1P3	0	0	0	0	4	0	0	0	0	0
NUS1P4	0	0	0	0	0	0	0	0	0	0
NUSAP1	19	1	4	14	42	45	44	6	9	13
NUTF2	21	24	2	21	112	80	89	12	8	8
NUTF2P2	0	0	0	0	0	0	0	0	0	0
NUTF2P3	0	0	0	0	3	0	0	0	0	0
NUTF2P4	0	0	0	0	0	0	0	0	0	0
NUTF2P5	0	0	0	0	0	0	0	0	0	0
NUTF2P6	0	0	0	2	0	0	0	0	0	0
NUTF2P7	0	0	0	0	0	0	0	0	0	0
NUTF2P8	0	0	0	0	0	0	1	0	0	0
NUTM1	1	0	0	0	0	0	0	0	0	0
NUTM2A	0	0	0	0	3	0	0	5	3	3
NUTM2A-AS1	57	51	14	4	36	22	10	33	40	22
NUTM2B	8	2	0	6	0	1	0	3	3	0
NUTM2B-AS1	42	46	12	3	8	25	5	38	36	23
NUTM2D	10	11	0	0	6	8	14	5	10	8
NUTM2E	8	0	0	0	4	3	0	7	18	6
NUTM2F	0	0	0	0	0	0	0	1	1	0
NUTM2G	6	2	0	1	0	1	0	0	0	3
NUTM2HP	1	0	0	0	0	0	0	0	0	0
NVL	12	6	3	25	13	16	11	8	14	5
NWD1	0	0	0	0	0	0	0	2	2	1
NWD2	2	1	1	1	1	0	2	0	1	0
NXF1	35	43	7	23	77	55	51	30	18	32
NXF2	0	0	0	0	4	1	1	1	1	1
NXF2B	0	0	0	0	4	1	1	2	1	3
NXF3	1	1	0	0	0	0	1	3	6	2
NXF4	0	0	0	0	0	0	0	0	0	0
NXF5	0	0	0	0	0	0	0	0	0	0
NXN	6	8	1	8	71	39	49	2	7	8
NXNL1	0	0	0	0	0	0	0	0	0	0
NXNL2	0	3	1	0	0	0	2	2	4	4
NXNP1	0	0	0	0	0	0	0	0	0	0
NXPE1	1	0	0	0	0	0	0	2	0	1
NXPE2	0	0	0	0	0	0	0	0	0	0
NXPE2P1	0	0	0	0	0	0	0	0	0	0
NXPE3	14	7	0	13	23	13	10	10	19	10
NXPE4	0	0	0	0	0	0	0	0	0	1
NXPH1	0	0	0	0	0	0	0	0	0	0
NXPH2	0	0	0	0	1	3	1	0	0	0
NXPH3	1	1	1	2	0	0	2	1	1	0
NXPH4	4	2	0	2	10	4	11	1	1	1
NXT1	3	2	0	4	18	13	14	4	3	2
NXT1-AS1	0	0	0	0	0	0	0	0	0	0
NXT1P1	0	0	0	0	0	0	0	0	0	0
NXT2	3	5	3	4	9	14	7	10	8	2
NYAP1	0	0	0	0	3	1	2	1	0	0
NYAP2	0	2	1	0	0	0	1	0	1	3
NYNRIN	27	34	0	4	14	7	16	27	38	13
NYX	0	0	0	0	0	0	0	0	0	0
OACYLP	0	0	0	0	0	0	0	0	1	0
OAF	32	30	33	15	150	107	122	55	44	26
OARD1	26	19	2	6	8	9	10	10	15	5
OAS1	35	44	2	3	35	38	27	34	50	40
OAS2	11	38	3	1	16	13	12	24	39	30
OAS3	38	30	4	0	49	47	38	40	61	46
OASL	8	4	0	0	15	17	13	5	7	7
OASL2P	0	0	0	0	0	0	0	0	0	0
OAT	14	21	13	27	51	25	43	51	48	28
OAZ1	44	56	29	102	660	488	553	30	54	46
OAZ1P1	0	0	0	0	0	0	2	0	0	0
OAZ2	33	35	15	13	71	59	47	27	15	18
OAZ3	0	1	1	0	0	3	1	3	0	1
OBI1	5	4	0	8	12	7	12	3	7	0
OBI1-AS1	0	0	2	0	0	1	0	0	0	3
OBP2A	0	0	0	0	0	0	0	0	0	0
OBP2B	0	0	0	0	0	0	0	0	0	0
OBSCN	3	9	0	8	5	2	3	22	37	31
OBSCN-AS1	0	0	0	1	0	0	0	1	2	2
OBSL1	10	18	11	25	84	69	76	10	12	24
OC90	0	0	0	0	0	0	0	0	0	0
OCA2	0	0	0	0	50	37	37	4	20	3
OCEL1	2	10	1	2	28	29	24	3	9	3
OCIAD1	26	48	4	15	58	31	31	31	39	30
OCIAD1-AS1	5	0	0	1	2	4	1	1	2	2
OCIAD2	17	5	14	3	13	1	2	7	12	7
OCLN	117	98	47	4	29	46	37	34	29	32
OCLNP1	33	0	0	0	1	0	0	0	0	0
OCM	0	0	0	0	0	0	0	0	0	0
OCM2	0	0	0	0	0	0	0	0	0	0
OCRL	35	49	10	30	35	35	26	31	43	36
OCSTAMP	0	0	0	0	0	0	0	0	0	0
ODAD1	1	1	0	2	4	1	0	3	3	1
ODAD2	0	1	4	0	0	1	1	0	0	1
ODAD2P1	0	0	0	0	0	0	0	0	0	0
ODAD3	1	0	0	5	2	1	0	0	0	0
ODAD4	1	1	0	1	1	0	0	0	1	0
ODAM	0	1	0	0	0	0	1	0	1	0
ODAPH	0	0	0	0	0	0	0	0	0	0
ODC1	35	21	11	54	80	78	48	24	41	42
ODC1-DT	2	6	0	1	4	5	2	4	3	4
ODCP	0	1	0	0	0	0	0	1	1	0
ODF1	0	0	0	0	0	0	0	0	0	0
ODF2	10	7	8	19	55	39	35	14	12	15
ODF2-AS1	1	1	0	0	0	0	0	0	0	1
ODF2L	34	29	0	10	30	14	13	13	23	26
ODF3	0	1	0	0	0	0	0	1	0	0
ODF3B	5	8	3	0	15	17	11	5	2	5
ODF3L1	0	0	0	0	0	0	0	1	1	0
ODF3L2	0	1	0	0	0	0	0	0	2	0
ODF4	0	0	0	0	0	0	0	0	0	0
ODR4	13	35	5	11	14	22	23	21	12	20
OFCC1	3	0	0	0	0	0	0	2	0	3
OFD1	27	28	11	17	30	15	18	18	23	26
OFD1P10Y	0	0	0	0	0	0	0	0	0	0
OFD1P11Y	0	0	0	0	0	0	0	0	0	0
OFD1P12Y	0	0	0	0	0	0	0	0	0	0
OFD1P13Y	0	0	0	0	0	0	0	0	0	0
OFD1P15Y	0	0	0	0	0	0	0	0	0	0
OFD1P16Y	0	0	0	0	0	0	0	0	0	0
OFD1P17	0	1	2	0	0	0	1	1	0	0
OFD1P18Y	0	0	0	0	0	0	0	0	0	0
OFD1P1Y	0	0	0	0	0	0	0	0	0	0
OFD1P2Y	0	0	0	0	0	0	0	0	0	0
OFD1P3Y	0	0	0	0	0	0	0	0	0	0
OFD1P4Y	0	0	0	0	0	0	0	2	0	0
OFD1P5Y	0	0	0	0	0	0	0	0	0	0
OFD1P6Y	0	0	0	0	0	0	0	0	0	0
OFD1P7Y	0	0	0	0	0	0	0	0	0	0
OFD1P8Y	0	0	0	0	0	0	0	0	0	0
OFD1P9Y	0	0	0	0	0	0	0	0	0	0
OGA	87	84	23	61	70	58	59	58	69	54
OGDH	68	50	29	20	193	107	107	47	51	42
OGDHL	23	32	25	19	23	8	17	59	42	31
OGFOD1	26	29	5	20	28	11	17	7	6	6
OGFOD1P1	1	1	0	0	0	1	1	0	0	0
OGFOD2	12	3	0	4	36	23	31	3	12	4
OGFOD3	5	4	1	7	30	32	35	9	9	7
OGFR	11	14	4	12	144	121	118	14	17	15
OGFR-AS1	0	0	0	0	2	0	0	3	1	0
OGFRL1	18	25	2	10	19	21	15	33	122	32
OGFRP1	4	2	0	1	2	2	2	2	4	2
OGG1	5	14	0	5	28	16	34	12	13	5
OGN	1	11	6	0	3	3	1	1	4	2
OGT	104	124	37	124	153	134	134	113	120	124
OIP5	7	0	4	3	10	12	6	1	0	0
OIP5-AS1	36	72	51	31	51	46	44	57	73	81
OIT3	13	50	1	4	9	2	12	24	26	25
OLA1	12	22	1	34	65	49	47	11	23	8
OLA1P1	0	0	0	0	0	0	0	0	0	0
OLA1P2	0	1	0	1	0	0	0	0	2	0
OLA1P3	0	1	0	0	0	3	0	2	1	0
OLAH	0	1	1	0	0	0	0	0	0	0
OLFM1	1	0	0	1	1	3	2	1	2	1
OLFM2	4	2	10	4	7	7	11	5	11	6
OLFM3	0	0	0	0	0	1	0	0	0	0
OLFM4	16	6	0	0	0	0	0	0	0	0
OLFM5P	0	0	0	0	1	0	0	1	0	0
OLFML1	3	5	1	0	4	2	0	3	8	3
OLFML2A	2	7	4	1	15	15	10	7	8	5
OLFML2B	13	5	2	0	9	0	2	3	7	5
OLFML3	3	14	0	1	60	57	54	9	14	8
OLIG1	0	0	0	0	0	0	0	0	0	0
OLIG2	0	0	0	0	0	0	0	0	0	0
OLIG3	0	0	0	0	0	0	0	0	0	0
OLMALINC	152	171	51	19	56	52	50	203	225	207
OLR1	3	3	2	0	11	21	23	3	2	3
OMA1	27	13	3	8	9	12	5	10	10	14
OMD	3	2	4	1	1	1	0	2	4	2
OMG	4	5	3	0	2	1	0	4	3	5
OMP	0	0	0	0	0	3	0	0	0	0
ONECUT1	107	41	34	1	20	19	13	38	30	42
ONECUT2	47	38	75	24	37	31	23	35	41	39
ONECUT3	3	0	3	3	1	0	0	1	1	0
OOEP	0	0	0	0	0	0	2	0	0	0
OOEP-AS1	0	0	0	0	0	1	0	0	0	0
OOEPP1	0	0	0	0	0	0	0	0	0	0
OOEPP2	0	0	0	0	0	0	1	0	0	0
OOSP1	0	0	0	0	0	0	0	0	0	0
OOSP1P1	0	0	0	0	0	0	0	0	0	0
OOSP1P2	0	0	0	0	0	0	0	0	0	0
OOSP2	0	0	0	0	0	0	0	0	0	0
OOSP3	0	0	0	0	0	0	0	0	0	0
OOSP4A	0	0	0	0	0	0	0	0	0	0
OOSP4B	0	0	0	0	0	0	0	0	0	0
OPA1	48	46	15	25	53	34	55	34	45	44
OPA1-AS1	0	0	0	0	0	0	0	0	0	1
OPA3	9	15	7	6	41	34	44	14	28	14
OPALIN	0	0	0	0	0	0	0	0	0	0
OPCML	1	0	0	0	0	0	0	0	1	0
OPCML-IT1	0	0	0	0	0	0	0	0	1	1
OPCML-IT2	0	0	0	0	0	0	0	0	0	0
OPHN1	33	31	2	3	25	25	14	36	56	43
OPLAH	18	25	25	0	32	19	21	13	19	11
OPN1LW	0	0	0	0	0	0	0	0	0	0
OPN1MW	0	0	0	0	0	0	0	0	0	0
OPN1MW2	0	0	0	0	0	0	0	0	0	0
OPN1MW3	0	0	0	0	0	0	0	0	0	0
OPN1SW	0	1	0	0	0	0	0	0	1	0
OPN3	3	14	1	1	20	22	21	7	5	5
OPN4	0	0	0	0	0	0	0	0	0	0
OPN5	0	0	0	0	0	0	0	0	0	0
OPRD1	2	2	1	5	0	1	0	1	1	2
OPRK1	0	1	0	0	0	0	0	2	0	0
OPRL1	0	0	0	0	2	3	4	1	1	0
OPRM1	1	3	2	2	0	0	3	2	0	1
OPRPN	0	0	0	0	0	0	0	0	0	0
OPTC	0	0	0	0	0	0	0	0	0	0
OPTN	43	37	14	7	58	51	53	29	42	25
OR10A2	0	0	0	0	0	0	0	1	2	1
OR10A3	0	0	0	0	0	0	0	0	2	0
OR10A4	0	0	1	0	0	0	0	0	0	0
OR10A5	0	0	0	0	0	0	0	0	0	0
OR10A6	0	0	0	0	0	2	0	0	0	0
OR10A7	0	0	0	0	0	0	0	0	0	0
OR10AA1P	0	0	0	0	0	0	0	0	0	0
OR10AB1P	0	1	0	0	0	0	0	0	0	0
OR10AC1	0	0	0	0	0	0	0	0	0	0
OR10AD1	0	0	0	0	0	0	0	0	0	0
OR10AE1P	0	0	0	0	0	0	0	0	0	1
OR10AE3P	0	0	0	0	0	0	0	0	0	0
OR10AF1P	0	0	0	0	0	0	0	0	0	0
OR10AG1	0	0	0	1	0	0	0	0	0	0
OR10AH1P	2	0	1	1	1	1	0	1	1	1
OR10AK1P	0	0	0	0	0	0	0	0	0	0
OR10B1P	0	0	0	0	0	0	0	0	0	0
OR10C1	0	0	0	0	0	0	0	0	0	0
OR10D1P	0	0	0	0	0	0	0	0	0	0
OR10D3	0	0	0	0	0	2	0	1	1	0
OR10D4P	0	0	0	0	0	0	0	0	0	0
OR10D5P	0	0	0	0	0	0	0	0	0	0
OR10G1P	0	0	0	0	0	0	0	0	0	0
OR10G2	0	0	0	0	0	0	0	0	0	0
OR10G3	3	3	1	2	2	1	3	4	5	0
OR10G4	1	1	0	0	0	0	0	1	3	2
OR10G5P	0	0	0	0	0	0	0	0	0	0
OR10G6	0	0	0	0	0	0	0	0	0	0
OR10G7	0	0	0	0	0	0	0	0	0	0
OR10G8	0	0	5	0	0	0	0	0	0	0
OR10G9	0	0	0	0	0	0	0	0	0	0
OR10H1	6	6	0	0	0	5	3	12	12	8
OR10H2	0	0	0	0	0	0	0	0	0	0
OR10H3	0	0	0	0	0	0	0	1	0	0
OR10H4	0	0	0	0	0	0	0	0	0	0
OR10H5	1	3	1	1	2	2	0	3	0	4
OR10J1	0	0	0	0	0	0	0	0	1	1
OR10J2P	0	0	0	0	0	0	0	0	0	0
OR10J3	0	0	0	0	0	0	0	0	0	0
OR10J4	0	0	0	0	0	0	0	0	0	0
OR10J5	0	0	0	0	0	0	0	0	0	0
OR10J6P	9	10	0	0	0	0	0	6	6	8
OR10J7P	0	0	0	0	0	0	0	0	0	0
OR10J8P	0	0	0	0	0	0	0	0	0	0
OR10J9P	0	0	0	0	0	0	0	0	0	0
OR10K1	6	11	0	0	1	5	2	8	17	8
OR10K2	0	0	0	0	1	0	1	0	1	0
OR10N1P	0	0	0	0	0	0	0	0	0	0
OR10P1	0	0	0	0	0	0	0	0	0	0
OR10Q1	0	0	0	0	0	0	0	0	0	0
OR10Q2P	0	0	0	0	0	0	0	0	0	0
OR10R1P	0	0	0	0	0	0	0	0	0	1
OR10R2	0	0	0	0	0	0	0	0	0	0
OR10R3P	0	0	0	0	0	0	0	0	0	1
OR10S1	0	0	0	0	1	0	0	0	0	0
OR10T1P	0	0	0	0	0	0	0	0	0	0
OR10T2	0	0	0	0	0	0	0	0	0	0
OR10U1P	0	0	0	0	0	0	0	0	0	0
OR10V1	0	0	0	0	0	0	0	0	0	0
OR10V2P	0	0	0	0	0	0	0	0	0	0
OR10V3P	0	0	0	0	0	0	0	0	0	0
OR10W1	0	0	0	0	0	0	0	0	0	0
OR10X1	0	0	0	0	0	0	0	0	0	0
OR10Y1P	0	0	0	0	0	0	0	0	0	0
OR10Z1	0	1	0	0	0	0	0	0	3	1
OR11A1	0	0	0	0	0	0	0	0	7	0
OR11G1P	0	0	0	0	0	0	0	0	0	0
OR11G2	0	0	0	0	0	0	0	0	0	0
OR11H1	0	0	0	0	0	0	0	0	0	0
OR11H12	0	0	0	0	0	0	0	0	0	0
OR11H13P	0	0	0	0	0	0	0	0	0	0
OR11H2	0	0	0	0	0	0	0	0	0	0
OR11H3P	0	0	0	0	0	0	0	0	0	0
OR11H4	0	0	0	0	0	0	0	0	0	0
OR11H5P	0	0	0	0	0	0	0	0	0	0
OR11H6	0	0	0	0	0	0	0	0	0	0
OR11H7	0	0	0	0	0	0	0	0	0	0
OR11I1P	0	0	0	0	0	0	0	0	0	0
OR11J2P	0	0	0	0	0	0	0	0	0	0
OR11J5P	0	0	0	0	0	0	0	0	0	1
OR11J6P	0	0	0	0	0	0	0	0	0	0
OR11J7P	0	0	0	0	0	0	0	0	0	0
OR11K1BP	0	0	0	0	0	0	0	0	0	0
OR11K1P	0	0	0	0	0	0	0	0	0	0
OR11K2P	0	0	0	0	0	0	0	0	0	0
OR11L1	0	0	0	0	0	0	0	0	0	0
OR11M1P	1	0	0	0	0	0	0	0	0	0
OR11N1P	0	0	0	0	0	0	0	0	0	0
OR11P1P	0	0	0	0	0	0	0	0	0	0
OR11Q1P	0	0	0	0	0	0	0	0	0	0
OR12D1	0	0	0	0	0	0	0	0	0	0
OR12D2	0	0	0	0	0	0	0	0	0	0
OR12D3	0	0	0	0	0	0	0	0	0	0
OR13A1	0	0	0	0	0	0	0	0	2	0
OR13C1P	0	0	0	0	0	0	0	0	0	1
OR13C2	0	0	0	0	0	0	0	0	0	0
OR13C3	0	0	0	0	0	0	0	0	0	0
OR13C4	0	0	1	0	0	0	0	0	0	0
OR13C5	0	0	0	0	0	0	0	0	0	0
OR13C6P	0	0	0	0	0	0	0	0	0	0
