Sample_geo_accession	Condition	Group
GSM4365464	control	HBMEC: Human brain microvascular endothelial cell line
GSM4365465	control	HBMEC: Human brain microvascular endothelial cell line
GSM4365466	control	HBMEC: Human brain microvascular endothelial cell line
GSM4365467	 VEGF-A165	HBMEC: Human brain microvascular endothelial cell line
GSM4365468	 VEGF-A165	HBMEC: Human brain microvascular endothelial cell line
GSM4365469	 VEGF-A165	HBMEC: Human brain microvascular endothelial cell line
GSM4365470	 PlGF	HBMEC: Human brain microvascular endothelial cell line
GSM4365471	 PlGF	HBMEC: Human brain microvascular endothelial cell line
GSM4365472	 PlGF	HBMEC: Human brain microvascular endothelial cell line
GSM4365473	 VEGF-B186	HBMEC: Human brain microvascular endothelial cell line
GSM4365474	 VEGF-B186	HBMEC: Human brain microvascular endothelial cell line
GSM4365475	 VEGF-B186	HBMEC: Human brain microvascular endothelial cell line
GSM4365476	 VEGF-B167	HBMEC: Human brain microvascular endothelial cell line
GSM4365477	 VEGF-B167	HBMEC: Human brain microvascular endothelial cell line
GSM4365478	 VEGF-B167	HBMEC: Human brain microvascular endothelial cell line
