gene_symbol	GSM914321	GSM914309	GSM914320	GSM914313	GSM914305	GSM914311	GSM914306	GSM914308	GSM914310	GSM914315	GSM914317	GSM914312	GSM914307	GSM914314	GSM914316	GSM914318	GSM914322	GSM914319
0610039K10Rik	54.21875	82.5625	55.90625	76.5625	74.3125	79.4375	68.1875	76.8125	73.0625	53.46875	54.1875	77.8125	77.4375	77.4375	53.78125	55.78125	52.1875	50.09375
0610040B10Rik	59.40625	99.5625	61.8125	96.75	104.3125	96.875	106.625	97.875	89.875	60.625	60.96875	106.875	91.25	110.4375	65.625	64.0625	65.25	62.375
0610040J01Rik	72.5625	143.25	70.9375	126.25	132.0	132.375	120.0625	118.875	126.125	73.4375	73.5625	115.4375	127.1875	135.125	78.375	69.5625	76.375	73.625
1110002L01Rik	61.5625	163.25	88.0	178.0	131.125	155.625	137.375	154.5	155.375	64.8125	67.0	160.25	146.875	157.125	62.0	70.75	68.5	63.0625
1110004E09Rik	66.0	165.75	67.0625	144.625	167.625	144.125	153.75	149.375	147.375	65.375	70.0	154.375	163.0	143.125	67.3125	61.6875	64.5	74.875
1110004F10Rik	189.5	379.25	174.75	357.5	387.5	332.5	392.75	384.5	359.75	184.25	190.25	368.0	394.0	346.75	164.0	212.625	189.5	187.0
1110006O24Rik	68.3125	111.875	69.5625	111.5	103.25	120.6875	106.0	99.75	109.0625	77.8125	69.75	101.9375	102.1875	113.8125	73.375	72.375	65.625	71.5625
1110008E08Rik	55.875	77.25	54.75	87.5625	76.5	84.5625	77.4375	75.625	79.9375	58.15625	53.1875	75.625	78.3125	92.5625	53.375	53.125	54.25	53.75
1110008F13Rik	190.875	2074.0	195.25	1635.0	1958.0	1791.0	2332.0	2280.0	1515.0	179.875	194.875	1810.0	2188.0	1552.0	197.875	183.875	205.625	197.75
1110008L16Rik	122.125	300.75	131.5	300.75	297.25	281.0	305.0	315.75	242.625	134.125	131.375	348.5	321.0	277.75	145.0	138.375	126.25	127.1875
1110008P14Rik	72.75	136.75	75.75	164.625	144.75	157.875	144.75	160.5	166.625	73.875	67.6875	121.625	155.75	160.375	68.5	63.09375	76.8125	74.0
1110012L19Rik	63.734375	108.375	62.09375	110.90625	112.96875	110.09375	114.15625	120.96875	110.5	62.75	63.0	115.9375	114.71875	104.1875	61.515625	59.046875	61.953125	57.75
1110017D15Rik	61.21875	111.5	60.65625	106.625	105.125	111.0	107.0625	102.6875	108.5625	62.71875	62.84375	102.625	109.625	104.125	63.375	61.1875	62.71875	84.1875
1110020C17Rik	51.84375	72.4375	53.15625	65.9375	63.6875	70.3125	63.90625	64.375	72.3125	51.125	53.375	70.75	63.8125	71.625	53.5	52.625	51.53125	53.0625
1110032A03Rik	202.875	842.5	174.75	763.0	877.0	706.5	925.5	1057.0	733.0	148.5	214.75	690.0	871.0	704.0	178.875	180.125	172.125	224.125
1110032F04Rik	59.25	77.9375	57.6875	74.875	73.5625	78.1875	76.4375	70.4375	78.5625	54.6875	58.96875	72.625	74.1875	79.0625	58.28125	56.0625	61.78125	55.25
1110034G24Rik	66.125	131.125	65.8125	125.25	115.25	122.9375	117.1875	116.6875	128.375	72.5625	70.75	132.625	133.25	133.25	71.3125	66.4375	64.625	62.84375
1110035H17Rik	52.78125	83.875	55.25	76.75	74.375	78.875	80.6875	81.0	80.9375	56.15625	51.09375	82.0	78.0	87.375	55.0	57.15625	54.75	54.5625
1110037F02Rik	122.10416666666667	232.375	108.91666666666667	235.5	223.45833333333334	220.79166666666666	244.95833333333334	266.6666666666667	224.625	112.20833333333333	134.1875	292.125	228.70833333333334	246.45833333333334	131.29166666666666	109.33333333333333	119.125	115.64583333333333
1110038F14Rik	87.0	188.875	89.625	187.25	186.25	192.0	189.875	191.25	181.875	94.0	94.9375	191.75	178.0	185.0	88.875	92.1875	89.875	93.5625
1110051M20Rik	80.25	109.375	81.75	127.5625	119.625	132.375	111.0625	102.0625	141.125	79.5	86.75	141.375	115.4375	125.4375	83.0625	81.4375	80.8125	79.4375
1110059E24Rik	100.0	142.875	95.5625	166.5	148.5	134.875	146.375	161.375	147.125	85.75	107.4375	173.625	162.0	156.5	94.9375	99.1875	93.125	93.1875
1110059G10Rik	66.25	162.125	65.9375	155.625	133.0	146.125	153.5	147.125	146.625	58.09375	79.5625	160.5	151.625	149.75	70.6875	62.75	65.375	63.6875
1110065P20Rik	104.625	266.0	102.75	245.5	258.5	246.25	270.0	265.0	231.75	96.125	110.3125	232.375	271.5	259.25	101.875	99.9375	102.75	115.75
1190002N15Rik	58.65625	120.375	55.375	117.5625	113.6875	108.0625	117.75	120.1875	115.6875	59.59375	58.34375	116.625	108.125	123.375	61.34375	59.375	59.1875	56.0
1190005I06Rik	81.125	222.0	71.5625	189.125	250.0	199.625	249.875	272.25	189.375	84.25	88.4375	268.5	247.75	222.125	82.1875	81.1875	79.0625	72.625
1190007I07Rik	63.6875	146.75	59.3125	133.5	159.5	154.5	152.5	139.5	139.375	63.8125	67.25	139.0	147.25	144.25	67.6875	62.78125	56.84375	67.5
1300017J02Rik	64.4375	86.5	59.6875	92.5625	88.0625	95.875	93.0625	86.75	92.875	67.375	68.5	95.0	97.8125	98.625	66.125	65.4375	82.9375	69.3125
1500002C15Rik	64.953125	106.40625	62.6875	100.75	102.375	102.34375	97.0	90.65625	103.125	64.546875	65.328125	101.4375	101.15625	105.5625	66.25	63.140625	66.640625	63.921875
1500002F19Rik	52.75	72.6875	53.53125	70.125	68.4375	72.0625	69.5625	68.8125	66.9375	56.03125	54.09375	69.5	66.875	65.375	53.0625	52.6875	54.65625	52.59375
1500009C09Rik	65.4375	113.4375	64.5625	104.3125	110.875	103.0625	97.5	101.25	109.1875	64.3125	62.59375	108.625	106.3125	115.25	68.125	65.25	65.1875	65.9375
1500011B03Rik	79.125	97.625	78.8125	91.125	93.5625	99.6875	102.4375	95.875	109.625	79.875	79.0625	93.8125	97.625	95.25	76.25	77.875	82.6875	82.5625
1500011K16Rik	135.75	414.0	149.0	469.0	369.0	441.5	446.75	528.5	450.5	143.375	140.25	424.0	497.25	379.5	135.125	140.375	125.125	144.375
1500015L24Rik	50.28125	63.3125	54.625	65.5625	65.1875	65.5	64.25	64.8125	64.375	55.125	52.59375	62.09375	62.71875	65.375	51.15625	54.0625	52.71875	51.0
1500015O10Rik	66.125	78.1875	59.78125	77.1875	74.6875	81.0625	77.5	72.6875	83.1875	59.71875	66.3125	75.5	76.875	74.6875	57.625	58.5	62.25	73.5
1500035N22Rik	54.9375	98.6875	58.1875	94.3125	90.75	95.0625	93.6875	90.25	95.5	56.34375	53.78125	96.25	94.5	105.25	58.09375	57.5	57.59375	55.75
1520401A03Rik	61.125	98.6875	60.875	94.5625	93.9375	94.25	94.0	85.9375	96.3125	62.21875	59.65625	93.3125	90.3125	101.625	61.8125	60.71875	66.25	58.25
