Sample_geo_accession	Condition	Group
GSM1056687	 21-day High-Fat Diet	Male mice: C3HeB/FeJ
GSM1056688	 21-day High-Fat Diet	Male mice: C3HeB/FeJ
GSM1056689	 21-day High-Fat Diet	Male mice: C3HeB/FeJ
GSM1056690	 21-day High-Fat Diet	Male mice: C3HeB/FeJ
GSM1056691	 21-day High-Fat Diet	Male mice: C3HeB/FeJ
GSM1056692	 21-day High-Fat Diet	Male mice: C3HeB/FeJ
GSM1056693	 21-day High-Fat Diet	Male mice: C3HeB/FeJ
GSM1056694	 21-day High-Fat Diet	Male mice: C3HeB/FeJ
GSM1056669	Control 	Male mice: C3HeB/FeJ
GSM1056670	Control 	Male mice: C3HeB/FeJ
GSM1056671	Control 	Male mice: C3HeB/FeJ
GSM1056672	Control 	Male mice: C3HeB/FeJ
GSM1056673	Control 	Male mice: C3HeB/FeJ
GSM1056674	Control 	Male mice: C3HeB/FeJ
GSM1056675	Control 	Male mice: C3HeB/FeJ
GSM1056676	Control 	Male mice: C3HeB/FeJ
GSM1056677	Control 	Male mice: C3HeB/FeJ
GSM1056678	Control 	Male mice: C3HeB/FeJ
GSM1056679	Control 	Male mice: C3HeB/FeJ
GSM1056680	Control 	Male mice: C3HeB/FeJ
GSM1056681	Control 	Male mice: C3HeB/FeJ
GSM1056682	Control 	Male mice: C3HeB/FeJ
GSM1056683	Control 	Male mice: C3HeB/FeJ
GSM1056684	Control 	Male mice: C3HeB/FeJ
GSM1056685	Control 	Male mice: C3HeB/FeJ
GSM1056686	Control 	Male mice: C3HeB/FeJ
GSM1056661	 21-day High-Fat Diet	Male mice: C57BL/6NTac
GSM1056662	 21-day High-Fat Diet	Male mice: C57BL/6NTac
GSM1056663	 21-day High-Fat Diet	Male mice: C57BL/6NTac
GSM1056664	 21-day High-Fat Diet	Male mice: C57BL/6NTac
GSM1056665	 21-day High-Fat Diet	Male mice: C57BL/6NTac
GSM1056666	 21-day High-Fat Diet	Male mice: C57BL/6NTac
GSM1056667	 21-day High-Fat Diet	Male mice: C57BL/6NTac
GSM1056668	 21-day High-Fat Diet	Male mice: C57BL/6NTac
GSM1056653	Control 	Male mice: C57BL/6NTac
GSM1056654	Control 	Male mice: C57BL/6NTac
GSM1056655	Control 	Male mice: C57BL/6NTac
GSM1056656	Control 	Male mice: C57BL/6NTac
GSM1056657	Control 	Male mice: C57BL/6NTac
GSM1056658	Control 	Male mice: C57BL/6NTac
GSM1056659	Control 	Male mice: C57BL/6NTac
GSM1056660	Control 	Male mice: C57BL/6NTac
GSM1056646	 21-day High-Fat Diet	Male mice: C57BL/6J
GSM1056647	 21-day High-Fat Diet	Male mice: C57BL/6J
GSM1056648	 21-day High-Fat Diet	Male mice: C57BL/6J
GSM1056649	 21-day High-Fat Diet	Male mice: C57BL/6J
GSM1056650	 21-day High-Fat Diet	Male mice: C57BL/6J
GSM1056651	 21-day High-Fat Diet	Male mice: C57BL/6J
GSM1056652	 21-day High-Fat Diet	Male mice: C57BL/6J
GSM1056638	Control 	Male mice: C57BL/6J
GSM1056639	Control 	Male mice: C57BL/6J
GSM1056640	Control 	Male mice: C57BL/6J
GSM1056641	Control 	Male mice: C57BL/6J
GSM1056642	Control 	Male mice: C57BL/6J
GSM1056643	Control 	Male mice: C57BL/6J
GSM1056644	Control 	Male mice: C57BL/6J
GSM1056645	Control 	Male mice: C57BL/6J
GSM1056631	 21-day High-Fat Diet	Male mice: 129P2/OlaHsd
GSM1056632	 21-day High-Fat Diet	Male mice: 129P2/OlaHsd
GSM1056633	 21-day High-Fat Diet	Male mice: 129P2/OlaHsd
GSM1056634	 21-day High-Fat Diet	Male mice: 129P2/OlaHsd
GSM1056635	 21-day High-Fat Diet	Male mice: 129P2/OlaHsd
GSM1056636	 21-day High-Fat Diet	Male mice: 129P2/OlaHsd
GSM1056637	 21-day High-Fat Diet	Male mice: 129P2/OlaHsd
GSM1056623	Control 	Male mice: 129P2/OlaHsd
GSM1056624	Control 	Male mice: 129P2/OlaHsd
GSM1056625	Control 	Male mice: 129P2/OlaHsd
GSM1056626	Control 	Male mice: 129P2/OlaHsd
GSM1056627	Control 	Male mice: 129P2/OlaHsd
GSM1056628	Control 	Male mice: 129P2/OlaHsd
GSM1056629	Control 	Male mice: 129P2/OlaHsd
GSM1056630	Control 	Male mice: 129P2/OlaHsd
