	GSM4708547	GSM4708548	GSM4708549	GSM4708550	GSM4708551	GSM4708552
Adcy1	44	60	58	82	54	89
Adcy10	4	3	10	11	12	10
Adcy2	13	13	16	27	35	22
Adcy3	124	124	117	179	131	146
Adcy4	274	351	282	227	330	281
Adcy5	109	92	84	177	220	197
Adcy6	2867	2883	2946	3385	3723	3715
Adcy7	107	111	115	384	481	425
Adcy8	12	8	7	18	29	11
Adcy9	513	416	579	897	965	1117
Adcyap1	0	0	0	2	0	1
Adcyap1r1	53	98	60	96	59	57
Add1	1387	1418	1449	2350	1963	2217
Add2	22	21	21	38	49	51
Add3	686	660	711	1352	1209	1304
Adgb	737	497	597	902	1100	1081
Adgra1	0	1	5	10	9	10
Adgra2	113	162	138	183	223	178
Adgra3	193	207	186	354	322	300
Adgrb1	3	2	4	9	22	10
Adgrb2	2	3	3	12	14	15
Adgrb3	195	141	176	266	187	241
Adgrd1	50	33	45	20	33	35
Adgrd2-ps	3	6	0	0	0	1
Adgre1	170	121	119	101	154	104
Adgre4	1	0	0	29	9	26
Adgre5	549	633	576	683	804	771
Adgrf1	4	25	6	17	3	12
Adgrf2	0	0	3	2	4	2
Adgrf3	0	2	1	0	0	2
Adgrf4	2	4	5	3	1	2
Adgrf5	2569	2876	2752	1998	2348	2468
Adgrg1	3024	2720	2872	4494	3452	3985
Adgrg2	9	8	4	9	5	6
Adgrg3	79	141	91	214	336	256
Adgrg4	5	11	6	5	16	22
Adgrg5	20	20	22	32	74	61
Adgrg6	43	133	68	135	89	83
Adgrg7	0	0	0	6	217	102
Adgrl1	3392	3129	3418	3546	4218	3978
Adgrl2	447	424	471	321	442	385
Adgrl3	178	250	233	260	214	277
Adgrl4	1659	1404	1672	1073	1324	1199
Adgrv1	247	227	182	448	564	530
Adh1	2182	1485	1856	1447	1551	1529
Adh4	0	0	2	1	52	23
Adh5	778	674	712	1013	977	930
Adh6-ps1	4	1	3	0	3	1
Adh6a	0	2	0	54	1300	711
Adh6b	5	15	8	8	7	7
Adh7	3	18	8	5	4	15
Adhfe1	11	5	12	24	9	16
Adi1	1388	1092	1170	1583	1016	1319
Adig	0	0	0	23	27	13
Adipoq	0	0	0	0	3	1
Adipor1	1544	1452	1496	2085	1890	1929
Adipor2	826	770	766	1224	1566	1414
Adk	728	834	735	969	929	871
Adm	3	1	9	13	12	7
Adm2	5	10	2	10	10	2
Adnp	522	378	515	884	933	839
Adnp2	405	372	467	697	635	757
Ado	264	187	302	619	535	526
Adora1	326	314	346	356	247	328
Adora2a	113	130	106	231	180	234
Adora2b	85	70	54	149	194	131
Adora3	66	97	39	61	58	58
Adpgk	454	413	431	468	385	405
Adprh	719	694	629	1422	999	1166
Adprhl1	3	0	0	3	3	8
Adprhl2	535	533	551	642	569	565
Adprm	300	270	329	555	469	500
Adra1a	17	13	8	3	10	4
Adra1b	0	0	3	0	0	1
Adra1d	5	5	2	2	5	8
Adra2a	2173	2813	2528	2346	2518	2362
Adra2b	20	15	15	18	40	27
Adra2c	0	4	0	3	4	3
Adrb1	9	13	14	34	15	37
Adrb2	31	25	30	88	61	101
Adrb3	1	8	0	3	11	13
Adrbk1	1557	1427	1406	2940	2282	2524
Adrbk2	2952	2450	2777	3570	3236	3753
Adrm1	1126	949	1035	1361	1240	1197
Adsl	491	460	452	577	590	606
Adss	624	585	529	931	897	888
Adssl1	71	89	74	73	62	63
Adtrp	2	0	0	8	91	42
Aebp1	49	99	82	146	80	111
Aebp2	747	700	706	1220	1004	1049
Aen	326	460	353	702	717	664
Aes	6333	5804	5673	6640	5697	5860
Afap1	183	204	238	230	300	249
Afap1l1	381	457	416	275	332	268
Afap1l2	188	198	158	132	121	116
Aff1	980	1036	1054	1421	1438	1598
Aff2	78	115	118	195	212	248
Aff3	2	2	12	96	116	88
Aff4	2160	2104	2287	3783	3383	3782
Afg3l1	776	724	706	914	848	962
Afg3l2	1117	1069	1034	1427	1382	1395
Afm	195	226	228	141	134	125
Afmid	66	81	123	157	219	161
Afp	0	0	0	14	22	32
Aftph	1194	1052	1162	2234	1864	2088
Aga	1033	1003	1045	2988	2046	2411
Agap1	855	907	974	1782	1395	1679
Agap2	254	210	204	404	321	417
Agap3	1479	1205	1395	1875	1649	1711
Agbl1	1	0	1	1	5	2
Agbl2	59	31	48	107	127	98
Agbl3	311	269	290	357	339	349
Agbl4	117	103	125	139	101	113
Agbl5	713	621	747	727	690	651
Ager	111	82	64	160	187	160
Agfg1	1447	1289	1392	1700	1877	1728
Agfg2	205	231	241	230	284	260
Aggf1	783	732	684	1063	906	984
Agk	213	202	202	240	222	246
Agl	844	886	828	1101	933	1120
Agmat	1	2	0	2	43	22
Agmo	21	19	19	44	96	51
Ago1	1009	797	897	1282	1214	1433
Ago2	1043	995	1112	1808	2059	2245
Ago3	914	759	864	974	1167	1247
Ago4	236	180	252	436	350	439
Agpat1	1058	927	1036	1262	1208	1236
Agpat2	301	218	235	347	571	447
Agpat3	2390	2238	2517	2549	2270	2493
Agpat4	128	76	91	206	160	184
Agpat5	310	334	302	390	426	436
Agpat9	8	0	14	40	199	120
Agps	532	553	500	953	808	812
Agr2	2	0	0	11	86	73
Agr3	0	0	0	0	0	2
Agrn	800	1715	1262	1096	1792	1370
Agrp	10	8	6	8	15	12
Agt	360	345	392	478	316	321
Agtpbp1	890	748	852	1268	1160	1320
Agtr1a	68	92	66	76	55	86
Agtr1b	6	1	0	2	2	2
Agtr2	0	0	0	0	0	0
Agtrap	487	395	449	840	583	699
Agxt	0	5	0	2	0	0
Agxt2	213	167	235	196	229	212
Ahctf1	998	854	807	1462	1318	1440
