gene_symbol	GSM3526024	GSM3526021	GSM3526026	GSM3526022	GSM3526025	GSM3526027	GSM3526020	GSM3526023
ABCB5	4.640625	4.78759765625	4.689453125	4.7265625	4.65673828125	4.70361328125	4.6103515625	4.556640625
ABCB6	7.220703125	6.974609375	7.267578125	7.380859375	7.392578125	7.39453125	7.150390625	7.158203125
ABCB7	8.2890625	8.453125	8.3671875	7.85546875	7.8515625	8.0546875	8.1015625	8.7109375
ABCB8	6.065104166666667	6.26171875	6.100260416666667	6.326822916666667	6.11328125	6.115885416666667	6.1796875	6.12890625
ABCB9	6.30078125	6.13671875	6.1484375	6.282552083333333	6.44140625	6.346354166666667	6.15234375	6.1015625
ABCC1	9.046875	8.896484375	8.818359375	9.046875	9.013671875	8.9609375	9.224609375	9.15625
ABCC10	8.94921875	8.81640625	8.90234375	9.26171875	9.15234375	9.125	8.93359375	8.89453125
ABCC11	4.8310546875	4.5810546875	4.6904296875	5.0234375	5.0009765625	4.7900390625	4.7216796875	4.6982421875
ABCC12	4.0556640625	4.154296875	3.9404296875	4.193359375	4.1259765625	4.19140625	3.9765625	4.0185546875
ABCC13	3.92626953125	3.8701171875	3.90673828125	4.0390625	4.10009765625	4.1357421875	4.021484375	3.8447265625
ABCC2	6.51953125	6.484375	6.05859375	6.05078125	5.734375	5.75	6.97265625	6.85546875
ABCC3	6.80859375	7.2203125	7.10703125	7.05546875	7.01171875	6.9984375	7.13671875	7.21640625
ABCC4	6.6025390625	6.6728515625	6.5859375	6.4658203125	6.5966796875	6.4443359375	6.7802734375	6.6572265625
ABCC5	6.958333333333333	7.32421875	6.924479166666667	6.981770833333333	6.973958333333333	7.009114583333333	7.001302083333333	7.377604166666667
ABCC6P1	2.8125	3.01171875	3.109375	3.111328125	3.044921875	3.1484375	3.060546875	3.03515625
ABCC8	5.81640625	5.736328125	5.681640625	6.181640625	6.07421875	6.01171875	5.8984375	5.833984375
ABCC9	5.0328125	4.78828125	4.6875	4.68671875	4.8515625	4.80625	4.58359375	5.078125
ABCD1	7.61328125	7.65625	7.41015625	7.9296875	7.7890625	7.73046875	7.625	7.30078125
ABCD2	2.6328125	2.572265625	2.498046875	2.390625	2.8515625	2.724609375	2.6484375	2.5
ABCD3	8.095703125	8.107421875	7.853515625	7.61328125	7.853515625	7.595703125	7.81640625	8.248046875
ABCD4	6.650390625	6.837890625	6.75390625	6.673828125	6.697265625	6.646484375	6.724609375	6.64453125
ABCE1	9.9375	9.87109375	10.0859375	9.375	10.00390625	10.08984375	9.7421875	9.8671875
ABCF1	9.484375	9.46875	9.3515625	9.6484375	9.328125	9.6171875	9.453125	9.5078125
ABCF2	7.70390625	7.71171875	7.7875	7.9578125	7.85546875	8.009375	7.7453125	7.8265625
ABCF3	8.84375	8.8125	8.59375	8.9140625	8.96875	9.1328125	9.109375	8.8515625
ABCG1	4.25439453125	4.30224609375	4.22314453125	4.375	4.41796875	4.45361328125	4.43310546875	4.15380859375
ABCG2	5.7734375	6.08203125	5.65234375	6.18359375	5.9765625	5.83984375	5.84765625	6.2265625
ABCG4	7.0625	7.0625	7.19140625	7.33984375	7.4921875	7.41796875	7.4296875	7.19140625
ABCG5	5.30078125	5.265625	5.43359375	5.51171875	5.73828125	5.76953125	5.24609375	5.33203125
ABCG8	5.6484375	5.640625	5.5390625	5.6796875	5.71484375	5.65234375	5.484375	5.3515625
ABHD1	5.90625	5.841145833333333	5.701822916666667	5.880208333333333	5.924479166666667	5.852864583333333	5.9609375	5.684895833333333
ABHD10	8.705078125	8.6875	8.578125	8.173828125	8.150390625	8.29296875	8.8671875	8.94921875
ABHD11	7.0	7.037760416666667	6.755208333333333	7.352864583333333	6.955729166666667	6.84765625	7.1796875	7.092447916666667
