gene_symbol GSM2310360	GSM2310361	GSM2310362	GSM2310363	GSM2310364	GSM2310365	GSM2310366	GSM2310367
A1BG	6791.6733	8770.8	7866.543	7946.051	7261.2734	8447.846	8007.0938	7407.322
A1BG-AS1	900.28595	1076.5359	959.0139	958.87695	835.4935	949.6277	813.93823	928.611
A2M-AS1	159.3303	147.15628	144.99258	146.74489	187.36676	206.06796	207.2173	192.1025
A4GALT	17104.373	14381.579	16603.473	16109.713	14878.573	15906.363	13123.109	13849.913
A4GNT	20.017067	26.26284	21.005697	18.516813	22.517477	19.917019	20.769901	17.371569
AAAS	3309.5776	4165.687	3237.252	3702.9805	3193.1091	3915.6387	3777.8667	4140.8765
AACS	2038.8633	3538.76	2006.434	2956.328	1943.9728	3260.3684	2125.0244	3056.4688
AACSP1	45.943962	272.13373	67.873116	206.67107	62.057205	246.05902	97.16938	252.63885
AADACL3	124.84799	199.17453	141.10072	200.87326	118.52853	169.33475	136.13092	217.42273
AADAT	393.92953	642.46564	439.8162	517.407	361.10748	594.57556	496.58646	559.563
AAGAB	19413.055	27024.014	21927.94	21430.498	20254.127	23764.084	26109.65	22384.752
AAK1	15795.642	16562.246	17207.572	13428.795	14717.2705	14891.906	19341.951	13311.206
AAMDC	17070.238	25604.94	18501.7	21045.652	17004.691	22484.604	19409.193	20267.533
AAMP	5385.2666	6050.8916	5646.404	5331.5195	5143.709	5655.089	6290.2275	5805.844
AAR2	5736.1025	6715.7915	6205.4883	5853.4556	6094.3213	6339.946	7975.13	6831.003
AARS1	2436.6653	2695.8428	2499.051	2443.5269	2323.0579	2599.2603	2677.3818	2475.0713
AARS2	3927.9424	5933.5522	4207.72	5073.6636	3757.8342	5314.868	4610.912	5116.153
AARSD1	1242.1072	1825.0934	1394.154	1573.3939	1240.221	1643.3875	1454.7019	1707.2428
AASDH	86.370255	124.72076	89.97809	110.70759	99.1379	146.06569	100.72988	142.5692
AASDHPPT	5392.6943	8289.524	6133.905	6613.527	5485.6753	7402.011	6665.104	6859.841
AATBC	39.265953	38.45553	34.428406	44.58257	54.365852	70.17026	57.018204	69.388
AATF	10189.573	10269.324	11522.168	8244.059	10605.768	9119.008	11948.282	9888.513
AATK	223.72453	395.2282	221.60744	334.208	226.87753	360.98312	278.55078	334.12607
ABAT	32.839878	27.102196	27.421417	22.294107	23.316813	34.61982	34.57088	19.364847
ABCA1	547.6708	277.7293	607.58466	199.5153	404.51715	245.89926	556.14526	214.76234
ABCA10	57.645264	122.42912	50.158447	67.890976	89.31985	94.37596	80.631355	69.01879
ABCA11P	114.16236	159.0484	105.08157	165.01007	90.16275	167.35683	112.46777	149.66956
ABCA13	25.706104	69.25841	31.452139	66.53395	32.519432	77.92435	29.718445	57.03741
ABCA2	81.899055	102.55588	81.483086	115.21857	112.723175	113.047	98.50732	127.54049
ABCA3	1643.4158	5097.4917	1897.022	4330.974	1693.1649	4693.369	1869.3506	4287.012
ABCA5	384.04425	819.1892	436.47534	661.5053	374.46152	734.52563	456.51984	678.33057
ABCA7	668.1757	1427.9905	798.87537	1314.0819	701.97345	1275.2637	753.90106	1199.7599
ABCA9	22718.898	34520.887	28139.902	31516.756	24335.922	28939.418	30048.13	32460.504
ABCB1	19.665924	25.260738	20.104057	17.99098	21.879879	19.518295	20.331194	17.097242
ABCB10	2246.002	2363.981	2273.3728	1882.632	2034.442	2157.0222	2469.8887	1933.5061
ABCB6	5383.1455	11639.777	5942.0425	9902.831	5199.72	10706.519	6855.5073	11383.843
ABCB7	2624.6636	3395.868	2547.8901	3084.3948	2265.2766	2990.111	2721.4648	2592.3914
ABCB8	536.5833	857.56006	594.98016	720.2074	529.7391	780.7232	688.96985	735.21344
ABCB9	584.8285	1204.6576	675.15216	1057.605	645.5559	1113.9631	743.4214	1087.344
ABCC1	4022.1072	2878.2236	4241.4575	2443.514	3979.3677	2557.8245	4273.1177	2634.3418
ABCC10	959.1515	1248.2592	966.91223	1025.8191	833.06146	1050.648	950.15137	1069.494
ABCC13	20.421	28.628048	22.777517	20.111628	24.091291	21.488775	22.401608	19.106094
ABCC2	89.69992	147.52838	118.75789	117.39219	110.358696	138.87778	167.54079	147.97371
ABCC3	6410.915	9488.559	6218.242	7954.948	5816.685	8460.241	6227.996	8018.911
ABCC4	424.36566	385.5664	372.77097	336.97455	432.57526	354.24814	440.4717	391.08377
ABCC5	2579.784	6255.711	3150.101	4891.0454	2627.3508	5403.335	2875.2305	4915.0586
ABCC6	617.53546	847.8605	703.4771	677.4948	595.014	772.29694	812.0562	762.1009
ABCC8	152.74234	293.84756	183.21097	259.30823	172.02866	279.7432	185.92145	250.61987
