gene_symbol	GSM2728750	GSM2728754	GSM2728752	GSM2728758	GSM2728756	GSM2728763	GSM2728759	GSM2728762	GSM2728764	GSM2728766	GSM2728765	GSM2728751	GSM2728753	GSM2728757	GSM2728761	GSM2728760	GSM2728755
0610033M10Rik	142.0	163.0	222.25	209.625	74.375	103.875	158.25	145.375	93.3125	92.875	205.625	99.0625	112.5625	149.125	93.4375	139.875	76.5
0610037L13Rik	1277.375	1094.05	1104.5875	1038.19375	1036.24375	1222.0375	1771.525	824.825	1078.95625	1218.175	1229.2	1574.0625	623.159375	1388.51875	1484.74375	1593.7625	912.73125
0610038B21Rik	12.1953125	23.28125	21.625	17.65625	10.6640625	28.296875	12.9296875	40.15625	88.125	7.5234375	75.25	51.9375	29.84375	72.125	64.8125	64.3125	16.234375
0610039K10Rik	2.888671875	26.0	72.3125	55.125	6.7109375	23.375	2.4609375	10.640625	21.546875	27.421875	7.7265625	16.984375	7.7578125	6.17578125	6.984375	18.9375	9.7734375
0610040A22Rik	4.171875	26.421875	63.96875	69.875	58.21875	68.9375	2.0859375	8.4375	8.2265625	69.3125	4.3203125	68.125	31.984375	17.390625	10.015625	50.21875	72.0
0610040B10Rik	243.90625	299.6796875	244.0234375	224.59375	344.40625	257.8125	144.671875	296.9375	464.3984375	213.953125	211.6953125	215.8046875	267.22265625	258.98828125	224.78125	253.90625	325.78125
0610040F04Rik	212.125	193.375	263.0	375.25	263.5	138.25	86.75	195.5	317.5	341.75	228.25	166.625	237.75	311.25	212.0	235.875	121.1875
0610040J01Rik	83.6875	13.296875	61.59375	57.53125	95.6875	72.3125	55.4375	112.4375	77.5	36.65625	136.375	58.3125	58.90625	3.892578125	63.96875	56.53125	84.875
0610042E11Rik	25.01953125	37.3125	43.4609375	59.109375	55.71875	11.3984375	16.9345703125	33.03125	37.2890625	49.5625	36.53125	31.4375	48.703125	69.625	57.015625	47.91796875	20.53515625
0710001A04Rik	5.1953125	41.375	17.890625	11.5625	8.984375	2.732421875	9.375	27.3125	12.6953125	4.37109375	22.390625	26.84375	2.55859375	3.41796875	7.01953125	10.0390625	9.578125
0710001D07Rik	167.125	126.0	132.25	142.25	169.875	158.875	143.625	93.3125	160.25	246.375	148.625	125.1875	111.125	126.875	152.875	175.25	147.375
1010001B22Rik	12.671875	14.4453125	24.796875	17.265625	7.9921875	12.9765625	14.9140625	14.1953125	36.21875	8.15625	45.65625	19.546875	16.265625	53.375	38.625	16.234375	40.5
1010001I08Rik	2.892578125	12.359375	29.640625	27.890625	4.1484375	4.140625	2.15234375	17.171875	3.548828125	2.87890625	4.4375	30.328125	23.40625	25.921875	2.009765625	4.31640625	4.78125
1110002L01Rik	114.125	72.4375	135.375	76.0625	103.25	80.6875	139.25	86.375	69.125	46.90625	83.4375	157.625	37.34375	154.125	198.25	126.125	83.375
1110003F02Rik	34.875	103.875	343.25	218.875	208.25	183.25	154.375	339.0	142.75	130.75	260.25	145.125	233.875	242.75	117.6875	168.625	169.125
