gene_symbol	GSM1131558	GSM1131556	GSM1131561	GSM1131559	GSM1131560	GSM1131562	GSM1131555	GSM1131557
0610007P14Rik	11.7109375	11.9609375	11.984375	12.0078125	11.921875	11.9609375	12.3046875	11.71875
0610009B22Rik	9.9921875	10.1953125	10.25	10.453125	10.140625	10.171875	10.1875	10.0078125
0610009L18Rik	7.234375	7.3203125	7.3515625	6.91015625	7.57421875	7.421875	7.3125	7.4609375
0610009O20Rik	9.8828125	9.9609375	9.984375	10.015625	9.90625	9.7109375	10.1328125	10.109375
0610010F05Rik	8.625	8.65625	8.484375	8.7890625	8.1953125	8.484375	8.546875	8.546875
0610010K14Rik	9.6484375	9.84375	9.7109375	10.046875	9.796875	9.625	10.0859375	9.890625
0610011F06Rik	10.5546875	11.0078125	11.1953125	11.203125	11.203125	11.1328125	11.140625	10.9921875
0610012G03Rik	9.3515625	9.6328125	9.78125	9.9375	9.5234375	9.6171875	9.96875	9.578125
0610025J13Rik	6.91015625	6.796875	6.8984375	6.62109375	7.0078125	6.76171875	6.7734375	7.00390625
0610030E20Rik	11.046875	10.8203125	10.6796875	10.8125	10.625	10.7578125	10.7734375	11.0
0610037L13Rik	9.0703125	8.9453125	9.21875	9.0703125	9.15625	9.2578125	9.1796875	9.0390625
0610038B21Rik	7.07421875	6.94921875	7.046875	7.02734375	7.1953125	7.0625	7.234375	6.92578125
0610039K10Rik	6.03125	6.046875	5.9453125	6.10546875	5.875	5.87109375	6.0234375	6.140625
0610040B10Rik	7.8046875	7.8125	7.83984375	7.1640625	7.5859375	8.0859375	8.0234375	7.8515625
0610040J01Rik	9.828125	9.8828125	9.59375	9.84375	9.640625	9.6796875	9.8203125	10.03125
1110002L01Rik	8.015625	8.0546875	7.71875	8.2265625	7.6875	8.0859375	7.97265625	8.234375
1110004E09Rik	8.3828125	8.40625	8.65625	8.546875	8.5078125	8.390625	8.515625	8.5234375
1110004F10Rik	9.0546875	9.1328125	9.375	9.3671875	9.1328125	9.1796875	9.4140625	9.046875
1110006O24Rik	7.90234375	7.8515625	8.03125	7.69140625	8.0234375	7.953125	7.82421875	7.93359375
1110008E08Rik	6.21875	6.25390625	6.1484375	6.15234375	6.52734375	6.1796875	6.03125	6.6875
1110008F13Rik	12.3203125	12.46875	12.1171875	12.5	12.1953125	11.9375	12.4609375	12.3515625
1110008L16Rik	10.734375	10.84375	10.2109375	10.890625	10.328125	10.2421875	10.8671875	10.921875
1110008P14Rik	7.8046875	8.0859375	7.91015625	8.25	7.859375	7.67578125	8.09375	8.09375
1110012L19Rik	7.34765625	7.916015625	7.482421875	7.9140625	6.873046875	6.833984375	8.0390625	7.65234375
1110017D15Rik	6.1875	6.46875	6.3359375	6.31640625	6.40625	6.453125	6.36328125	6.734375
1110020C17Rik	5.27734375	5.31640625	5.15234375	4.94140625	5.35546875	5.375	5.3203125	5.234375
1110032A03Rik	10.609375	10.796875	10.609375	10.984375	10.7578125	10.6796875	10.921875	10.5625
1110032F04Rik	5.734375	5.6796875	5.68359375	5.4375	5.79296875	5.7734375	5.6875	5.640625
1110034G24Rik	6.76953125	6.96484375	7.45703125	6.90625	7.01953125	6.98828125	7.10546875	6.94921875
1110035H17Rik	6.63671875	6.58984375	6.3828125	6.484375	6.40234375	6.35546875	6.43359375	6.734375
1110037F02Rik	8.815104166666666	8.764322916666666	8.760416666666666	8.73046875	8.532552083333334	8.752604166666666	8.772135416666666	8.7890625
1110038F14Rik	7.90234375	8.015625	7.96484375	7.98828125	8.046875	7.8359375	8.0546875	8.0546875
1110051M20Rik	7.015625	7.05859375	7.0390625	6.96484375	7.078125	7.171875	7.21875	7.1796875
1110059E24Rik	8.390625	8.7109375	8.6328125	8.671875	8.2265625	8.4921875	8.7421875	8.5234375
1110059G10Rik	7.71875	7.71875	7.5234375	8.0625	7.515625	7.46484375	7.890625	7.5078125
1110065P20Rik	8.8671875	9.0546875	9.015625	9.0703125	9.09375	8.9921875	8.9609375	9.0078125
1190002N15Rik	8.234375	8.125	8.578125	8.2734375	8.34375	8.4375	8.0078125	8.359375
1190005I06Rik	6.75390625	6.9375	7.1875	7.1171875	7.1171875	7.05859375	7.09765625	7.0546875
1190007I07Rik	8.1328125	8.2578125	7.97265625	8.2421875	8.1875	8.1328125	8.421875	8.3359375
1300017J02Rik	13.046875	13.03125	12.9453125	13.078125	13.0078125	12.953125	12.9296875	13.1171875
1500002C15Rik	6.826171875	6.958984375	6.8828125	6.76953125	7.1328125	6.9140625	6.953125	7.05078125
1500002F19Rik	5.06640625	4.875	5.09375	5.1875	5.1484375	4.99609375	4.91796875	5.10546875
1500009C09Rik	7.1875	7.203125	7.26953125	7.17578125	7.3125	7.2890625	7.23828125	7.27734375
1500011B03Rik	7.609375	7.71875	7.72265625	7.75	7.703125	7.5859375	7.76171875	7.70703125
1500011K16Rik	6.81640625	6.73046875	7.26171875	7.01171875	7.12109375	7.2578125	6.97265625	6.9140625
1500015L24Rik	4.53515625	4.4453125	4.42578125	4.54296875	4.46484375	4.36328125	4.28515625	4.62890625
