	GSM1131558	GSM1131556	GSM1131561	GSM1131559	GSM1131560	GSM1131562	GSM1131555	GSM1131557
Gm2889	6.765625	6.84765625	6.8125	6.73046875	6.9765625	6.84375	6.80078125	6.8203125
NA	2.5234375	2.576171875	2.6640625	2.494140625	2.640625	2.56640625	2.71484375	2.623046875
NA	3.083984375	2.990234375	3.1015625	3.095703125	3.16796875	3.32421875	3.615234375	3.42578125
Gm10568	5.15625	4.9609375	4.99609375	5.0625	5.10546875	4.6171875	5.140625	5.20703125
NA	8.21875	8.2265625	8.671875	8.5625	8.1953125	8.421875	8.484375	8.1875
Lypla1	12.0859375	12.1875	11.8203125	12.0546875	11.65625	11.8125	12.1640625	11.84375
Tcea1	10.359375	10.5078125	10.4375	10.46875	10.375	10.328125	10.53125	10.421875
Atp6v1h	9.7421875	9.6953125	9.625	9.5859375	9.2890625	9.4296875	9.703125	9.609375
Oprk1	4.875	5.02734375	4.81640625	5.00390625	4.9609375	4.93359375	4.91796875	4.76171875
Rb1cc1	8.8671875	8.7421875	9.0703125	8.8984375	8.90625	9.171875	8.796875	8.765625
Fam150a	4.51171875	4.44921875	4.46875	4.4296875	4.4296875	4.40234375	4.2578125	4.55078125
St18	5.65625	5.7265625	5.546875	5.6875	5.69140625	5.76953125	5.74609375	5.84765625
NA	6.8828125	6.546875	6.81640625	6.90234375	6.73828125	6.94140625	6.7734375	6.82421875
Pcmtd1	10.4375	10.21875	10.3984375	10.3046875	10.296875	10.453125	9.9296875	10.4453125
Ahcy///Gm4737	13.75	13.765625	13.796875	13.7578125	13.796875	13.8359375	13.7734375	13.7734375
Gm30414	4.71484375	4.91796875	5.08203125	4.8359375	4.84375	4.70703125	4.7734375	4.94921875
NA	3.66015625	3.826171875	3.966796875	3.94140625	3.970703125	4.0703125	3.998046875	3.86328125
Gm35144///Rnf7	6.03515625	6.14453125	6.07421875	6.14453125	6.16796875	6.17578125	6.25	6.109375
NA	2.6328125	2.701171875	2.6328125	2.708984375	2.5859375	2.580078125	2.548828125	2.712890625
Rrs1	7.36328125	7.20703125	7.90625	7.5546875	7.93359375	8.1875	7.17578125	7.1640625
Adhfe1	12.5	12.4765625	12.3203125	12.6328125	12.4609375	12.4140625	12.5390625	12.46875
Gm6793///Hnrnpa3	10.5234375	10.453125	10.6640625	10.1328125	10.375	10.5546875	10.3125	10.5859375
3110035E14Rik	5.26953125	5.32421875	5.046875	5.3046875	4.97265625	5.2734375	5.4140625	5.4921875
Sgk3	8.78125	8.9453125	8.6640625	8.75	8.3515625	8.6328125	9.0390625	8.6484375
Mcmdc2	5.35546875	5.29296875	5.41015625	5.28515625	5.421875	5.265625	5.4140625	5.4609375
Cspp1	9.265625	8.921875	8.734375	8.71875	8.8359375	8.9609375	8.6328125	8.8359375
Cspp1	8.65625	8.671875	8.7421875	8.40625	8.9140625	8.6953125	8.59375	8.625
Cspp1	9.65625	9.296875	9.15625	9.1171875	9.296875	9.28125	9.046875	9.453125
Cspp1	9.390625	8.9609375	8.8046875	9.0859375	8.8671875	8.9765625	8.671875	8.9609375
Cspp1	9.5234375	8.9609375	8.8984375	9.1953125	8.78125	8.8984375	8.7421875	8.7578125
Cspp1	9.6015625	9.296875	8.8671875	9.40625	8.765625	9.0546875	8.984375	8.859375
Cspp1	9.1796875	8.8515625	8.515625	8.65625	8.5	8.6015625	8.6796875	8.796875
Cspp1	9.28125	8.8828125	8.8125	8.8046875	8.3984375	8.65625	8.6875	8.8828125
Cspp1	9.1953125	9.0703125	8.7890625	8.8359375	8.875	8.875	8.8203125	9.2109375
Cspp1	8.9765625	8.5859375	8.328125	8.7265625	8.1796875	8.2734375	8.2734375	8.671875
Cspp1	8.921875	8.625	8.453125	8.453125	8.328125	8.359375	8.3203125	8.609375
Cspp1	9.34375	9.0234375	8.5546875	8.8046875	8.4375	8.5546875	8.546875	8.859375
Cspp1	8.484375	8.0234375	8.1640625	8.203125	8.1171875	8.21875	7.8359375	8.078125
Cspp1	8.109375	7.8125	7.94921875	7.75390625	7.8828125	8.109375	7.796875	7.890625
NA	8.328125	8.734375	8.7734375	8.7734375	9.0703125	8.9296875	8.8125	8.609375
Prex2	8.2109375	8.3125	8.3828125	8.3203125	8.015625	8.25	8.4453125	8.0859375
A830018L16Rik	4.95703125	4.828125	4.8828125	4.82421875	5.04296875	4.84765625	5.09375	5.00390625
NA	8.09375	8.21875	8.078125	8.2109375	8.3203125	8.1484375	8.2421875	8.1640625
Sulf1	6.578125	6.37890625	6.34765625	6.5	6.43359375	6.50390625	6.2890625	6.5078125
NA	5.625	5.20703125	5.27734375	5.11328125	5.41796875	5.35546875	5.44921875	5.76953125
Xkr9	9.3125	9.3203125	9.125	9.4375	9.2421875	9.3359375	9.140625	9.2109375
Gm9947	5.83984375	5.92578125	5.59375	5.67578125	5.82421875	5.79296875	5.625	5.84375
Rpl5	10.2421875	10.6484375	11.703125	10.90625	11.421875	11.6796875	11.078125	10.359375
NA	8.9609375	9.015625	9.21875	8.8203125	9.3984375	9.2734375	8.8828125	8.6875
Kcnb2	5.4296875	5.62109375	5.671875	5.4609375	5.8359375	5.8515625	5.578125	5.7265625
Terf1	8.40625	8.1484375	8.625	8.1640625	8.1015625	8.40625	8.2734375	8.0859375
NA	5.64453125	5.68359375	5.67578125	6.01953125	5.8515625	6.046875	6.20703125	6.07421875
Rdh10	9.921875	9.84375	10.265625	10.1328125	10.0234375	10.15625	10.03125	10.1171875
Tmem70	8.9609375	9.21875	9.5234375	9.25	9.3125	9.3515625	9.28125	9.1953125
Ly96	10.8828125	11.0703125	10.15625	11.0078125	10.1953125	10.328125	10.9921875	10.625
Gdap1	4.84375	4.91796875	4.8828125	4.6015625	4.875	4.94140625	4.7890625	5.04296875
Pi15	4.87109375	4.94921875	4.8828125	4.46875	4.84765625	4.58984375	4.6796875	5.04296875
Crispld1	6.25390625	6.2421875	6.20703125	6.328125	6.2578125	6.21484375	6.24609375	6.26953125
Tfap2d	5.44921875	5.3203125	5.3203125	5.625	5.75390625	5.50390625	5.48046875	5.55859375
Tfap2b	5.34375	5.43359375	5.5078125	5.328125	5.30078125	5.4140625	5.4375	5.52734375
Iars	11.1484375	11.1328125	10.9609375	11.09375	10.6953125	11.046875	10.9375	11.265625
Mir206	3.001953125	3.11328125	2.974609375	2.955078125	3.09375	2.96875	3.017578125	2.9453125
Linc-md1///Mir133b	6.30859375	6.28125	6.32421875	6.32421875	6.55859375	6.5078125	6.234375	6.43359375
Il17a	6.1796875	6.26953125	6.21484375	6.19140625	6.6953125	6.1015625	6.21875	6.4140625
Paqr8	6.68359375	6.703125	6.90234375	6.6015625	6.85546875	6.76953125	6.734375	6.9375
Efhc1	6.5078125	6.34765625	6.21875	6.01953125	6.453125	6.27734375	6.3359375	6.22265625
Tmem14a	7.09375	7.12890625	6.640625	6.5234375	6.47265625	6.4140625	6.93359375	6.734375
Gsta3	13.046875	12.9765625	12.6640625	12.9296875	12.859375	12.875	13.046875	12.9296875
Cetn4	4.30859375	4.1796875	4.30859375	4.171875	4.2265625	4.21484375	4.2890625	4.109375
Khdc1a	3.791015625	4.01171875	3.6875	3.71875	3.541015625	3.275390625	3.876953125	4.0390625
Khdc1c///Khdc1a///Khdc1b	5.50390625	5.51171875	5.3828125	5.44921875	5.52734375	5.53515625	5.6640625	5.56640625
Khdc1c///Khdc1a///Khdc1b	5.2890625	5.203125	5.0859375	5.20703125	5.54296875	5.33203125	5.4296875	5.57421875
Mir30a	6.23046875	5.94921875	5.83203125	5.9609375	6.21484375	6.21875	5.95703125	6.4453125
Mir30c-2	5.37109375	4.87109375	5.12109375	5.05078125	5.02734375	5.265625	4.98828125	5.29296875
B3gat2	6.8671875	6.5390625	6.62890625	6.58203125	6.7578125	6.53515625	6.7109375	6.55859375
Sdhaf4	6.62109375	6.5546875	6.69921875	6.45703125	6.796875	6.72265625	6.63671875	6.8125
Col9a1	6.51953125	6.44140625	6.2890625	6.15234375	6.6875	6.33984375	6.4140625	6.453125
Lmbrd1	10.421875	10.390625	10.5546875	10.46875	10.1640625	10.2421875	10.390625	10.3046875
NA	5.06640625	5.23046875	4.8671875	4.69140625	5.00390625	5.265625	4.8984375	4.8671875
Gm9884	5.34765625	5.30078125	5.1640625	5.27734375	5.4140625	5.203125	5.125	5.25390625
NA	7.91015625	7.5234375	7.91015625	7.8671875	7.80859375	8.015625	7.3203125	7.625
NA	4.2421875	4.265625	4.66015625	4.2578125	4.3046875	4.56640625	4.73046875	3.953125
Cdk10	8.3359375	8.3046875	8.796875	8.4453125	8.6171875	8.609375	8.515625	8.421875
Lgsn	6.2578125	6.171875	6.30078125	5.9765625	6.44921875	6.21484375	6.29296875	6.484375
Pih1d3	3.552734375	3.650390625	3.470703125	3.306640625	3.33984375	3.55859375	3.708984375	3.599609375
NA	5.18359375	4.90234375	5.21484375	5	5.359375	5.2734375	5.1796875	5.81640625
Paox	8.5078125	8.5859375	8.6171875	8.625	8.7421875	8.7578125	8.609375	8.6171875
NA	7.03125	6.9296875	6.828125	7.02734375	7.05078125	6.8984375	6.984375	7.06640625
Khdrbs2	4.87109375	4.8125	5.08203125	4.76953125	5.06640625	4.89453125	4.7734375	4.88671875
NA	3.64453125	3.38671875	3.740234375	3.671875	3.892578125	3.69921875	3.791015625	3.826171875
NA	3.896484375	4.01953125	3.810546875	3.646484375	3.80859375	4.1484375	4.08984375	3.837890625
1700001G17Rik	7.28125	7.4921875	7.44140625	7.265625	7.53125	7.20703125	7.16796875	7.34765625
Rab23	7.73046875	7.65234375	7.77734375	7.703125	7.35546875	7.6171875	7.84375	7.765625
Dst	8.2734375	8.1953125	8.265625	7.8984375	8.171875	8.3359375	8.0078125	8.1796875
NA	6.3203125	6.22265625	6.3671875	6.21875	6.47265625	6.375	6.23046875	6.421875
NA	6.828125	6.7578125	6.828125	6.7890625	6.96875	6.8125	6.6796875	6.8828125
Imp4	10.96875	11.1953125	10.9375	11.171875	11	10.7890625	11.328125	11.140625
D1Ertd448e	9.328125	9.4296875	9.0234375	9.3359375	9.171875	9.171875	9.234375	9.484375
Ptpn18	6.69921875	6.50390625	6.64453125	6.45703125	6.5390625	6.578125	6.45703125	6.63671875
Prss39	6.078125	6.1015625	5.94140625	5.9140625	6.07421875	5.96484375	6.05078125	6.1640625
Cfc1	6.1484375	6.48828125	6.4296875	6.48828125	6.5078125	6.58203125	6.578125	6.3515625
Amer3	5.9921875	5.84765625	5.703125	5.96484375	6.0703125	5.796875	5.95703125	5.94140625
C230030N03Rik	6.6796875	6.49609375	6.5078125	6.56640625	6.51171875	6.54296875	6.1875	6.546875
NA	6.3984375	6.41015625	6.3828125	6.25390625	6.55078125	6.3046875	6.37109375	6.50390625
NA	6.84765625	6.8984375	6.7734375	6.74609375	7.078125	6.8359375	6.79296875	7.0234375
Arhgef4	7.12890625	7.01953125	6.8125	7.02734375	7.30859375	7.11328125	7.0859375	6.96484375
Plekhb2	8.9375	9.109375	9.2421875	8.9765625	8.953125	8.8046875	9.109375	9.140625
NA	8.1484375	8.125	8.65625	7.6015625	7.85546875	8.71875	8.7109375	7.3671875
NA	6.98046875	6.7734375	6.9921875	6.68359375	7.23828125	7.08203125	6.9375	7.09375
NA	5.375	5.6171875	5.546875	5.53125	5.58203125	5.5078125	5.5	5.390625
Hs6st1	10.578125	10.625	10.671875	10.578125	10.6328125	10.546875	10.21875	10.9296875
Arid5a	7.390625	7.4296875	7.34765625	7.25390625	7.4296875	7.40625	7.3828125	7.4296875
Fer1l5	5.953125	5.95703125	5.9765625	5.97265625	6.15625	5.91796875	5.94140625	6.09765625
Cnnm4	7.32421875	7.07421875	7.25	7.27734375	7.22265625	7.171875	7.19140625	7.36328125
Cnnm3	8.4609375	8.359375	8.7109375	8.375	8.53125	8.7578125	8.3671875	8.6171875
Cox5b	12.390625	12.3984375	12.3046875	12.640625	12.609375	12.3046875	12.546875	12.40625
Zap70	7.234375	7.3203125	7.24609375	7.26953125	7.41796875	7.42578125	7.30078125	7.23828125
NA	4.44140625	4.23046875	4.56640625	4.2734375	4.515625	4.7421875	4.60546875	4.41015625
Vwa3b	6.703125	6.73828125	6.69921875	6.61328125	6.96875	6.78515625	6.90625	6.71875
Vwa3b	6.96875	6.59765625	6.59765625	6.52734375	6.80859375	6.546875	6.921875	6.65625
Vwa3b	5.859375	5.68359375	5.66796875	5.41015625	5.99609375	5.609375	5.7578125	5.6640625
Vwa3b	6.01953125	5.84375	5.82421875	5.8359375	6.0078125	6.03515625	6.21484375	5.96484375
Vwa3b	8.71875	8.75	8.6484375	8.4375	9	8.703125	8.75	8.7265625
Vwa3b	5.4375	5.421875	5.30078125	5.1171875	5.640625	5.5390625	5.4609375	5.7265625
Vwa3b	6.921875	6.88671875	6.96484375	6.796875	7.109375	7.08203125	7.0234375	7.0078125
Vwa3b	5.46875	5.55078125	5.65625	5.29296875	5.7421875	5.609375	5.5234375	5.4375
Cnga3	6.1640625	6.203125	6.16015625	6.08203125	6.46484375	6.28125	6.2734375	6.29296875
Inpp4a	9.3828125	9.1875	9.0625	9.078125	9.109375	9.1875	8.6484375	9.0703125
Unc50	9.75	9.71875	9.6015625	9.828125	9.5	9.484375	9.7890625	9.7109375
Lipt1	7.88671875	8.1640625	7.53125	8.1953125	7.3984375	7.55078125	8.1484375	8.1875
Mrpl30	9.765625	10.03125	10.25	10.1953125	10.296875	10.125	10.2421875	9.9921875
Eif5b	9.15625	8.8984375	9.328125	9.09375	9.1796875	9.4609375	8.875	9.1015625
