gene_symbol	GSM1342752	GSM1342755	GSM1342757	GSM1342747	GSM1342753	GSM1342750	GSM1342744	GSM1342748	GSM1342745	GSM1342749	GSM1342751	GSM1342758	GSM1342746	GSM1342754	GSM1342759	GSM1342756
0710001D07Rik	4.54296875	5.03515625	4.52734375	4.58984375	4.6640625	4.7265625	4.1953125	4.5078125	4.55078125	4.5546875	4.60546875	4.72265625	4.6015625	4.734375	4.89453125	4.96484375
1010001B22Rik	4.375	4.86328125	4.50390625	4.96875	4.4609375	4.71484375	4.54296875	4.53515625	4.7890625	4.5	4.609375	4.515625	4.66015625	4.546875	4.41796875	4.5859375
1010001I08Rik	2.916015625	3.4921875	2.9375	3.19921875	2.91796875	2.767578125	2.755859375	2.955078125	3.330078125	2.78515625	2.8671875	2.814453125	2.876953125	2.673828125	2.68359375	2.623046875
1110002L01Rik	6.11328125	6.26171875	5.7578125	5.78125	6.41015625	5.78125	5.84765625	5.50390625	5.75	5.46875	5.5	5.9375	5.91796875	6.171875	5.84765625	5.87890625
1110003F02Rik	5.6484375	5.98828125	5.6875	6.046875	5.6015625	5.94921875	5.68359375	5.71484375	6.02734375	5.80859375	5.8828125	5.57421875	5.734375	5.625	5.6953125	5.78515625
1110004E09Rik	6.8037109375	6.8525390625	6.7041015625	6.85546875	6.8681640625	6.712890625	6.8037109375	6.70703125	6.8310546875	6.693359375	6.7041015625	6.6044921875	6.9931640625	6.8564453125	6.69921875	6.74609375
1110004F10Rik	8.625	8.765625	8.765625	8.828125	8.5546875	8.9921875	8.9375	9.046875	9.015625	9.1015625	8.9296875	8.84375	9.0703125	8.8125	8.6953125	8.640625
1110004M10Rik	3.892578125	3.6220703125	3.6259765625	3.904296875	3.8876953125	3.7626953125	3.8193359375	3.6103515625	3.69140625	3.6416015625	3.7626953125	3.671875	3.7431640625	3.6171875	3.7138671875	3.48828125
1110006E14Rik	3.412109375	3.033203125	2.890625	3.060546875	3.349609375	3.04296875	3.3828125	3.091796875	3.154296875	2.939453125	3.24609375	3.22265625	2.861328125	3.220703125	3.09375	3.046875
1110006O24Rik	3.919921875	3.814453125	3.943359375	3.763671875	4.36328125	3.76953125	3.625	3.576171875	3.671875	3.57421875	3.998046875	3.619140625	3.470703125	3.630859375	3.75	3.7578125
1110008E08Rik	5.1796875	5.31640625	5.11328125	5.390625	5.5078125	5.14453125	4.96484375	5.125	5.08203125	4.640625	5.0078125	5.1171875	5.08984375	5.00390625	4.984375	5.546875
1110008F13Rik	7.466796875	7.4755859375	7.630859375	7.3955078125	7.2890625	7.431640625	7.494140625	7.5	7.3564453125	7.5703125	7.455078125	7.638671875	7.486328125	7.306640625	7.7216796875	7.640625
1110008L16Rik	7.33984375	7.5	7.40625	7.36328125	7.359375	7.171875	7.0703125	7.23046875	7.12890625	7.13671875	7.0234375	7.3671875	7.30859375	7.3359375	7.125	7.25390625
1110008P14Rik	8.575520833333334	8.908854166666666	8.90625	8.872395833333334	8.802083333333334	9.033854166666666	8.833333333333334	8.890625	8.690104166666666	8.825520833333334	8.981770833333334	8.921875	8.841145833333334	8.760416666666666	8.8203125	8.971354166666666
1110012L19Rik	7.58984375	7.84375	7.453125	7.6875	7.53515625	7.60546875	7.4375	7.51171875	7.55859375	7.73046875	7.3828125	7.45703125	7.68359375	7.92578125	7.5625	7.30859375
1110014L15Rik	2.181640625	2.544921875	2.142578125	2.23046875	2.673828125	2.162109375	2.162109375	2.048828125	2.28515625	2.205078125	2.494140625	2.283203125	2.2265625	2.05859375	2.3203125	2.3203125
1110015O18Rik	2.095703125	2.220703125	1.9873046875	2.0234375	2.177734375	2.142578125	2.1015625	1.8154296875	2.205078125	2.13671875	2.044921875	1.99609375	2.0859375	2.126953125	2.04296875	2.056640625
1110017D15Rik	3.90234375	4.0078125	4.12890625	3.97265625	4.0546875	3.97265625	3.97265625	3.970703125	3.810546875	3.958984375	4.1015625	4.15234375	3.572265625	4.09375	4.1953125	3.970703125
1110018N20Rik	3.603515625	4.140625	3.9921875	3.9375	3.921875	3.76171875	3.5390625	3.80859375	3.56640625	3.80859375	3.814453125	4.02734375	3.9375	3.9375	3.751953125	3.802734375
1110019B22Rik	4.40625	4.64453125	4.32421875	4.50390625	4.74609375	4.47265625	4.33984375	4.3515625	4.375	4.56640625	4.58984375	4.12109375	4.4296875	4.49609375	4.3046875	4.65234375
1110019D14Rik	4.66015625	4.70703125	4.5	5.04296875	4.77734375	4.69921875	4.8359375	4.73046875	4.79296875	4.85546875	4.50390625	4.328125	5.17578125	4.671875	4.55859375	4.5078125
1110020A21Rik	6.5078125	6.6015625	6.34765625	6.76171875	6.53125	6.05078125	6.3984375	6.03515625	6.20703125	6.14453125	6.390625	6.11328125	6.59765625	6.5546875	6.171875	6.22265625
1110020C17Rik	4.3828125	4.53125	4.5390625	4.703125	4.67578125	4.72265625	4.49609375	4.30078125	4.44140625	4.49609375	4.53515625	4.46484375	4.41015625	4.2265625	4.47265625	4.5625
1110028F11Rik	3.8798828125	3.8740234375	3.935546875	3.8212890625	3.78125	3.806640625	3.814453125	3.75	3.7958984375	3.806640625	3.849609375	3.984375	3.9814453125	3.9150390625	3.8369140625	3.771484375
1110028F18Rik	5.37109375	5.64453125	5.65625	5.6328125	5.9140625	5.609375	5.51953125	5.56640625	5.48046875	5.7421875	5.55859375	5.58203125	5.51171875	5.59375	5.51953125	5.8046875
1110032A03Rik	7.26171875	7.25390625	7.10546875	7.0703125	7.146484375	7.15234375	7.130859375	6.892578125	7.125	7.005859375	7.0390625	7.150390625	7.0859375	7.25390625	7.123046875	7.189453125
1110032F04Rik	3.130859375	3.4658203125	3.3642578125	3.181640625	3.3720703125	3.1171875	3.3388671875	3.3271484375	3.341796875	3.283203125	3.2294921875	3.2685546875	3.3037109375	3.2998046875	3.2275390625	3.1630859375
1110034G24Rik	6.455078125	6.60546875	6.42578125	6.423828125	6.51953125	6.59375	6.470703125	6.548828125	6.591796875	6.50390625	6.361328125	6.384765625	6.599609375	6.75	6.419921875	6.39453125
1110035E04Rik	2.568359375	2.79296875	2.8515625	2.533203125	2.619140625	2.8359375	2.681640625	2.62890625	2.748046875	2.533203125	2.6484375	2.5390625	2.515625	2.611328125	2.45703125	2.58984375
1110035H17Rik	3.240234375	3.357421875	3.279296875	3.3671875	3.349609375	3.388671875	3.1796875	3.099609375	3.51953125	3.2109375	3.09765625	3.173828125	3.01953125	3.30078125	3.240234375	3.2734375
1110037F02Rik	6.98046875	6.953125	6.90234375	7.1015625	7.0	7.11328125	7.224609375	7.119140625	7.08203125	7.1484375	7.099609375	7.05078125	7.208984375	7.072265625	7.005859375	6.796875
1110038B12Rik	9.6640625	9.0390625	9.90625	9.40625	9.21875	9.2734375	9.59375	9.3515625	9.4765625	9.4296875	9.1953125	9.828125	9.609375	9.15625	9.7265625	9.7421875
1110038F14Rik	6.5078125	6.71875	6.57421875	6.62890625	6.5625	6.8515625	6.55859375	6.640625	6.6171875	6.65234375	6.640625	6.6328125	6.6875	6.80078125	6.5078125	6.4921875
1110046J04Rik	2.845703125	2.806640625	2.798828125	3.080078125	2.478515625	2.794921875	2.736328125	2.775390625	2.734375	2.8046875	2.69921875	2.724609375	2.82421875	2.83203125	2.65625	2.80078125
1110050P16Rik	4.58203125	4.6484375	4.40234375	4.4453125	4.58203125	4.51171875	4.1484375	4.30859375	4.73828125	4.359375	4.55078125	4.37890625	4.2890625	4.61328125	4.4921875	4.56640625
1110051M20Rik	5.6875	5.8984375	5.71875	6.03515625	5.9375	5.83984375	5.703125	5.75390625	5.984375	5.72265625	5.90625	5.81640625	5.99609375	5.56640625	5.65625	5.93359375
1110059E24Rik	8.3359375	8.3984375	8.3984375	8.46875	8.1875	8.453125	8.203125	8.4765625	8.2578125	8.484375	8.2890625	8.515625	8.59375	8.4765625	8.4296875	8.4296875
1110059G02Rik	8.599609375	7.615234375	8.4404296875	7.8349609375	7.68359375	8.4033203125	8.548828125	8.6328125	8.2177734375	8.54296875	8.5	8.3203125	8.3486328125	8.4140625	8.41796875	7.998046875
