Sample_geo_accession	Condition	Group
GSM1342756	 Pregnenolone 16alpha-carbinonitrile (PCN)	Wildtype male mice
GSM1342757	 Pregnenolone 16alpha-carbinonitrile (PCN)	Wildtype male mice
GSM1342758	 Pregnenolone 16alpha-carbinonitrile (PCN)	Wildtype male mice
GSM1342759	 Pregnenolone 16alpha-carbinonitrile (PCN)	Wildtype male mice
GSM1342752	Control 	Wildtype male mice
GSM1342753	Control 	Wildtype male mice
GSM1342754	Control 	Wildtype male mice
GSM1342755	Control 	Wildtype male mice
GSM1342748	 Pregnenolone 16alpha-carbinonitrile (PCN)	PXR Knockout male mice
GSM1342749	 Pregnenolone 16alpha-carbinonitrile (PCN)	PXR Knockout male mice
GSM1342750	 Pregnenolone 16alpha-carbinonitrile (PCN)	PXR Knockout male mice
GSM1342751	 Pregnenolone 16alpha-carbinonitrile (PCN)	PXR Knockout male mice
GSM1342744	Control 	PXR Knockout male mice
GSM1342745	Control 	PXR Knockout male mice
GSM1342746	Control 	PXR Knockout male mice
GSM1342747	Control 	PXR Knockout male mice
