	GSM4473088	GSM4473089	GSM4473090	GSM4473091	GSM4473092	GSM4473093
A1BG	130	109	67	156	90	136
A1BG-AS1	10	13	6	0	0	9
A1CF	2	0	18	10	0	53
A2M	1954	1441	1770	1674	1915	1756
A2M-AS1	176	189	101	123	96	91
A2ML1	19	52	25	56	47	90
A2ML1-AS1	0	0	0	0	0	29
A2ML1-AS2	1	0	0	6	57	0
A2MP1	0	0	20	55	13	0
A3GALT2	0	0	0	0	0	0
A4GALT	91	27	61	231	225	234
A4GNT	0	0	0	3	0	2
AAAS	47	67	66	283	275	143
AACS	384	167	156	308	516	472
AACSP1	14	47	63	86	64	91
AADAC	58	61	57	38	51	3
AADACL2	39	0	27	37	0	48
AADACL2-AS1	7	2	0	16	11	2
AADACL3	0	0	6	22	0	0
AADACL4	0	0	0	0	0	0
AADACP1	31	17	11	0	27	20
AADAT	271	186	251	168	247	191
AAGAB	415	299	504	168	302	173
AAK1	617	652	587	1088	1073	1273
AAMDC	611	636	682	197	234	254
AAMP	1086	1281	1796	455	413	602
AANAT	0	0	0	1	0	0
AAR2	198	233	160	114	102	205
AARD	8	23	2	31	46	53
AARS1	406	224	270	245	228	229
AARS1P1	0	0	0	0	0	0
AARS2	205	182	54	111	57	169
AARSD1	104	111	120	85	174	63
AARSD1P1	0	3	21	0	0	25
AASDH	241	343	282	156	122	147
AASDHPPT	1677	2285	2177	590	357	480
AASS	2017	1687	1576	1619	1905	1429
AATBC	11	2	27	13	23	29
AATF	260	362	400	473	295	504
AATK	6	21	43	139	74	125
ABALON	0	0	0	16	23	21
ABAT	70	49	64	135	56	132
ABCA1	2363	1963	1756	2986	3053	2665
ABCA10	5523	3655	3814	1686	1797	1987
ABCA11P	51	17	53	79	38	30
ABCA12	23	0	19	26	6	30
ABCA13	37	30	19	70	27	23
ABCA17P	0	1	10	0	0	13
ABCA2	19	26	45	69	75	36
ABCA3	2	1	18	1	27	0
ABCA3P1	0	0	0	0	0	1
ABCA4	0	1	1	0	0	0
ABCA5	1811	1456	1437	840	813	708
ABCA6	4791	3831	4449	3273	4180	3265
ABCA7	3	23	7	132	86	105
ABCA8	19520	14223	15988	6559	8250	6840
ABCA9	9260	7841	7639	6547	8314	6975
ABCA9-AS1	52	99	65	17	80	96
ABCB1	11	13	38	16	4	25
ABCB10	1114	738	754	442	508	205
ABCB10P1	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0
ABCB11	38	140	141	49	73	63
ABCB4	57	128	180	52	125	216
ABCB5	174	220	256	110	312	208
ABCB6	87	87	163	65	92	33
ABCB7	613	651	834	395	401	360
ABCB8	50	21	14	56	25	44
ABCB9	42	26	37	98	159	175
ABCC1	838	797	744	498	667	630
ABCC10	51	11	28	94	10	69
ABCC11	4	39	43	76	135	127
ABCC12	0	0	0	0	0	4
ABCC13	2	7	11	21	3	43
ABCC2	881	495	582	327	359	119
ABCC3	97	97	107	80	100	60
ABCC4	40	74	59	37	42	93
ABCC5	1313	1675	1220	763	633	613
ABCC5-AS1	24	0	0	32	0	0
ABCC6	30	31	76	232	68	194
ABCC6P1	0	20	6	5	0	7
ABCC6P2	20	0	0	0	0	0
ABCC8	9	8	23	122	18	50
ABCC9	2363	2093	2270	6617	6875	7090
ABCD1	12	0	11	1	0	0
ABCD1P2	0	0	0	0	0	0
ABCD1P3	0	0	6	0	0	0
ABCD1P4	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0
ABCD2	20	42	77	0	0	61
ABCD3	731	647	915	429	447	358
ABCD4	533	281	343	342	302	300
ABCE1	2140	1735	1521	734	800	896
ABCF1	297	327	367	446	763	753
ABCF2	71	279	149	203	114	52
ABCF2-H2BK1	0	0	0	0	0	0
ABCF2P1	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0
ABCF3	105	48	86	138	108	138
ABCG1	80	135	124	86	39	113
ABCG2	14	18	11	32	71	22
ABCG4	10	0	0	3	0	0
ABCG5	27	3	17	1	81	11
ABCG8	25	52	63	167	137	148
ABHD1	1	16	17	20	10	10
ABHD10	319	376	393	136	270	121
ABHD11	94	36	31	44	130	131
ABHD11-AS1	0	0	0	0	0	0
ABHD12	176	130	94	139	44	9
ABHD12B	59	5	66	18	53	110
ABHD13	644	779	977	171	303	395
ABHD14A	17	7	23	61	28	17
ABHD14A-ACY1	0	0	0	0	0	0
ABHD14B	112	123	139	428	402	150
ABHD15	97	146	127	85	207	128
ABHD15-AS1	16	26	47	38	46	15
ABHD16A	423	315	223	114	183	102
ABHD16B	0	0	0	0	0	0
ABHD17A	76	110	25	47	106	83
ABHD17AP1	0	0	0	1	0	0
ABHD17AP3	0	0	0	23	0	0
ABHD17AP4	0	0	0	4	0	0
ABHD17AP5	0	0	0	0	0	0
ABHD17AP6	0	0	0	0	0	0
ABHD17AP7	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0
