	GSM1429373	GSM1429375	GSM1429368	GSM1429369	GSM1429370	GSM1429364	GSM1429367	GSM1429371	GSM1429372	GSM1429366	GSM1429365	GSM1429374
Gm2889	6.3984375	6	7.80078125	7.30078125	5.80078125	7.80078125	7.19921875	5.3984375	5.69921875	8.296875	7.69921875	5.69921875
NA	2.5	2.5	2.599609375	2.599609375	2.599609375	2.599609375	2.69921875	2.5	2.69921875	2.599609375	2.599609375	2.69921875
NA	3.19921875	3	3.19921875	3.30078125	3	3.30078125	3.19921875	3	3.19921875	3.400390625	3.400390625	2.900390625
Gm10568	4.19921875	4.19921875	3.80078125	4	4.1015625	3.900390625	4	4.19921875	4	4	4.1015625	3.900390625
NA	6.30078125	6.5	6	6	6.3984375	6.30078125	6.19921875	6.1015625	6.1015625	5.80078125	6.30078125	6.30078125
Lypla1	8.3984375	8.203125	7.80078125	7.69921875	8.296875	7.6015625	8	8.203125	8.296875	7.6015625	7.69921875	8.203125
Tcea1	9.203125	9.203125	9	8.8984375	9.296875	9.3984375	9.296875	9.203125	9.1015625	8.8984375	9.1015625	9.1015625
Atp6v1h	8.5	8.3984375	7.8984375	7.80078125	8.5	7.80078125	7.8984375	8.5	8.5	7.69921875	7.69921875	8.6015625
Oprk1	4.6015625	4.3984375	4.3984375	4.5	4.3984375	4.6015625	4.1015625	4.6015625	4.3984375	4.1015625	4.5	4.30078125
Rb1cc1	7.6015625	7.69921875	7.30078125	7.1015625	7.6015625	6.8984375	7.1015625	7.3984375	8	7.1015625	7.30078125	7.80078125
Fam150a	4.1015625	4	4	4.19921875	4.19921875	4.30078125	4.19921875	4	4.19921875	4.19921875	4.19921875	4
St18	8.6015625	8.6015625	8.796875	8.796875	8.796875	8.296875	8.6015625	8.796875	9	8.6015625	8.6015625	8.796875
NA	5	4.69921875	5.6015625	5.3984375	4.80078125	5.80078125	5.3984375	4.5	5	5.80078125	5.80078125	4.8984375
Pcmtd1	8.796875	8.796875	8.203125	8.203125	8.796875	8	8.5	8.8984375	8.8984375	8.3984375	8.1015625	9
Ahcy///Gm4737	8.296875	8.203125	8.1015625	8	8.5	8.8984375	8.5	8.296875	8.296875	8.3984375	8.5	8.296875
Gm30414	3.900390625	4	3.80078125	4.1015625	3.80078125	4	4	4.1015625	4	4.19921875	4.19921875	3.80078125
NA	4.8984375	5	4.6015625	4.6015625	4.8984375	4.19921875	4.69921875	4.8984375	4.80078125	4.19921875	4.5	5
Gm35144///Rnf7	5.8984375	5.8984375	5.69921875	6	5.8984375	6	5.8984375	5.69921875	5.80078125	5.69921875	5.8984375	5.69921875
NA	2.599609375	2.5	2.5	2.599609375	2.5	2.599609375	2.599609375	2.69921875	2.599609375	2.5	2.5	2.599609375
Rrs1	7.19921875	6.5	5.69921875	5.8984375	6.1015625	6.30078125	6.5	6	5.80078125	6.3984375	6	6.8984375
Adhfe1	5	4.8984375	5	4.80078125	4.6015625	5.1015625	5	4.6015625	4.8984375	5.1015625	4.8984375	4.8984375
Gm6793///Hnrnpa3	10.796875	10.8984375	10	10	10.6015625	10.203125	10.203125	10.796875	10.8984375	10.3984375	10.296875	10.8984375
3110035E14Rik	4.3984375	4.5	4.69921875	4.6015625	4.5	4.6015625	4.6015625	4.5	4.6015625	4.3984375	4.5	4.5
Sgk3	7.30078125	7.30078125	7.1015625	7.19921875	7.5	7.30078125	7.19921875	7.3984375	7.69921875	7.19921875	7.30078125	7.3984375
Mcmdc2	4.19921875	4.19921875	4.3984375	4.30078125	4.5	4.69921875	4.30078125	4.30078125	4.30078125	4.6015625	4.3984375	4.19921875
Cspp1	7.80078125	8.1015625	7.3984375	7.69921875	7.80078125	7.19921875	7.3984375	7.69921875	8.296875	7.69921875	7.5	7.8984375
Cspp1	8.703125	8.703125	8.796875	9	8.6015625	9	9	8.703125	8.3984375	8.703125	9.1015625	8.3984375
Cspp1	8.203125	8.3984375	8	8.296875	8.1015625	7.8984375	7.8984375	8.1015625	8.3984375	8.203125	8	8.5
Cspp1	8	8.296875	7.80078125	8.1015625	8	7.3984375	7.5	8	8.3984375	7.6015625	7.80078125	8.296875
Cspp1	7.8984375	7.8984375	7	7.1015625	7.69921875	6	6.3984375	7.30078125	8.296875	7.1015625	6.6015625	8
Cspp1	6.8984375	6.8984375	6.6015625	6.5	6.8984375	5.8984375	6.19921875	6.5	7.19921875	6.3984375	6.5	6.80078125
Cspp1	7.69921875	8.1015625	7.6015625	8.296875	7.80078125	7.3984375	7.5	7.80078125	8.1015625	7.6015625	7.80078125	8.1015625
Cspp1	7.8984375	8.296875	7.80078125	8.296875	8	7.69921875	7.6015625	8.1015625	8.203125	7.8984375	8	8.1015625
Cspp1	8.703125	9	8.703125	9	8.796875	8.703125	8.6015625	8.796875	8.796875	8.703125	8.796875	8.796875
Cspp1	7.3984375	7.6015625	6.69921875	7.30078125	7.5	6.1015625	6.69921875	7	7.80078125	6.8984375	6.8984375	7.6015625
Cspp1	7.69921875	7.6015625	7.19921875	7.3984375	7.3984375	6.80078125	6.80078125	7.30078125	7.6015625	7.1015625	7	7.5
Cspp1	8	7.8984375	7.30078125	7.69921875	8	6.80078125	7	7.30078125	7.80078125	6.8984375	7.1015625	8.1015625
Cspp1	7.30078125	7.6015625	6.80078125	7.30078125	7.30078125	6.6015625	6.80078125	7.30078125	7.69921875	6.8984375	7.1015625	7.69921875
Cspp1	8	8.1015625	7.30078125	7.8984375	8	7.5	7.30078125	7.8984375	8.296875	7.5	7.5	8.203125
NA	8	8	7.5	7.69921875	7.8984375	7.80078125	7.69921875	7.80078125	7.80078125	7.80078125	7.6015625	7.8984375
Prex2	5.6015625	5.69921875	5.5	5.8984375	6	5.69921875	5.6015625	6	6.19921875	5.3984375	5.5	6
A830018L16Rik	4.80078125	4.80078125	5	5	4.69921875	4.69921875	5.1015625	4.8984375	4.80078125	4.8984375	4.69921875	4.6015625
NA	6.1015625	6.1015625	5.6015625	6	6	5.69921875	6	6	6.1015625	5.69921875	5.80078125	5.8984375
Sulf1	4.8984375	5	5.1015625	4.8984375	5	5.19921875	5.19921875	5.1015625	4.80078125	5.1015625	5	4.80078125
NA	4.8984375	4.6015625	5.1015625	5.1015625	4.8984375	5.3984375	5.69921875	4.5	4.30078125	5.3984375	5.19921875	4.80078125
Xkr9	4	3.80078125	3.900390625	4.1015625	3.900390625	4.1015625	4.1015625	3.80078125	3.80078125	4.1015625	4	3.900390625
Gm9947	4.3984375	4.6015625	4.5	4.3984375	4.3984375	4.80078125	4.69921875	4.6015625	4.30078125	4.8984375	4.5	4.30078125
Rpl5	10.1015625	10.1015625	9.6015625	9.3984375	10	9.5	9.796875	9.8984375	10	9.8984375	9.796875	10
NA	7.19921875	7.3984375	7	7.3984375	7.19921875	7.30078125	7.6015625	7	7.30078125	7.30078125	7.80078125	7.1015625
Kcnb2	6.69921875	6.3984375	6.80078125	6.6015625	6.69921875	6.3984375	6.6015625	6.69921875	6.6015625	6.30078125	6.19921875	6.69921875
Terf1	7.6015625	7.5	6.69921875	6.69921875	7.6015625	6.6015625	7.1015625	7.3984375	7.80078125	6.8984375	6.8984375	7.5
NA	5.19921875	5.69921875	4.8984375	5	5.5	5.30078125	5.19921875	5.3984375	5.1015625	5.5	4.80078125	5.19921875
Rdh10	7	6.8984375	6.8984375	7	7.1015625	6.8984375	7	7.30078125	7.19921875	6.8984375	6.8984375	7.1015625
Tmem70	7.6015625	7.30078125	6.8984375	6.8984375	7.6015625	7	7	7.30078125	7.3984375	6.80078125	7.19921875	7.30078125
Ly96	7.30078125	7.19921875	5.8984375	5.69921875	7.30078125	5.5	5.80078125	6.3984375	7.30078125	5.5	5.8984375	7.19921875
Gdap1	8.3984375	8.203125	7.69921875	7.5	8.5	7.3984375	7.8984375	8.296875	8.5	7.6015625	7.6015625	8.6015625
Pi15	4.5	4.3984375	4.6015625	4.6015625	4.69921875	4.8984375	4.5	4.69921875	4.69921875	4.3984375	4.6015625	4.80078125
Crispld1	5.5	5.3984375	5.6015625	5.6015625	5.69921875	5.69921875	5.6015625	5.5	5.30078125	5.19921875	5.19921875	5.69921875
Tfap2d	4.3984375	4.3984375	4.80078125	4.69921875	4.3984375	4.69921875	4.69921875	4.69921875	4.3984375	4.5	4.69921875	4.69921875
Tfap2b	4.6015625	4.8984375	4.6015625	5	4.69921875	4.69921875	4.69921875	4.8984375	4.6015625	4.5	4.80078125	4.6015625
Iars	7.80078125	7.8984375	7.5	7.3984375	7.80078125	7.3984375	7.3984375	7.3984375	7.8984375	7.6015625	7.69921875	8
Mir206	3.19921875	3	3.19921875	3.400390625	3.099609375	3.400390625	3.599609375	3.099609375	3.099609375	3.400390625	3.30078125	3.19921875
Linc-md1///Mir133b	5.5	5.5	5.69921875	5.69921875	5.69921875	6.1015625	5.8984375	5.5	5	5.3984375	5.6015625	5.6015625
Il17a	5.1015625	5.3984375	5.30078125	5.5	5.1015625	5.6015625	5.6015625	5.5	5	5	5.19921875	5.30078125
Paqr8	6.30078125	6.30078125	6.5	6.19921875	6.19921875	6.3984375	6.3984375	6.19921875	6	6.30078125	6.3984375	6.30078125
Efhc1	8.1015625	8.1015625	7.80078125	7.5	7.8984375	7.3984375	7.69921875	7.80078125	7.8984375	7.6015625	7.6015625	8.3984375
Tmem14a	5	5.5	5.30078125	5.19921875	5.3984375	5.3984375	5.69921875	5.19921875	5.1015625	5.5	5.30078125	5.3984375
Gsta3	5.3984375	5.3984375	5.5	5.30078125	5.19921875	5.5	5.3984375	5.5	5.19921875	5.30078125	5.5	5
Cetn4	5.80078125	5.5	5.5	5	5.5	5.69921875	5.3984375	5.69921875	5.5	5.1015625	5.69921875	6.1015625
Khdc1a	3.19921875	3.099609375	3.19921875	3.599609375	3.30078125	3.599609375	3.900390625	3.400390625	3.69921875	3.400390625	3.80078125	3.5
Khdc1c///Khdc1a///Khdc1b	3.900390625	4.3984375	4.5	4.69921875	4.30078125	4.80078125	4.5	4.30078125	4.30078125	4.5	4.80078125	4.3984375
Khdc1c///Khdc1a///Khdc1b	3.900390625	4.30078125	4.3984375	4.5	4.19921875	4.6015625	4.30078125	4.30078125	4.19921875	4.69921875	4.80078125	4.1015625
Mir30a	4.6015625	4.30078125	4.3984375	4.19921875	4.5	4.1015625	4.19921875	4.5	4.5	4.30078125	4.5	4.69921875
Mir30c-2	4.3984375	4.3984375	4.19921875	4.19921875	4.3984375	4.19921875	4.1015625	4.30078125	4.30078125	4.1015625	4.30078125	4.3984375
B3gat2	5.30078125	5.19921875	5.19921875	5.3984375	5.30078125	5.6015625	5.1015625	5.19921875	5.1015625	5.1015625	5.1015625	5.1015625
Sdhaf4	5.30078125	5.19921875	5.6015625	5.30078125	5.19921875	5.80078125	5.3984375	5.5	5	5.6015625	5.30078125	5
Col9a1	5.8984375	6	6.1015625	6.19921875	5.80078125	6.3984375	6.30078125	6.1015625	5.69921875	6.3984375	6.30078125	6
Lmbrd1	8	7.8984375	7.8984375	7.69921875	8.203125	7.3984375	7.80078125	8.1015625	8.296875	7.80078125	7.69921875	8.3984375
NA	4.19921875	4.1015625	3.900390625	4.30078125	3.900390625	4.5	4.19921875	3.900390625	3.900390625	4.1015625	4.19921875	3.900390625
Gm9884	4.6015625	5.1015625	4.8984375	5	4.8984375	5.19921875	5.1015625	4.80078125	4.6015625	4.8984375	5	4.80078125
