gene_symbol	GSM506024	GSM506030	GSM506029	GSM506033	GSM506027	GSM506028	GSM506026	GSM506031	GSM506025	GSM506035	GSM506032	GSM506034
0610007P14Rik	535.0	230.375	279.75	200.0	425.5	436.75	519.5	229.625	544.5	191.5	184.625	181.375
0610009B22Rik	287.75	335.5	216.375	345.75	224.625	213.875	227.25	422.5	239.625	376.5	304.0	374.75
0610009L18Rik	270.75	230.25	270.25	230.625	370.5	273.25	247.875	216.25	289.5	257.75	284.75	220.125
0610009O20Rik	190.0	284.75	195.25	248.875	187.5	178.375	166.0	264.25	201.875	265.25	277.25	288.25
0610010F05Rik	184.125	236.5	253.5	246.5	191.25	198.625	183.375	294.0	165.875	261.75	195.5	278.5
0610010K14Rik	293.0	261.75	229.0	235.5	255.125	266.0	279.75	241.0	276.0	245.75	231.25	211.125
0610011F06Rik	277.0	343.0	186.0	284.25	251.125	257.0	261.5	313.5	293.0	266.5	306.75	283.25
0610012G03Rik	260.25	856.5	342.0	833.0	282.75	258.75	222.0	909.5	237.5	917.5	805.0	899.5
0610025J13Rik	48.21875	55.65625	38.71875	60.0	62.3125	41.625	34.0	52.28125	32.4375	50.25	48.625	53.96875
0610030E20Rik	185.375	205.625	213.375	180.5	162.375	136.125	164.125	183.875	152.625	199.375	165.75	179.625
0610037L13Rik	308.25	405.75	341.0	352.0	276.0	280.5	267.25	444.5	271.0	358.5	343.25	387.75
0610038B21Rik	32.5625	42.53125	56.75	57.84375	40.03125	46.40625	30.90625	40.3125	34.03125	45.46875	48.0	37.40625
0610039K10Rik	9.1015625	18.375	10.2734375	16.078125	13.546875	13.4609375	12.9453125	21.703125	9.7734375	18.0	20.515625	17.265625
0610040B10Rik	51.09375	31.75	40.09375	23.1875	49.125	43.59375	40.8125	30.046875	51.65625	29.40625	34.625	40.40625
0610040J01Rik	63.25	52.3125	43.71875	58.21875	49.78125	54.6875	42.125	62.0	54.59375	46.6875	70.4375	72.6875
1110002L01Rik	51.25	70.125	45.5	59.9375	68.75	69.75	46.8125	31.765625	54.125	54.53125	45.28125	76.25
1110004E09Rik	116.9375	135.5	104.9375	145.25	111.75	135.5	104.3125	145.75	96.125	149.5	120.5	143.875
1110004F10Rik	535.0	367.25	403.5	325.75	501.25	473.5	489.5	374.5	552.5	383.75	333.0	341.25
1110006O24Rik	85.875	71.125	86.875	84.5625	98.4375	92.8125	79.0	64.6875	101.0625	94.875	69.1875	60.46875
1110008E08Rik	25.796875	18.734375	27.875	26.296875	42.40625	34.0	34.28125	18.5625	41.1875	26.453125	22.625	25.046875
1110008F13Rik	561.0	2140.0	921.5	1967.0	606.0	602.5	542.0	2078.0	503.5	1996.0	2120.0	1921.0
1110008L16Rik	165.25	238.625	177.625	216.0	158.875	170.0	153.625	183.375	172.5	223.625	174.75	231.375
1110008P14Rik	224.375	335.5	178.0	259.5	218.5	214.5	183.5	357.25	218.0	279.25	326.75	287.75
1110012L19Rik	84.21875	107.375	88.46875	67.484375	110.75	105.0625	80.625	114.3125	84.15625	73.8125	70.28125	89.75
1110017D15Rik	48.34375	53.9375	42.28125	63.15625	47.96875	42.125	51.96875	55.65625	51.6875	57.375	42.9375	54.375
1110020C17Rik	12.7421875	6.71484375	6.9140625	13.734375	11.0546875	11.015625	14.8359375	9.90625	10.234375	16.21875	12.390625	8.828125
1110032A03Rik	754.0	1083.0	746.0	889.0	630.0	606.5	653.5	1235.0	670.5	942.0	934.5	892.5
1110032F04Rik	26.40625	21.359375	20.296875	25.484375	25.8125	28.390625	26.828125	16.296875	33.6875	15.4140625	22.53125	21.96875
1110034G24Rik	56.71875	57.3125	56.40625	44.6875	44.4375	42.53125	51.9375	77.9375	47.34375	57.0	66.6875	53.46875
1110035H17Rik	30.203125	18.515625	14.921875	12.9921875	19.71875	19.0625	26.453125	17.34375	19.09375	17.859375	21.515625	25.03125
1110037F02Rik	216.41666666666666	201.79166666666666	270.2916666666667	195.75	216.83333333333334	227.45833333333334	240.25	171.41666666666666	231.66666666666666	179.20833333333334	173.70833333333334	199.20833333333334
1110038F14Rik	113.3125	134.375	104.5	147.5	117.0	112.0625	118.25	122.6875	105.75	128.0	125.8125	134.25
1110051M20Rik	104.5	26.96875	59.96875	37.40625	98.875	104.9375	115.75	29.953125	110.5625	27.984375	30.328125	28.828125
1110059E24Rik	243.25	182.625	156.25	140.625	179.625	190.625	186.0	256.25	183.25	120.0625	139.75	141.625
1110059G10Rik	118.5625	126.4375	107.5	129.125	89.875	99.125	104.3125	154.875	104.5625	116.8125	116.75	123.3125
1110065P20Rik	282.25	314.25	209.125	291.25	222.875	278.75	248.625	295.25	274.25	317.25	298.5	292.0
1190002N15Rik	88.1875	119.8125	131.625	76.3125	69.0	73.0	103.0	135.0	76.5625	72.75	137.75	81.75
1190005I06Rik	38.46875	336.25	130.375	258.5	41.96875	55.375	30.40625	317.25	45.6875	294.5	210.0	257.75
1190007I07Rik	62.25	113.1875	54.03125	103.0625	54.3125	46.59375	44.0625	121.8125	62.8125	104.0625	133.25	94.0625
1300017J02Rik	33.09375	29.84375	22.25	42.34375	30.03125	24.640625	33.53125	23.03125	29.171875	32.71875	31.25	26.4375
1500002C15Rik	68.625	86.59375	71.78125	99.7578125	78.5	66.6640625	73.109375	85.03125	82.953125	93.875	90.359375	75.2578125
1500002F19Rik	10.90625	13.5234375	7.2421875	7.89453125	8.53125	5.41015625	10.0234375	10.1953125	7.45703125	11.125	8.6171875	10.203125
1500009C09Rik	50.03125	75.8125	41.3125	62.4375	57.65625	50.3125	60.65625	51.90625	56.09375	62.8125	69.6875	62.78125
1500011B03Rik	202.625	35.0625	90.0625	33.5625	171.625	190.125	148.5	15.6953125	167.625	23.59375	14.9921875	41.78125
1500011K16Rik	216.75	445.5	320.25	391.0	171.625	163.0	190.625	723.5	145.0	394.75	481.75	379.75
1500015L24Rik	7.72265625	13.1796875	10.5	11.9921875	15.9765625	14.84375	11.46875	9.46875	16.328125	13.1796875	8.515625	14.1796875
1500015O10Rik	70.375	48.65625	55.21875	59.4375	74.375	84.625	51.75	38.65625	68.875	32.03125	56.5625	45.40625
1500035N22Rik	31.8125	34.1875	29.84375	30.484375	20.640625	18.375	26.484375	25.96875	27.234375	16.875	27.734375	26.734375
1520401A03Rik	73.125	68.125	58.28125	76.1875	64.625	71.375	52.625	80.3125	56.5	74.4375	59.875	67.875
1600002H07Rik	48.40625	58.125	38.90625	52.5625	44.75	43.25	48.46875	59.53125	51.46875	54.53125	57.65625	49.78125
1600002K03Rik	74.125	75.125	52.875	72.4375	78.625	76.75	66.0	61.46875	66.1875	63.28125	74.1875	63.59375
1600012H06Rik	144.125	140.25	149.25	160.75	121.0625	123.875	114.75	144.75	126.9375	129.625	133.875	135.75
1600012P17Rik	28.703125	18.78125	22.671875	27.9375	39.4375	30.28125	20.296875	19.671875	38.40625	24.984375	23.9375	21.75
1600014C10Rik	213.375	382.75	459.75	363.0	238.0	227.375	184.625	296.0	213.875	342.0	311.5	357.5
1600014C23Rik	15.59375	14.046875	15.9609375	10.5078125	22.5625	20.375	22.234375	14.6796875	20.9375	24.734375	15.7734375	24.328125
