	GSM506024	GSM506030	GSM506029	GSM506033	GSM506027	GSM506028	GSM506026	GSM506031	GSM506025	GSM506035	GSM506032	GSM506034
Gm2889	64.75	95.0625	72.9375	89.875	82.875	72.1875	57.5	88.4375	68.875	100.375	91.4375	77.0625
NA	0.53076171875	1.89453125	1.595703125	2.89453125	2.82421875	3.25	2.126953125	1.763671875	1.2568359375	1.1376953125	3.224609375	3.25390625
NA	3.36328125	0.483154296875	0.60205078125	6.78125	3.11328125	1.8076171875	2.30078125	10.21875	5.515625	3.794921875	5.33203125	1.2001953125
Gm10568	11.8671875	11.1796875	8.8203125	5.34765625	5.8359375	7.61328125	6.859375	1.6826171875	9.8828125	10.859375	5.62109375	5.83203125
NA	244.5	1690	539.5	1725	353	326.75	199.875	1734	221.75	1957	1527	1706
Lypla1	409.75	1072	549.5	1087	384.25	377.5	362.25	1255	341	1131	1008	1144
Tcea1	772	821.5	757.5	769	795.5	740.5	691.5	850	675.5	768	723	655.5
Atp6v1h	489.25	513.5	593.5	582	508	512.5	492	517.5	513	621	445	557.5
Oprk1	11.1484375	19.328125	18.25	22.9375	9.6015625	8.2734375	11.4453125	21.703125	12.359375	20.59375	14.328125	14.6953125
Rb1cc1	218.375	285	258.5	276.75	212	219.875	215.75	308	213.75	290.25	247.375	275
Fam150a	34.15625	19.546875	31.53125	24.09375	22.671875	23.84375	27.671875	18.078125	32.5	23.875	23.890625	16.46875
St18	12.0703125	22.359375	15.4765625	24.875	15.4765625	14.0234375	13.96875	13.1171875	9.8671875	19.375	20.0625	19.59375
NA	29.84375	41.9375	33.3125	36.75	30.09375	38.0625	26.265625	54.5625	37.21875	42.3125	50.96875	32.3125
Pcmtd1	842	1210	889	1162	803.5	782	871.5	1248	825.5	1126	1035	1213
Ahcy///Gm4737	518.5	272	365.75	282.25	492.25	505.5	457.75	227.875	464.75	273.75	228.125	287
Gm30414	13.46875	1.640625	10.2890625	17.25	17.140625	18.03125	17.21875	8.59375	16.921875	10.0625	11.265625	15.25
NA	354.25	167.75	184	248.625	304.25	340.5	280.25	210.25	262	334.5	209.25	241.5
Gm35144///Rnf7	146.75	188.625	131.5	237	175.25	166.625	151.75	195.625	158.25	236.75	204	235.875
NA	0.0106353759765625	0.0936279296875	0.00217247009277344	3.59375	0.67041015625	0.00490570068359375	0.000685691833496094	1.751953125	0.000439882278442383	0.000754356384277344	0.000827312469482422	2.525390625
Rrs1	204.75	185.875	201.75	251.375	205.25	155.375	205	163.125	208.625	284.25	150.375	255.5
Adhfe1	933	2402	1472	1440	723.5	725.5	837	2180	925	1444	2200	1627
Gm6793///Hnrnpa3	1502	755	1118	675	1585	1621	1702	926	1611	681	762	783
3110035E14Rik	4.11328125	12.5390625	14.75	22	11.8046875	16.078125	12.3125	16.21875	9.9140625	19.640625	7.19140625	18.546875
Sgk3	307.5	270.25	271.25	244.375	270.75	269.5	270	244	301	241.625	266.5	239.125
Mcmdc2	17.03125	21.84375	12.8046875	27.921875	16.234375	14.5859375	15.2109375	20.078125	24.59375	21.46875	29.28125	17.65625
Cspp1	102.625	71.5	105.125	76.125	130.75	131.125	148.75	67.6875	137.5	68.3125	54.3125	76.0625
Cspp1	120.6875	184.625	128.125	181.375	153.75	111.0625	97	183.125	122	222.5	188.375	197.875
Cspp1	121.5625	82.9375	125.8125	73.125	167.75	143.875	165.375	61.25	154.625	93.3125	72.625	94.125
Cspp1	90	63.1875	99.8125	72	108.6875	119.625	142.125	45.125	113	58.90625	60.375	74.875
Cspp1	56.4375	36.96875	48.84375	33.1875	82.0625	77.875	75.1875	30.09375	71.4375	38.84375	20.734375	46.59375
Cspp1	66.8125	40.40625	62.71875	48.625	90.3125	96.3125	93.125	46.78125	81.375	50.96875	30.703125	67.25
Cspp1	90.125	68.375	99.25	73.6875	115.75	126.125	138.5	42.65625	106.5625	60.90625	52.9375	82
Cspp1	121.8125	75.3125	114.25	76.5625	167	140.125	160.75	62.40625	143.625	98.0625	76.5625	96.5
Cspp1	190.25	112	177.75	130.5	223.375	208.75	255.5	120.375	222	117.3125	105.1875	126.1875
Cspp1	93.3125	60.3125	109.0625	62.125	133.5	116.0625	118.5625	54.46875	107.125	65.3125	67.6875	86.375
Cspp1	118.5625	107.6875	112.5	93.75	144.5	143	165.625	81.3125	152.625	86.5625	62.84375	79.25
Cspp1	93.625	71.3125	95.5	66.9375	103.75	108.125	120.25	56.3125	105	43.03125	51.5	68.125
Cspp1	86.4375	66.6875	92.5	56.34375	109.5	109.375	113.875	67.75	101.625	62.8125	60.53125	62.21875
Cspp1	97.9375	67.5	81.5625	73.0625	103.125	113.0625	107.5	59.8125	107	70.9375	54.28125	79.5
NA	376.25	497	286.75	556	407.25	403.75	336.25	547.5	328	553.5	497.5	521.5
Prex2	336.5	648.5	327.5	615	360.75	407.5	405	629.5	423	620	550	727.5
