gene_symbol	GSM3561120	GSM3561123	GSM3561121	GSM3561122	GSM3561125	GSM3561126	GSM3561119	GSM3561124
A1BG	133.375	179.0	164.375	128.75	155.375	87.9375	199.875	167.0
A1BG-AS1	34.6875	94.9375	27.796875	12.015625	73.9375	37.03125	75.8125	56.4375
A1CF	52.669189453125	35.53515625	55.580078125	53.66796875	77.6640625	58.5859375	40.5625	69.87060546875
A2M	123.625	306.6875	101.03125	359.3125	125.8125	300.3125	193.4375	114.34375
A2M-AS1	52.875	63.53125	42.53125	70.875	52.875	44.9375	71.8125	59.28125
A2ML1	10.08984375	16.22265625	20.078125	28.55859375	17.568359375	43.25	32.0703125	38.8203125
A2MP1	4.18359375	7.37109375	44.9375	33.46875	8.8125	31.9375	12.5078125	21.03125
A4GALT	38.1875	32.4375	56.71875	62.0	49.59375	59.875	100.25	34.28125
A4GNT	59.375	80.4375	45.21875	48.21875	74.5625	81.875	46.59375	78.25
AA06	37.125	49.25	4.2578125	8.6015625	26.265625	88.125	53.0	32.25
AAAS	346.0	369.75	407.75	421.5	299.5	380.0	236.75	548.5
AACS	1409.0	1521.0	1525.0	1328.0	1539.0	1721.0	1387.0	1443.0
AACSP1	37.34375	1.83984375	2.33203125	13.6171875	14.2734375	5.05859375	17.203125	22.734375
AADAC	1.40625	6.296875	6.6171875	23.390625	5.9453125	13.421875	3.326171875	4.9765625
AADACL2	2.341796875	24.078125	8.7109375	21.046875	19.171875	17.0625	1.408203125	2.21875
AADACP1	2.474609375	10.71875	4.59765625	19.5	1.2060546875	4.48828125	1.1025390625	1.5712890625
AADAT	322.75	319.5	328.75	245.5	246.25	176.125	359.75	321.0
AAED1	1174.0	1442.0	1402.0	1209.0	1356.0	1263.0	1527.0	1257.0
AAGAB	506.125	412.7916666666667	481.359375	418.53125	422.0625	479.5416666666667	335.4479166666667	456.3333333333333
AAK1	479.95926339285717	485.86690848214283	447.78013392857144	361.86607142857144	389.92410714285717	378.26785714285717	468.69363839285717	417.40234375
AAMDC	518.2630208333334	464.03125	480.125	548.2578125	491.0208333333333	549.5911458333334	448.0442708333333	553.2916666666666
AAMP	1739.0	1861.0	1810.0	1857.0	1809.0	1876.0	1932.0	1799.0
AANAT	5.05078125	10.9609375	8.3359375	5.87109375	4.80078125	5.84765625	6.8671875	13.4296875
AAR2	869.5	857.5	797.5	804.5	909.5	781.5	875.0	950.5
AARS	4100.0	4062.0	4004.0	2984.0	4700.0	3796.0	3878.0	4720.0
AARS2	206.7578125	200.28125	215.1875	151.90625	228.8125	171.421875	184.9375	232.859375
AASDH	497.625	494.375	545.5	538.875	533.125	491.75	494.875	533.25
AASDHPPT	1744.03125	1925.15234375	1799.2584635416667	2108.6770833333335	1757.8606770833333	2154.84375	1778.1393229166667	1844.1770833333333
AASS	343.125	179.8125	309.125	246.5	313.625	319.125	150.25	265.75
AATBC	29.515625	21.328125	25.0	38.1875	12.3359375	23.28125	33.34375	39.15625
AATF	1227.0	1356.0	1004.5	1143.0	1404.0	1077.0	1510.0	1511.0
AATK	97.8125	42.125	68.625	81.875	130.625	221.125	178.875	155.375
ABAT	147.04166666666666	102.65625	106.20833333333333	182.55208333333334	136.9375	189.54166666666666	93.0	126.39583333333333
ABCA1	525.52734375	611.75	531.3349609375	299.892578125	546.8291015625	290.400390625	657.94091796875	568.71484375
ABCA11P	153.125	180.5	148.25	185.875	150.0	172.0	168.0	201.375
ABCA12	18.046875	0.88818359375	19.21875	0.677734375	23.703125	18.4375	11.640625	0.7373046875
ABCA13	5.704427083333333	5.576497395833333	12.286458333333334	4.9404296875	6.9033203125	1.60400390625	7.1142578125	21.091145833333332
ABCA17P	25.84375	37.8125	22.875	59.8125	29.28125	75.8125	31.71875	33.09375
ABCA2	101.46875	73.72916666666667	110.70052083333333	120.13541666666667	94.30989583333333	119.265625	85.494140625	96.63020833333333
ABCA3	15.9453125	16.40625	38.5	47.1875	75.8125	75.5	12.359375	30.71875
ABCA4	5.994140625	2.716796875	12.419921875	8.880859375	4.3544921875	8.478515625	12.02734375	12.296875
ABCA5	363.4375	392.5625	357.90625	235.1875	374.6875	238.46875	393.03125	449.09375
ABCA6	336.75	273.25	355.0	333.0	293.5	435.25	272.5	254.625
ABCA7	49.65625	32.5	56.5625	65.5	65.375	72.25	73.25	105.5625
ABCA8	2090.7109375	1632.6458333333333	2271.21875	2922.6041666666665	2397.0201822916665	3494.0520833333335	1544.234375	2367.46875
ABCA9	176.14583333333334	158.72916666666666	186.0	256.6666666666667	205.33333333333334	420.1666666666667	193.22916666666666	230.27083333333334
ABCB1	15.02734375	20.025390625	28.625	21.703125	8.060546875	18.93359375	11.67919921875	27.87890625
ABCB10	1086.0	994.5	1142.0	1049.0	1130.0	1047.0	1170.0	1113.0
ABCB11	11.40234375	40.6796875	14.79296875	5.96533203125	21.5078125	15.21875	35.17578125	8.654296875
