Sample_geo_accession	Condition	Group
GSM2136955	beta subtype 1	Pancreas
GSM2136956	beta subtype 1	Pancreas
GSM2136963	beta subtype 1	Pancreas
GSM2136964	beta subtype 1	Pancreas
GSM2136971	beta subtype 1	Pancreas
GSM2136972	beta subtype 1	Pancreas
GSM2136979	beta subtype 1	Pancreas
GSM2136980	beta subtype 1	Pancreas
GSM2136957	beta subtype 2	Pancreas
GSM2136958	beta subtype 2	Pancreas
GSM2136965	beta subtype 2	Pancreas
GSM2136966	beta subtype 2	Pancreas
GSM2136973	beta subtype 2	Pancreas
GSM2136974	beta subtype 2	Pancreas
GSM2136981	beta subtype 2	Pancreas
GSM2136982	beta subtype 2	Pancreas
GSM2136959	beta subtype 3	Pancreas
GSM2136960	beta subtype 3	Pancreas
GSM2136967	beta subtype 3	Pancreas
GSM2136968	beta subtype 3	Pancreas
GSM2136975	beta subtype 3	Pancreas
GSM2136976	beta subtype 3	Pancreas
GSM2136983	beta subtype 3	Pancreas
GSM2136984	beta subtype 3	Pancreas
GSM2136961	beta subtype 4	Pancreas
GSM2136962	beta subtype 4	Pancreas
GSM2136969	beta subtype 4	Pancreas
GSM2136970	beta subtype 4	Pancreas
GSM2136977	beta subtype 4	Pancreas
GSM2136978	beta subtype 4	Pancreas
GSM2136985	beta subtype 4	Pancreas
GSM2136986	beta subtype 4	Pancreas
