gene_symbol	GSM4665806	GSM4665804	GSM4665796	GSM4665789	GSM4665791	GSM4665802	GSM4665799	GSM4665803	GSM4665805	GSM4665800	GSM4665794	GSM4665793	GSM4665790	GSM4665792	GSM4665795	GSM4665798	GSM4665801	GSM4665797
A1CF	5.484375	5.46484375	5.39453125	9.0	8.8203125	5.60546875	5.27734375	5.3984375	5.51953125	5.59375	5.42578125	6.078125	9.2109375	5.4921875	5.48828125	5.83984375	5.58203125	5.8671875
A2M	5.41015625	5.203125	5.953125	11.0859375	11.1171875	4.9296875	5.19921875	4.51953125	4.640625	5.21484375	8.6953125	8.8203125	11.1953125	8.875	6.03125	4.97265625	5.21875	6.25
A4GALT	6.9921875	7.31640625	8.0390625	7.2578125	7.33203125	7.14453125	7.28515625	6.66796875	7.140625	6.421875	8.328125	8.1796875	7.2109375	8.046875	7.8359375	7.859375	6.9453125	7.54296875
A4GNT	6.171875	6.22265625	6.06640625	5.7734375	6.00390625	5.765625	5.828125	6.01171875	5.97265625	6.625	5.90234375	6.0703125	5.67578125	5.8828125	5.953125	6.2421875	6.421875	6.5078125
AAAS	8.421875	8.265625	8.1953125	7.78515625	7.90234375	8.609375	7.98046875	8.4921875	8.515625	7.8046875	8.296875	8.125	7.828125	8.0859375	8.2734375	8.59375	8.390625	7.84375
AACS	8.578125	8.6953125	9.0859375	9.3359375	9.3046875	8.6875	8.796875	8.6796875	8.7421875	8.5625	8.984375	9.09375	9.3515625	8.9765625	9.0859375	8.703125	8.71875	8.890625
AADAC	5.22265625	5.76171875	5.2890625	9.4375	9.21875	5.3984375	5.11328125	5.37890625	5.35546875	5.3203125	5.59765625	5.45703125	9.125	5.53515625	5.3203125	5.56640625	5.1953125	5.2109375
AAGAB	8.08984375	8.109375	8.06640625	7.77734375	7.76953125	8.14453125	8.1953125	7.96484375	8.150390625	8.06640625	8.078125	8.12109375	7.8203125	8.16796875	8.0703125	7.9609375	7.970703125	8.013671875
AAK1	5.5515625	5.6375	5.6265625	5.44140625	5.63515625	5.43359375	5.58984375	5.60078125	5.7390625	5.76875	5.523046875	5.61015625	5.6125	5.5	5.7	6.053125	5.70390625	6.00390625
AAMDC	6.532552083333333	7.209635416666667	7.352864583333333	6.957682291666667	7.104817708333333	6.735677083333333	7.388671875	6.729166666666667	6.927083333333333	7.165364583333333	7.15625	7.063151041666667	7.059244791666667	7.108072916666667	7.33984375	7.209635416666667	6.806640625	7.236979166666667
AAMP	8.671875	8.40625	8.7734375	8.7734375	8.8359375	8.34375	8.5546875	8.625	8.75	8.7890625	8.8046875	8.71875	8.7578125	8.765625	8.6640625	8.8515625	8.4453125	8.671875
AANAT	3.88671875	3.92578125	3.92578125	3.732421875	4.109375	4.2109375	4.1796875	3.990234375	3.955078125	4.2578125	3.798828125	3.8203125	3.86328125	3.623046875	3.787109375	4.50390625	4.12109375	4.05078125
AAR2	9.75	9.6640625	9.3984375	9.328125	9.28125	9.625	9.4765625	9.5859375	10.109375	9.328125	9.6796875	9.6640625	9.4375	9.6328125	9.2890625	9.96875	9.6796875	9.375
AARS	11.53125	11.4453125	10.765625	10.4765625	10.5625	11.3046875	10.703125	11.0546875	11.8203125	10.5625	10.78125	10.6875	10.421875	10.7109375	10.703125	11.1328125	11.0703125	10.5390625
AASDHPPT	9.796875	9.2109375	9.4453125	9.2109375	9.05078125	9.07421875	8.984375	9.38671875	9.1015625	9.1640625	9.1953125	9.140625	9.27734375	9.296875	9.26953125	7.34375	9.1640625	9.29296875
AASS	5.58203125	5.56640625	5.732421875	5.791015625	5.65625	5.4296875	5.865234375	5.65625	5.26953125	5.921875	6.57421875	6.8828125	5.875	7.091796875	5.7421875	5.537109375	5.302734375	5.361328125
AATF	9.515625	9.609375	8.78125	8.9453125	9.1171875	9.4921875	9.1484375	9.046875	9.8984375	8.75	8.96875	8.8359375	9.0390625	8.8203125	8.8515625	9.328125	9.1875	8.5703125
AATK	6.91015625	7.55078125	7.16796875	6.859375	7.16796875	7.171875	7.2109375	6.99609375	7.03125	7.6015625	7.0546875	7.03515625	7.02734375	6.69140625	7.2109375	7.16796875	7.12109375	7.1015625
ABAT	4.842447916666667	5.764322916666667	6.990885416666667	7.764322916666667	7.723958333333333	5.28515625	6.377604166666667	5.013020833333333	5.424479166666667	5.951822916666667	7.259114583333333	7.462239583333333	7.690104166666667	7.430989583333333	6.9765625	5.858072916666667	5.497395833333333	6.846354166666667
ABCA1	7.82421875	7.6875	6.821614583333333	8.0703125	7.977864583333333	7.805989583333333	7.919270833333333	7.653645833333333	7.639322916666667	7.920572916666667	7.473958333333333	7.567708333333333	8.022135416666666	7.481770833333333	6.766927083333333	7.661458333333333	7.838541666666667	6.638020833333333
ABCA11P	5.75	5.39453125	6.421875	6.2265625	6.08984375	5.46875	5.9296875	5.125	5.3671875	5.5234375	6.25	6.4453125	6.3125	6.83984375	6.57421875	5.421875	5.5625	6.25
ABCA12	3.4375	3.69921875	3.45703125	3.365234375	3.234375	3.55078125	3.310546875	3.388671875	3.451171875	3.291015625	3.2265625	3.197265625	3.328125	3.236328125	3.359375	3.310546875	3.376953125	3.259765625
ABCA2	6.239583333333333	6.375	6.32421875	5.697916666666667	5.794270833333333	6.145833333333333	6.087239583333333	6.30078125	6.430989583333333	6.05078125	6.19921875	5.959635416666667	5.731770833333333	5.872395833333333	6.260416666666667	6.565104166666667	6.145833333333333	6.153645833333333
ABCA3	5.2109375	6.19921875	8.3046875	6.82421875	7.12890625	5.89453125	6.17578125	5.85546875	6.16015625	5.87109375	7.359375	7.453125	7.15234375	7.4296875	8.21875	6.75390625	6.0546875	8.0234375
ABCA4	5.81640625	5.36328125	6.0546875	5.7890625	5.83203125	5.1796875	5.6328125	5.98828125	5.35546875	6.234375	6.39453125	6.70703125	5.72265625	6.48828125	6.296875	6.73046875	5.69140625	6.42578125
ABCA5	6.6328125	6.75	8.40625	7.80859375	7.50390625	7.1640625	7.609375	6.87109375	6.546875	7.29296875	8.359375	8.296875	7.80078125	8.3984375	8.46875	7.421875	7.10546875	8.3515625
ABCA6	4.67578125	4.98046875	4.5859375	4.8984375	4.92578125	5.40234375	4.4453125	4.9609375	5.03515625	4.53125	4.62109375	4.63671875	5.05078125	4.85546875	4.4140625	4.87890625	5.23828125	4.47265625
ABCA7	6.59765625	7.3828125	7.8046875	6.8828125	6.8671875	6.859375	6.93359375	6.46484375	7.03125	6.48828125	7.7421875	7.65234375	6.72265625	7.86328125	7.92578125	7.578125	6.76171875	7.84375
ABCA8	6.43359375	6.953125	10.734375	9.4140625	9.3125	8.484375	8.046875	8.6328125	6.23828125	7.875	11.1484375	11.359375	9.3515625	11.34375	10.7109375	6.59765625	8.8984375	10.6484375
ABCB1	5.25	5.46484375	3.810546875	7.34765625	7.25390625	4.21484375	4.30859375	4.2734375	5.44921875	4.07421875	4.046875	4.1875	7.171875	4.359375	3.92578125	4.48828125	4.44921875	4.07421875
ABCB11	4.42578125	4.4072265625	4.2568359375	4.25	4.30078125	4.3212890625	4.3046875	4.2822265625	4.2705078125	4.6337890625	4.0771484375	4.228515625	4.142578125	3.9970703125	4.1484375	4.4892578125	4.3466796875	4.55859375
ABCB4	5.044921875	5.546875	4.49609375	6.34375	6.376953125	4.94140625	4.74609375	4.818359375	5.396484375	4.61328125	4.5390625	4.4296875	6.48828125	4.400390625	4.474609375	4.857421875	4.861328125	4.361328125
ABCB6	6.431640625	7.189453125	7.0234375	6.69140625	6.861328125	6.884765625	6.484375	6.3828125	6.912109375	6.16015625	7.181640625	6.90234375	6.775390625	6.798828125	7.0546875	6.82421875	6.609375	6.498046875
ABCB7	8.2109375	8.4453125	8.328125	8.0078125	7.74609375	8.484375	8.5625	7.921875	8.53125	8.265625	7.8359375	7.734375	7.796875	7.81640625	8.296875	8.21875	8.2109375	8.0859375
ABCB8	5.78515625	6.240234375	5.98046875	5.697265625	5.900390625	5.97265625	5.623046875	5.908203125	6.30859375	5.7109375	5.89453125	5.783203125	5.720703125	5.748046875	5.982421875	6.029296875	5.994140625	5.974609375
ABCB9	6.158203125	6.708984375	6.248046875	5.814453125	5.80859375	6.37109375	6.408203125	6.197265625	6.427734375	6.041015625	6.306640625	5.697265625	5.744140625	6.046875	6.18359375	6.58203125	6.42578125	5.7421875
ABCC1	9.52734375	8.86328125	10.94140625	8.9453125	8.8984375	9.1875	9.005859375	9.3359375	9.34765625	9.12109375	9.41796875	9.41796875	8.919921875	9.515625	10.97265625	9.1328125	9.138671875	10.7890625
ABCC10	7.8359375	8.44140625	8.1328125	8.5390625	8.5859375	7.83203125	8.515625	8.142578125	8.12109375	8.32421875	8.525390625	8.5078125	8.48828125	8.669921875	8.15625	8.4140625	8.140625	8.107421875
ABCC2	5.05859375	4.7734375	4.984375	7.09765625	6.8671875	5.03515625	4.921875	5.234375	4.796875	5.4296875	5.21484375	4.921875	7.2890625	4.78515625	5.11328125	5.203125	4.6640625	5.546875
ABCC3	7.541015625	7.671875	5.9140625	8.7109375	8.71484375	7.01171875	6.1640625	6.85546875	7.806640625	6.091796875	6.017578125	6.255859375	8.734375	6.078125	6.251953125	6.787109375	6.912109375	6.001953125
ABCC4	10.046875	9.6484375	7.08984375	8.4453125	8.1640625	9.4609375	9.8515625	9.640625	9.8359375	9.7109375	8.125	8.1953125	8.1484375	8.1875	7.03515625	8.6171875	9.5625	6.9375
ABCC5	8.265625	8.53125	7.60546875	8.25	8.515625	8.1796875	8.671875	8.296875	8.484375	8.4375	7.80859375	7.89453125	8.296875	7.91015625	7.671875	8.21875	8.3671875	7.68359375
ABCC8	5.515625	5.697265625	5.287109375	5.1484375	5.173828125	5.564453125	5.591796875	5.685546875	5.46875	5.85546875	5.20703125	5.482421875	5.0625	5.2109375	5.435546875	6.0546875	5.6171875	5.525390625
ABCC9	3.9296875	4.458984375	3.9329427083333335	3.8196614583333335	3.873046875	4.272786458333333	4.928385416666667	3.984375	4.017578125	4.951822916666667	4.184895833333333	3.923828125	3.8444010416666665	4.020182291666667	4.140625	4.680989583333333	4.047526041666667	4.138020833333333
ABCD1	6.5703125	6.93359375	7.62890625	6.98828125	7.1328125	7.1171875	7.5234375	6.828125	7.04296875	7.40234375	7.203125	7.18359375	7.0703125	7.12890625	7.67578125	8.75	6.97265625	7.75390625
ABCD2	3.240234375	3.6953125	3.103515625	3.017578125	3.08203125	3.380859375	3.26171875	3.27734375	3.3359375	3.29296875	3.197265625	3.130859375	3.072265625	3.28125	3.18359375	3.271484375	3.14453125	3.359375
ABCD3	9.34375	8.6796875	9.484375	9.8125	9.734375	9.2890625	9.6875	9.4296875	9.09375	9.59375	9.71875	9.859375	9.796875	9.8359375	9.46875	8.703125	9.4609375	9.234375
ABCD4	6.779296875	7.341796875	6.873046875	6.806640625	6.69921875	6.8984375	6.58984375	6.92578125	6.755859375	6.732421875	6.89453125	6.853515625	6.595703125	6.76953125	6.6796875	6.919921875	6.98828125	6.9921875
ABCE1	9.921875	9.5546875	9.0625	9.3984375	9.33203125	9.93359375	9.359375	9.65625	9.57421875	9.2578125	9.04296875	9.22265625	9.29296875	9.1328125	9.01171875	8.017578125	9.66796875	9.05859375
ABCF1	10.53125	10.4609375	9.6015625	9.7578125	9.8046875	10.71875	10.09375	10.4765625	10.859375	10.078125	9.765625	9.953125	9.6328125	9.8125	9.6953125	9.9765625	10.5625	9.6875
ABCF2	7.20234375	7.36015625	7.03671875	6.9859375	7.06875	7.4546875	7.39375	7.28359375	7.546875	7.23046875	7.1625	7.209375	7.0296875	7.16171875	7.03671875	7.4484375	7.35234375	6.93828125
ABCF3	8.1875	8.59375	8.5078125	8.21875	8.4765625	8.671875	8.5234375	8.328125	8.515625	8.4765625	8.515625	8.53125	8.25	8.53125	8.546875	9.1796875	8.4296875	8.578125
ABCG1	5.0390625	4.869140625	6.447265625	5.947265625	5.96484375	5.1171875	4.2978515625	5.076171875	5.416015625	4.162109375	6.625	6.89453125	5.892578125	6.98046875	6.251953125	4.541015625	5.189453125	6.208984375
ABCG2	6.2890625	6.484375	5.08984375	6.609375	6.48046875	5.2109375	5.7265625	5.4296875	6.5234375	5.63671875	6.9296875	6.8984375	6.59765625	7.2890625	5.3984375	5.45703125	5.32421875	5.09765625
ABCG4	6.10546875	6.4921875	6.25390625	6.01953125	6.0234375	6.296875	6.02734375	6.06640625	6.375	5.95703125	6.421875	6.2421875	6.046875	6.26171875	6.38671875	6.49609375	6.21484375	5.9375
ABCG5	4.59375	4.80859375	4.3359375	4.8125	5.17578125	4.375	4.328125	4.671875	4.32421875	4.40234375	4.2890625	4.15625	5.08984375	3.888671875	4.34765625	4.296875	4.55078125	4.34375
ABHD10	8.9296875	9.2265625	9.3125	8.6875	8.875	9.6875	9.3203125	9.1484375	9.3046875	9.1171875	9.1328125	9.1875	8.765625	9.15625	9.390625	9.6640625	9.4453125	9.2109375
ABHD11	7.47265625	7.6484375	8.140625	7.58984375	7.640625	7.44140625	8.046875	7.73828125	7.5390625	7.87109375	7.8984375	8.1171875	7.58203125	7.984375	8.140625	8.671875	7.67578125	8.2734375
ABHD14A	8.078125	8.84375	8.3671875	7.72265625	7.765625	7.95703125	7.546875	7.97265625	8.5546875	7.5078125	8.4453125	8.3125	7.8046875	8.546875	8.4609375	8.2109375	8.0859375	8.140625
