gene_symbol	GSM338990	GSM338986	GSM338994	GSM338989	GSM338984	GSM338993	GSM338991	GSM338985	GSM338988	GSM338987	GSM338992	GSM338983
0610005C13Rik	2.796875	2.919921875	2.8828125	2.791015625	2.80859375	2.84765625	2.791015625	2.80078125	2.908203125	3.025390625	2.9609375	2.787109375
0610006L08Rik	2.255859375	2.3671875	2.31640625	2.255859375	2.296875	2.318359375	2.234375	2.283203125	2.3515625	2.513671875	2.3828125	2.271484375
0610007P14Rik	6.79296875	6.890625	6.34765625	7.0546875	6.55859375	6.7421875	6.7578125	6.4375	6.62109375	7.015625	6.6875	6.54296875
0610009B22Rik	9.4765625	9.921875	9.9765625	9.5078125	9.53125	10.0	9.5390625	9.4375	9.9296875	10.125	10.1484375	9.7890625
0610009L18Rik	6.96484375	6.765625	7.30078125	7.1171875	7.21484375	7.4140625	7.125	6.9296875	6.65234375	7.0078125	7.29296875	7.22265625
0610009O20Rik	5.99609375	6.603515625	6.162109375	6.228515625	6.044921875	6.3671875	6.162109375	6.048828125	6.3828125	6.5234375	6.4296875	6.171875
0610010F05Rik	8.048828125	8.46484375	8.28125	7.888671875	8.021484375	8.251953125	8.091796875	8.13671875	8.4765625	8.009765625	8.04296875	8.416015625
0610010K14Rik	8.40625	8.20703125	7.46484375	8.306640625	8.45703125	7.37109375	8.49609375	8.52734375	8.16015625	8.44140625	7.6640625	8.541015625
0610011F06Rik	8.1875	8.3671875	8.181640625	8.017578125	8.103515625	8.31640625	8.2265625	7.986328125	8.201171875	8.6328125	8.51171875	8.2421875
0610012G03Rik	7.869791666666667	8.701822916666666	8.3984375	7.8359375	7.770182291666667	8.396484375	7.875651041666667	7.740234375	8.735677083333334	8.83984375	8.410807291666666	7.95703125
0610025J13Rik	4.32421875	4.8359375	4.44921875	4.12890625	4.37890625	4.60546875	4.0859375	4.16015625	4.9921875	4.97265625	4.48046875	4.36328125
0610030E20Rik	7.501953125	6.73046875	7.4296875	7.416015625	7.58984375	7.310546875	7.326171875	7.490234375	6.794921875	7.140625	7.271484375	7.3984375
0610033M10Rik	4.0	4.203125	3.998046875	3.9765625	4.02734375	3.900390625	4.3125	4.01953125	4.0546875	4.359375	4.20703125	4.0
0610037L13Rik	6.840625	6.66875	6.25078125	6.6328125	6.8140625	6.4203125	6.74609375	6.6984375	6.6953125	6.51640625	6.440625	6.7390625
0610038B21Rik	2.05078125	2.111328125	2.166015625	2.06640625	2.08984375	2.107421875	2.06640625	2.06640625	2.115234375	2.44921875	2.10546875	2.033203125
0610039K10Rik	2.4765625	2.5703125	2.521484375	2.46484375	2.5	2.5234375	2.46484375	2.498046875	2.587890625	2.53515625	2.591796875	2.5
0610040A22Rik	2.162109375	2.224609375	2.201171875	2.142578125	2.189453125	2.232421875	2.146484375	2.111328125	2.234375	3.984375	2.23046875	2.158203125
0610040B10Rik	6.73828125	6.9921875	7.3828125	6.701171875	6.7421875	7.353515625	6.796875	6.798828125	6.97265625	7.12109375	7.111328125	6.65234375
0610040F04Rik	5.9609375	6.34765625	6.0703125	6.02734375	5.984375	6.0703125	5.94140625	5.97265625	6.1171875	6.28515625	6.13671875	6.0390625
0610040J01Rik	4.99609375	5.37109375	5.11328125	5.3671875	5.04296875	5.06640625	5.2109375	5.03125	5.22265625	5.0703125	5.3359375	4.8671875
0610042E11Rik	2.9619140625	3.640625	3.18359375	2.888671875	3.0390625	3.12109375	2.962890625	2.9580078125	3.30078125	3.0791015625	3.134765625	3.01953125
0710001A04Rik	2.314453125	2.400390625	2.345703125	2.21484375	2.330078125	2.37109375	2.41015625	2.25390625	2.62109375	2.3671875	2.359375	2.31640625
0710001D07Rik	5.1328125	5.296875	5.66796875	5.23046875	5.5078125	5.078125	5.19921875	5.19921875	5.62109375	5.54296875	5.24609375	5.4921875
1010001B22Rik	2.515625	2.5625	2.548828125	2.51171875	2.390625	2.541015625	2.5078125	2.525390625	2.55859375	2.541015625	2.552734375	2.5234375
1010001I08Rik	2.521484375	2.732421875	2.74609375	2.501953125	2.57421875	2.595703125	2.5390625	2.55859375	2.87109375	2.615234375	2.7890625	2.52734375
1110002L01Rik	5.48046875	5.5234375	5.52734375	5.91015625	5.125	5.53125	5.46875	5.46484375	6.2109375	6.07421875	5.6953125	5.70703125
1110003F02Rik	5.03125	5.2578125	5.2578125	4.8359375	5.40234375	5.3828125	5.15625	5.24609375	5.25390625	5.3515625	5.30078125	5.2421875
1110004E09Rik	5.21875	5.658203125	5.53759765625	5.34912109375	5.43408203125	5.4873046875	5.3583984375	5.3310546875	5.49609375	5.63134765625	5.55322265625	5.55517578125
1110004F10Rik	10.09375	10.15625	9.6171875	10.0390625	10.0390625	9.765625	10.046875	10.1796875	10.1484375	10.34375	10.015625	10.0234375
1110004M10Rik	4.1181640625	3.583984375	4.1591796875	4.0908203125	4.330078125	4.24609375	4.1728515625	4.34375	3.9873046875	3.7119140625	4.1875	4.1005859375
1110006E14Rik	2.76953125	2.900390625	2.84765625	2.97265625	2.8125	2.861328125	2.802734375	2.818359375	2.947265625	2.783203125	2.90625	2.763671875
1110006O24Rik	2.244140625	2.296875	2.28515625	2.234375	2.26171875	2.279296875	2.23828125	2.2578125	2.265625	2.2734375	2.30078125	2.251953125
1110008E08Rik	3.47265625	3.591796875	3.66015625	3.541015625	3.490234375	3.494140625	3.42578125	3.560546875	3.7109375	3.58203125	3.666015625	3.572265625
1110008F13Rik	7.65625	8.5625	8.66796875	7.849609375	7.7587890625	8.626953125	7.875	7.900390625	8.556640625	8.595703125	8.619140625	7.767578125
1110008L16Rik	5.46484375	5.6796875	6.046875	5.41015625	5.65234375	5.8671875	5.40625	5.609375	5.6875	5.921875	5.796875	5.515625
1110008P14Rik	8.79296875	9.6328125	8.372395833333334	8.91015625	7.82421875	9.154947916666666	8.947916666666666	7.928385416666667	9.462239583333334	9.809895833333334	9.162760416666666	8.71875
