gene_symbol	GSM1238917	GSM1238918	GSM1238920	GSM1238919	GSM1238921	GSM1238922
0610005C13Rik	8.703125	9.4296875	9.1328125	9.0859375	9.1875	9.1015625
0610006L08Rik	3.04296875	3.44140625	3.408203125	3.447265625	3.419921875	3.330078125
0610007P14Rik	10.7578125	10.8125	10.7578125	10.796875	10.765625	10.7890625
0610009B22Rik	10.390625	10.1953125	10.265625	10.4609375	10.3203125	10.1875
0610009L18Rik	5.29296875	5.25390625	5.109375	5.35546875	5.8125	5.56640625
0610009O20Rik	5.77734375	6.025390625	6.0078125	5.87109375	6.07421875	6.17578125
0610010F05Rik	6.826171875	6.599609375	6.796875	6.978515625	7.31640625	7.154296875
0610010K14Rik	7.525390625	7.2109375	7.416015625	7.505859375	6.9296875	7.388671875
0610011F06Rik	9.9765625	10.22265625	9.9375	10.109375	9.921875	9.90625
0610012G03Rik	8.662760416666666	8.6171875	8.544270833333334	8.6875	8.821614583333334	8.584635416666666
0610025J13Rik	4.3125	4.36328125	4.3046875	4.359375	4.2421875	4.3671875
0610030E20Rik	8.677734375	8.703125	8.80078125	8.736328125	8.5234375	8.7109375
0610033M10Rik	5.0	4.9609375	5.14453125	4.62890625	5.0	5.109375
0610037L13Rik	6.45625	6.623828125	6.553515625	6.534375	6.71328125	6.558203125
0610038B21Rik	4.05859375	4.29296875	4.14453125	4.2421875	4.3671875	4.234375
0610039K10Rik	4.17578125	3.9921875	3.958984375	3.927734375	4.2578125	4.0703125
0610040A22Rik	3.521484375	3.734375	3.8046875	3.8984375	3.78515625	3.73046875
0610040B10Rik	4.427734375	4.3046875	4.013671875	4.603515625	4.2763671875	4.203125
0610040F04Rik	5.3515625	5.39453125	5.0078125	5.296875	5.35546875	5.06640625
0610040J01Rik	8.6015625	8.515625	8.46875	8.625	9.140625	8.6953125
0610042E11Rik	3.552734375	3.669921875	3.4912109375	3.5283203125	3.5234375	3.583984375
0710001A04Rik	3.263671875	3.30078125	3.4296875	3.2734375	3.4375	3.083984375
0710001D07Rik	6.2734375	6.31640625	6.234375	5.98046875	5.7421875	6.4609375
1010001B22Rik	5.60546875	5.6015625	5.6015625	5.48828125	5.46484375	5.71875
1010001I08Rik	2.87109375	3.29296875	3.291015625	3.21875	3.12109375	3.181640625
1110002L01Rik	6.59765625	6.453125	6.73046875	6.4140625	6.640625	6.80859375
1110003F02Rik	4.81640625	5.24609375	5.26171875	4.921875	5.203125	5.2890625
1110004E09Rik	7.5048828125	7.55078125	7.3115234375	7.453125	7.3251953125	7.2607421875
1110004F10Rik	9.0	8.515625	8.8515625	9.0	8.59375	8.890625
1110004M10Rik	4.7275390625	4.5458984375	4.4951171875	4.2958984375	4.51953125	4.3876953125
1110006E14Rik	5.6015625	4.046875	3.8515625	4.80859375	3.712890625	3.6640625
1110006O24Rik	4.76171875	4.84765625	4.53515625	4.44140625	4.60546875	4.65234375
1110008E08Rik	4.95703125	5.0546875	5.078125	4.91015625	5.17578125	5.19921875
1110008F13Rik	7.8837890625	7.5771484375	7.712890625	7.9990234375	7.9638671875	7.755859375
1110008L16Rik	7.6953125	7.96484375	7.5625	7.921875	7.98046875	7.9765625
1110008P14Rik	9.247395833333334	9.104166666666666	8.958333333333334	9.221354166666666	8.446614583333334	8.9375
1110012L19Rik	7.49609375	7.33984375	7.84375	7.8203125	8.03125	7.97265625
1110014L15Rik	3.49609375	3.69921875	3.15625	3.517578125	3.552734375	3.3671875
1110015O18Rik	3.083984375	3.171875	3.0859375	3.1796875	3.111328125	2.96484375
1110017D15Rik	4.92578125	5.08984375	4.69921875	5.1484375	5.12109375	4.92578125
1110018N20Rik	3.890625	4.15234375	4.03125	4.26171875	4.18359375	4.09375
1110019B22Rik	4.0625	4.07421875	4.03515625	4.05078125	4.02734375	4.015625
1110019D14Rik	5.29296875	5.57421875	5.15234375	5.74609375	5.33984375	5.46875
1110020A21Rik	6.8515625	6.66015625	6.58203125	6.66796875	7.23828125	6.68359375
1110020C17Rik	4.98828125	5.1796875	4.890625	5.4375	4.94921875	4.8984375
1110028F11Rik	4.3310546875	4.341796875	4.224609375	4.328125	4.6259765625	4.1953125
1110028F18Rik	5.0078125	5.4765625	5.25	5.375	5.43359375	5.35546875
1110032A03Rik	6.919921875	6.6640625	6.892578125	6.701171875	7.263671875	6.775390625
1110032F04Rik	3.509765625	3.7724609375	3.517578125	3.52734375	3.6201171875	3.6005859375
1110034G24Rik	6.2734375	6.19140625	6.681640625	6.78125	7.111328125	6.79296875
1110035E04Rik	3.9375	4.27734375	4.2109375	4.2109375	4.2421875	4.109375
1110035H17Rik	3.322265625	3.37890625	3.357421875	3.60546875	3.654296875	3.583984375
