Sample_geo_accession	Condition	Group
GSM2936562	control	Mature α Cells vs. Mature β Cells
GSM2936566	control	Mature α Cells vs. Mature β Cells
GSM2936568	control	Mature α Cells vs. Mature β Cells
GSM2936569	control	Mature α Cells vs. Mature β Cells
GSM2936570	control	Mature α Cells vs. Mature β Cells
GSM2936571	control	Mature α Cells vs. Mature β Cells
GSM2936574	control	Mature α Cells vs. Mature β Cells
GSM2936575	control	Mature α Cells vs. Mature β Cells
GSM2936559	 Mature β cells	Mature α Cells vs. Mature β Cells
GSM2936561	 Mature β cells	Mature α Cells vs. Mature β Cells
GSM2936577	 Mature β cells	Mature α Cells vs. Mature β Cells
GSM2936578	 Mature β cells	Mature α Cells vs. Mature β Cells
GSM2936579	 Mature β cells	Mature α Cells vs. Mature β Cells
GSM2936580	 Mature β cells	Mature α Cells vs. Mature β Cells
GSM2936581	 Mature β cells	Mature α Cells vs. Mature β Cells
GSM2936553	 α Cells 30 Days after DT	Mature α Cells vs. Mature β Cells
GSM2936555	 α Cells 30 Days after DT	Mature α Cells vs. Mature β Cells
GSM2936556	 α Cells 30 Days after DT	Mature α Cells vs. Mature β Cells
GSM2936560	 α Cells 30 Days after DT	Mature α Cells vs. Mature β Cells
GSM2936565	 α Cells Ectopically Expressing PDX1	Mature α Cells vs. Mature β Cells
GSM2936567	 α Cells Ectopically Expressing PDX1	Mature α Cells vs. Mature β Cells
GSM2936572	 α Cells Ectopically Expressing PDX1	Mature α Cells vs. Mature β Cells
GSM2936573	 α Cells Ectopically Expressing PDX1	Mature α Cells vs. Mature β Cells
GSM2936576	 α Cells Ectopically Expressing PDX1	Mature α Cells vs. Mature β Cells
GSM2936552	 α Cells Expressing PDX1	Mature α Cells vs. Mature β Cells
GSM2936554	 α Cells Expressing PDX1	Mature α Cells vs. Mature β Cells
GSM2936557	 α Cells Expressing PDX1	Mature α Cells vs. Mature β Cells
GSM2936558	 α Cells Expressing PDX1	Mature α Cells vs. Mature β Cells
GSM2936563	 α Cells Expressing PDX1	Mature α Cells vs. Mature β Cells
GSM2936564	 α Cells Expressing PDX1	Mature α Cells vs. Mature β Cells
