Sample_geo_accession	Condition	Group
GSM4083516	lean control	skeletal muscle (vastus lateralis)
GSM4083517	lean control	skeletal muscle (vastus lateralis)
GSM4083518	lean control	skeletal muscle (vastus lateralis)
GSM4083519	lean control	skeletal muscle (vastus lateralis)
GSM4083520	lean control	skeletal muscle (vastus lateralis)
GSM4083521	lean control	skeletal muscle (vastus lateralis)
GSM4083522	RYGB + exercise training PRE SURGERY	skeletal muscle (vastus lateralis)
GSM4083524	RYGB + exercise training PRE SURGERY	skeletal muscle (vastus lateralis)
GSM4083526	RYGB + exercise training PRE SURGERY	skeletal muscle (vastus lateralis)
GSM4083528	RYGB + exercise training PRE SURGERY	skeletal muscle (vastus lateralis)
GSM4083530	RYGB + exercise training PRE SURGERY	skeletal muscle (vastus lateralis)
GSM4083532	RYGB + exercise training PRE SURGERY	skeletal muscle (vastus lateralis)
GSM4083523	RYGB + exercise training POST SURGERY	skeletal muscle (vastus lateralis)
GSM4083525	RYGB + exercise training POST SURGERY	skeletal muscle (vastus lateralis)
GSM4083527	RYGB + exercise training POST SURGERY	skeletal muscle (vastus lateralis)
GSM4083529	RYGB + exercise training POST SURGERY	skeletal muscle (vastus lateralis)
GSM4083531	RYGB + exercise training POST SURGERY	skeletal muscle (vastus lateralis)
GSM4083533	RYGB + exercise training POST SURGERY	skeletal muscle (vastus lateralis)
GSM4083534	RYGB PRE SURGERY	skeletal muscle (vastus lateralis)
GSM4083536	RYGB PRE SURGERY	skeletal muscle (vastus lateralis)
GSM4083538	RYGB PRE SURGERY	skeletal muscle (vastus lateralis)
GSM4083540	RYGB PRE SURGERY	skeletal muscle (vastus lateralis)
GSM4083542	RYGB PRE SURGERY	skeletal muscle (vastus lateralis)
GSM4083544	RYGB PRE SURGERY	skeletal muscle (vastus lateralis)
GSM4083535	RYGB POST SURGERY	skeletal muscle (vastus lateralis)
GSM4083537	RYGB POST SURGERY	skeletal muscle (vastus lateralis)
GSM4083539	RYGB POST SURGERY	skeletal muscle (vastus lateralis)
GSM4083541	RYGB POST SURGERY	skeletal muscle (vastus lateralis)
GSM4083543	RYGB POST SURGERY	skeletal muscle (vastus lateralis)
GSM4083545	RYGB POST SURGERY	skeletal muscle (vastus lateralis)
