Sample_geo_accession	Condition	Group
GSM1910653	Cre-T 	Pancreatic islets
GSM1910659	Cre-T 	Pancreatic islets
GSM1910660	Cre-T 	Pancreatic islets
GSM1910662	Cre-T 	Pancreatic islets
GSM1910663	Cre-T 	Pancreatic islets
GSM1910664	Cre-T 	Pancreatic islets
GSM1910665	Cre-T 	Pancreatic islets
GSM1910666	Cre-T 	Pancreatic islets
GSM1910667	Cre-T 	Pancreatic islets
GSM1910652	 Cre+T	Pancreatic islets
GSM1910654	 Cre+T	Pancreatic islets
GSM1910655	 Cre+T	Pancreatic islets
GSM1910656	 Cre+T	Pancreatic islets
GSM1910657	 Cre+T	Pancreatic islets
GSM1910658	 Cre+T	Pancreatic islets
GSM1910661	 Cre+T	Pancreatic islets
