gene_symbol	GSM309961	GSM309971	GSM309958	GSM309962	GSM309963	GSM309964	GSM309965	GSM309969	GSM309970	GSM309966	GSM309967	GSM309973	GSM309960	GSM309972	GSM309959	GSM309968
0610005C13Rik	70.8125	32.0	112.1875	20.09375	65.6875	127.375	80.375	22.296875	27.0	57.59375	69.5	35.5	29.703125	121.0	24.59375	85.625
0610006L08Rik	12.703125	11.796875	12.1015625	44.40625	6.80078125	13.703125	8.1015625	7.8984375	10.5	15.203125	5.19921875	19.5	18.59375	6.30078125	30.0	7.6015625
0610007P14Rik	395.0	528.5	528.5	444.25	391.75	229.5	473.0	555.0	519.0	580.5	645.0	440.0	583.0	450.75	463.0	501.5
0610009B22Rik	3500.0	3680.0	3928.0	3510.0	3942.0	3016.0	3866.0	3196.0	3404.0	3222.0	3728.0	3056.0	3976.0	3324.0	3828.0	3370.0
0610009L18Rik	708.5	835.0	613.0	699.0	733.0	582.0	600.5	722.0	766.5	708.0	836.0	717.5	743.5	661.0	608.0	709.0
0610009O20Rik	1122.5625	1247.6875	1072.375	1057.59375	928.9375	1181.8125	931.625	1363.4375	909.875	1076.875	1057.8125	1075.625	1029.4375	938.5625	1178.9375	1136.15625
0610010F05Rik	186.625	232.8125	187.25	200.375	137.5625	334.75	222.5625	160.8125	175.375	212.75	197.5625	258.9375	232.8125	230.25	225.8125	326.1875
0610010K14Rik	333.75	356.125	466.5	370.5	395.375	357.25	383.5	494.25	447.0	485.5	496.0	333.1875	516.625	408.875	485.75	436.625
0610011F06Rik	649.0	578.75	647.75	551.125	627.5	757.0	596.0	632.5	841.0	559.75	664.25	622.25	631.25	552.625	639.75	610.5
0610012G03Rik	4242.666666666667	4695.583333333333	4997.125	4675.666666666667	5669.75	4720.583333333333	4757.166666666667	5131.916666666667	4648.333333333333	4619.333333333333	6034.833333333333	3980.5	4739.916666666667	3773.7083333333335	4705.416666666667	4429.083333333333
0610025J13Rik	167.25	99.375	159.0	204.875	125.6875	324.5	101.0	132.625	55.3125	181.375	208.5	199.625	84.6875	134.75	166.125	245.125
0610030E20Rik	320.203125	321.8515625	311.8125	278.1015625	321.703125	252.6015625	230.421875	353.3515625	260.125	266.90625	271.80078125	269.046875	203.921875	305.8515625	318.1484375	336.44921875
0610033M10Rik	124.8125	40.8125	32.0	109.6875	179.125	236.0	24.203125	31.796875	22.203125	24.296875	138.5	164.75	113.625	88.375	91.375	78.375
0610037L13Rik	516.23125	573.93125	535.1203125	556.275	580.440625	563.56875	509.39375	601.80625	630.65	581.2875	632.8875	595.45	581.25	554.65	610.2	562.940625
0610038B21Rik	51.0	34.8125	97.5	144.5	115.875	104.1875	78.375	24.09375	141.25	73.375	138.75	114.1875	121.3125	21.203125	18.796875	77.875
0610039K10Rik	8.6015625	22.40625	81.125	23.796875	26.09375	8.0	24.90625	11.203125	8.1015625	12.703125	7.69921875	33.8125	6.80078125	18.40625	9.5	10.1015625
0610040A22Rik	125.875	99.875	183.25	34.6875	127.3125	91.625	132.25	141.0	80.8125	89.8125	169.5	108.6875	72.0	70.6875	107.875	45.8125
0610040B10Rik	161.921875	295.65625	260.0	224.0234375	217.75	264.796875	267.34375	316.8984375	295.75	199.974609375	353.75	253.625	206.099609375	238.75	219.421875	309.25
0610040F04Rik	173.125	189.875	321.25	128.375	109.625	603.0	208.625	137.25	184.375	103.875	41.09375	150.0	120.8125	123.8125	164.5	82.3125
0610040J01Rik	85.6875	175.625	204.25	93.5	227.25	65.6875	156.25	264.0	17.703125	84.375	181.25	128.75	225.5	101.375	229.25	53.09375
0610042E11Rik	62.25	27.650390625	81.46875	102.125	85.234375	136.0625	87.203125	63.734375	63.65625	78.140625	81.36328125	47.89453125	39.51171875	70.1875	30.70703125	48.890625
0710001A04Rik	14.796875	8.0	23.296875	11.5	19.0	10.703125	13.203125	12.703125	16.90625	16.703125	18.796875	25.0	8.703125	17.0	12.203125	15.203125
0710001D07Rik	250.875	230.875	199.125	332.25	193.125	250.625	173.0	199.625	244.5	298.5	198.125	184.875	191.125	256.25	213.5	259.75
1010001B22Rik	53.3125	120.8125	10.5	44.1875	59.3125	42.6875	14.3984375	109.3125	93.3125	70.875	32.0	27.59375	34.40625	30.90625	33.59375	36.3125
1010001I08Rik	4.19921875	34.0	51.59375	27.40625	4.30078125	37.5	13.5	28.90625	4.69921875	11.6015625	4.30078125	45.8125	4.19921875	3.30078125	11.8984375	7.30078125
1110002L01Rik	118.6875	106.125	74.125	70.5	98.375	116.6875	45.90625	24.09375	76.0	30.59375	87.0	36.6875	178.125	145.25	56.0	110.125
1110003F02Rik	40.90625	45.40625	53.90625	63.3125	34.59375	89.625	151.25	205.25	152.875	49.0	274.0	45.1875	151.25	43.09375	70.5	72.0
1110004E09Rik	348.0859375	219.708984375	280.875	285.53125	309.1484375	307.66796875	310.931640625	222.541015625	270.80859375	288.328125	207.453125	215.9765625	281.1171875	215.640625	264.1484375	209.5078125
1110004F10Rik	3032.0	2700.0	2848.0	2936.0	3122.0	3040.0	3054.0	2740.0	2988.0	3178.0	3138.0	2826.0	3030.0	2410.0	3058.0	3038.0
1110004M10Rik	46.40625	115.07421875	107.375	106.9140625	82.30078125	73.1640625	129.48828125	80.0	80.796875	103.90625	97.6484375	72.19921875	160.96875	99.11328125	55.90625	71.0546875
1110006E14Rik	111.5	93.1875	96.875	81.375	108.125	267.5	64.125	111.0	118.625	177.25	99.875	175.75	74.3125	83.3125	134.5	3.69921875
1110006O24Rik	22.59375	12.5	17.40625	25.0	4.5	34.5	19.59375	22.09375	23.796875	33.6875	19.203125	51.3125	16.40625	4.80078125	4.1015625	15.296875
1110008E08Rik	132.25	258.0	149.75	100.0	123.6875	33.59375	191.625	216.75	178.75	41.6875	54.1875	208.5	326.0	34.8125	138.125	38.90625
1110008F13Rik	4069.59375	4102.84375	4352.296875	3753.84375	3807.546875	3714.59375	4257.6015625	4169.0	4498.6015625	3979.15625	4076.4375	4072.4375	3550.90625	4175.0	4496.65625	3802.703125
1110008L16Rik	330.75	354.5	260.0	154.25	337.25	278.0	183.5	200.125	188.25	339.5	504.25	322.75	281.0	292.25	258.0	307.0
1110008P14Rik	969.1666666666666	1200.0833333333333	1226.2083333333333	1009.8333333333334	1043.3333333333333	1265.0	1236.2083333333333	976.1666666666666	1098.2916666666667	882.6666666666666	1072.5	1164.9583333333333	1031.4166666666667	1129.0833333333333	1222.9166666666667	992.8333333333334
1110012L19Rik	905.0	923.0	1086.0	1022.0	1128.0	1193.0	900.0	1226.0	1104.0	1129.0	1250.0	874.0	1160.0	865.0	1052.0	1169.0
1110014L15Rik	55.90625	46.3125	38.8125	59.5	21.796875	37.09375	28.59375	35.3125	40.0	20.0	21.296875	49.59375	7.80078125	33.90625	47.09375	49.90625
1110015O18Rik	28.09375	15.5	5.1015625	4.0	3.099609375	2.5	2.19921875	1.599609375	3.400390625	11.6015625	29.703125	5.3984375	1.7001953125	1.5	17.703125	28.203125
1110017D15Rik	9.5	18.09375	26.59375	19.203125	78.0	28.90625	26.09375	13.0	8.6015625	14.6015625	8.203125	10.6015625	29.09375	10.5	23.0	12.3984375
1110018N20Rik	142.125	86.8125	158.125	174.875	73.6875	141.75	172.125	99.0	174.5	168.5	119.3125	162.375	57.6875	165.75	123.625	161.25
1110019B22Rik	33.90625	48.6875	135.625	85.625	151.625	239.875	45.1875	136.75	37.5	18.5	49.90625	131.375	126.0	48.5	87.3125	99.1875
1110019D14Rik	226.25	235.75	92.6875	172.25	205.25	327.0	130.75	122.1875	319.5	160.625	295.25	153.5	223.75	178.375	194.75	155.75
1110020A21Rik	284.5	206.75	45.90625	217.75	38.40625	74.125	41.90625	270.25	142.625	187.375	222.0	92.875	223.25	224.875	161.0	255.25
1110020C17Rik	10.3984375	48.6875	6.8984375	19.0	12.5	33.5	14.203125	50.40625	25.5	39.40625	34.59375	5.8984375	7.69921875	15.8984375	17.09375	9.0
1110028F11Rik	53.25	7.951171875	61.59375	12.75	19.4453125	84.3125	35.3046875	59.84375	76.25	23.34765625	62.8515625	67.2578125	74.625	31.052734375	71.2109375	115.28125
1110028F18Rik	28.90625	21.40625	40.90625	151.75	38.59375	59.09375	55.40625	31.59375	25.296875	12.5	27.203125	32.59375	125.3125	24.203125	29.59375	39.59375
1110032A03Rik	441.84375	437.1015625	497.25	387.1015625	580.75	470.953125	425.44921875	398.59375	318.1015625	423.8984375	516.5	358.5	528.046875	401.0	489.0625	497.75
1110032F04Rik	43.693359375	12.1484375	33.203125	29.8984375	58.09375	82.42578125	42.73828125	72.890625	36.3515625	35.90625	54.546875	46.712890625	12.0	25.14453125	49.296875	68.53125
1110034G24Rik	1625.5	1093.0	1684.0	1666.5	1847.0	1565.0	1411.0	2836.0	1461.0	2135.0	1701.5	1114.0	1404.5	956.5	2001.5	1131.0
1110035E04Rik	180.75	108.875	128.0	188.375	203.375	179.25	206.25	106.0	140.875	317.25	183.0	160.75	76.0	130.5	121.875	156.75
1110035H17Rik	88.6875	16.09375	54.8125	8.8984375	21.796875	48.90625	170.625	117.5	96.125	28.703125	12.703125	72.875	4.80078125	38.0	105.0	23.5
1110037F02Rik	311.25	264.5625	286.625	314.625	304.875	277.25	284.0625	312.0	222.8125	266.625	261.9375	249.375	313.5625	324.5	245.5625	247.5
1110038B12Rik	144.5	281.25	326.5	180.25	307.5	220.875	231.125	398.5	404.75	299.0	373.5	283.5	191.5	341.25	295.75	309.25
1110038F14Rik	543.5	563.0	522.5	643.5	467.0	439.5	576.0	702.0	589.5	549.5	656.0	566.0	493.25	777.5	555.5	529.0
1110046J04Rik	59.09375	103.0	50.09375	95.625	17.796875	73.875	16.0	129.5	76.125	16.40625	81.625	98.0	82.125	66.3125	69.625	120.3125
1110050P16Rik	149.625	78.1875	98.625	149.625	206.25	183.375	122.8125	151.75	109.875	200.0	145.75	186.625	161.5	62.6875	108.125	154.5
1110051M20Rik	449.5	418.5	503.5	440.25	394.5	457.5	444.25	492.5	575.5	517.0	411.5	391.5	377.0	280.5	478.75	487.0
1110059E24Rik	1024.0	932.5	1110.0	956.0	893.5	610.5	888.5	914.0	1399.0	1056.0	987.0	923.5	1150.0	1108.0	1161.0	1060.0
1110059G02Rik	56.55078125	72.953125	52.1748046875	44.296875	58.49609375	78.1015625	91.53125	56.669921875	73.890625	50.0546875	83.3984375	46.16796875	52.40234375	32.248046875	55.15234375	27.328125
1110059G10Rik	3156.0	2380.0	2054.0	2284.0	2454.0	1881.0	2290.0	2396.0	2290.0	2460.0	2292.0	2480.0	2406.0	2724.0	2684.0	2026.0
1110064A23Rik	27.296875	47.90625	86.6875	15.8984375	42.8125	18.09375	19.703125	67.625	105.6875	39.59375	99.5	119.875	78.1875	136.75	47.1875	95.6875
1110065P20Rik	751.5	651.0	652.5	774.5	703.5	613.5	582.5	831.0	665.5	705.0	681.5	585.0	607.0	564.5	631.5	700.0
1190002N15Rik	662.1666666666666	1220.3958333333333	681.734375	792.1979166666666	892.7916666666666	728.5625	742.875	728.6979166666666	787.2083333333334	798.96875	725.4166666666666	955.2708333333334	784.8645833333334	1152.75	692.2083333333334	731.7291666666666
1190003K10Rik	17.40625	5.3984375	3.599609375	37.8125	90.1875	11.296875	40.3125	7.8984375	8.3984375	22.40625	28.296875	5.3984375	15.296875	4.6015625	40.90625	5.8984375
1190005I06Rik	14.796875	7.69921875	142.125	45.3125	153.0	295.0	131.125	49.90625	46.6875	89.125	137.375	86.8125	118.625	112.3125	103.625	48.6875
1190007I07Rik	5420.0	4964.0	6172.0	6232.0	4960.0	5596.0	5824.0	5000.0	5480.0	5624.0	5672.0	5476.0	4424.0	4404.0	5336.0	5904.0
1200003I10Rik	18.90625	49.0	19.59375	6.6015625	22.296875	49.8125	23.203125	14.3984375	4.8984375	11.296875	20.5	6.5	3.400390625	6.8984375	13.3984375	17.296875
1200007C13Rik	30.40625	26.90625	23.203125	26.703125	19.09375	31.5	73.8125	65.875	110.375	74.5	111.625	54.1875	187.875	32.40625	35.3125	63.1875
1300002E11Rik	208.125	137.125	175.75	196.25	183.25	210.0	197.5	202.75	177.25	99.625	243.75	211.5	203.25	162.25	135.25	169.0
1300014J16Rik	40.6875	2.099609375	55.1875	63.3125	5.80078125	124.5	5.6015625	8.203125	24.59375	117.625	38.90625	8.1015625	2.900390625	9.0	41.1875	17.09375
1300017J02Rik	122.6875	84.8125	50.90625	124.625	114.375	130.375	133.625	86.5	153.375	63.59375	151.625	95.8125	156.25	118.125	64.125	66.375
130004C03	222.75	179.875	69.6875	93.1875	182.375	167.0	129.75	280.5	126.1875	90.1875	192.875	27.296875	115.5	157.125	222.75	207.125
1500002C15Rik	22.59375	91.5	14.8984375	27.09375	95.3125	156.0	32.0	14.1015625	34.1875	258.5	16.40625	10.8984375	22.203125	10.3984375	27.5	167.75
1500002F19Rik	78.953125	64.734375	21.8984375	43.0546875	58.51171875	78.0	11.0	68.609375	38.25	62.484375	41.63671875	54.140625	38.5	65.734375	33.140625	52.25
1500002I01Rik	2.69921875	5.30078125	4.80078125	65.625	9.203125	22.203125	51.90625	16.5	6.5	68.1875	33.40625	7.5	72.375	5.69921875	33.8125	7.0
1500002K03Rik	119.8125	116.3125	47.6875	101.125	65.5	159.25	8.5	108.6875	119.8125	106.625	79.875	63.1875	29.296875	77.5	174.625	117.0
1500004A13Rik	40.239583333333336	30.833333333333332	57.260416666666664	53.0703125	65.29166666666667	59.8046875	58.608072916666664	37.927083333333336	39.635416666666664	68.59114583333333	46.307291666666664	51.46875	22.895833333333332	49.171875	29.393229166666668	85.9375
1500004F05Rik	158.5	125.125	214.375	122.625	128.875	418.75	197.5	237.25	156.75	76.5	183.25	173.375	109.6875	141.25	215.25	154.0
1500005C15Rik	109.78125	103.40625	150.44921875	117.875	121.78125	160.8515625	99.109375	72.609375	42.203125	19.5	108.125	139.421875	29.556640625	77.703125	118.75	98.78125
1500009C09Rik	9.203125	3.80078125	11.796875	24.0	5.30078125	115.3125	70.5	10.6015625	8.703125	7.0	14.0	10.1015625	95.8125	8.6015625	9.1015625	13.203125
1500009L16Rik	51.150390625	238.90625	96.5	180.84375	164.099609375	119.69921875	127.087890625	82.0	221.1484375	119.150390625	124.712890625	292.546875	96.23828125	136.19921875	67.86328125	73.01171875
1500011B03Rik	98.84375	143.75	133.46875	176.6875	102.65625	160.625	156.4375	125.125	138.4375	90.90625	72.9609375	127.375	78.3125	109.578125	88.75	163.3125
1500011K16Rik	2488.0	3010.0	3058.0	2728.0	2850.0	2964.0	2860.0	2536.0	3158.0	2786.0	3458.0	2546.0	3054.0	2482.0	2974.0	2480.0
1500015A07Rik	153.0	178.75	128.75	139.625	150.625	229.125	191.5	182.875	86.125	147.5	140.5	152.75	164.875	157.0	233.625	213.75
1500015O10Rik	68.15755208333333	228.58333333333334	154.75	32.3046875	44.390625	80.09895833333333	69.55989583333333	128.26041666666666	169.91666666666666	135.75	103.75	96.578125	107.72916666666667	118.08333333333333	71.72395833333333	88.63541666666667
1500017E21Rik	150.875	96.875	58.0	112.375	7.8984375	118.1875	81.6875	59.90625	106.0	70.1875	57.0	119.5	73.0	69.375	111.125	12.8984375
1500032P08Rik	291.25	155.5	141.625	239.75	225.5	253.75	214.625	211.75	298.25	168.25	258.75	152.75	312.75	296.25	193.375	119.375
1500035N22Rik	171.125	113.375	18.703125	70.875	113.375	15.796875	118.625	56.0	152.5	247.25	105.125	133.875	98.625	49.09375	178.375	45.90625
1520401O13Rik	30.3515625	39.40625	34.796875	49.890625	56.296875	71.140625	20.599609375	26.60546875	49.046875	33.6015625	17.84765625	37.59375	40.4453125	16.30078125	61.26171875	17.001953125
1600002H07Rik	82.875	69.5	100.0	94.0	115.8125	164.25	61.0	67.1875	126.125	35.90625	28.796875	68.3125	39.90625	47.5	161.375	58.1875
1600002K03Rik	252.625	294.5	209.875	311.0	144.625	118.0	129.25	243.125	96.625	134.25	193.0	250.375	270.75	333.0	289.5	260.5
1600010M07Rik	392.0	210.25	313.75	371.25	275.75	615.5	401.5	285.0	353.25	372.0	158.25	311.0	345.0	264.0	351.25	266.75
1600012H06Rik	516.125	576.25	563.375	487.0	535.125	550.5	415.125	499.75	633.25	468.125	479.0	645.875	515.25	614.25	491.875	665.25
1600012P17Rik	190.75	90.5	215.5	144.75	111.8125	199.5	239.25	108.8125	195.375	290.0	216.375	192.875	107.5	88.3125	126.1875	103.125
