Sample_geo_accession	Condition	Group
GSM4771046	plaPRT	Vastus lateralis muscle
GSM4771047	plaPRT	Vastus lateralis muscle
GSM4771048	plaPRT	Vastus lateralis muscle
GSM4771049	plaPRT	Vastus lateralis muscle
GSM4771050	plaPRT	Vastus lateralis muscle
GSM4771051	plaPRT	Vastus lateralis muscle
GSM4771052	plaPRT	Vastus lateralis muscle
GSM4771055	plaPRT	Vastus lateralis muscle
GSM4771056	plaPRT	Vastus lateralis muscle
GSM4771057	plaPRT	Vastus lateralis muscle
GSM4771062	plaPRT	Vastus lateralis muscle
GSM4771063	plaPRT	Vastus lateralis muscle
GSM4771064	plaPRT	Vastus lateralis muscle
GSM4771065	plaPRT	Vastus lateralis muscle
GSM4771066	plaPRT	Vastus lateralis muscle
GSM4771067	plaPRT	Vastus lateralis muscle
GSM4771068	plaPRT	Vastus lateralis muscle
GSM4771073	plaPRT	Vastus lateralis muscle
GSM4771074	plaPRT	Vastus lateralis muscle
GSM4771075	plaPRT	Vastus lateralis muscle
GSM4771078	plaPRT	Vastus lateralis muscle
GSM4771079	plaPRT	Vastus lateralis muscle
GSM4771080	plaPRT	Vastus lateralis muscle
GSM4771081	plaPRT	Vastus lateralis muscle
GSM4771084	plaPRT	Vastus lateralis muscle
GSM4771087	plaPRT	Vastus lateralis muscle
GSM4771091	plaPRT	Vastus lateralis muscle
GSM4771092	plaPRT	Vastus lateralis muscle
GSM4771093	plaPRT	Vastus lateralis muscle
GSM4771094	plaPRT	Vastus lateralis muscle
GSM4771095	plaPRT	Vastus lateralis muscle
GSM4771096	plaPRT	Vastus lateralis muscle
GSM4771097	plaPRT	Vastus lateralis muscle
GSM4771098	plaPRT	Vastus lateralis muscle
GSM4771101	plaPRT	Vastus lateralis muscle
GSM4771106	plaPRT	Vastus lateralis muscle
GSM4771107	plaPRT	Vastus lateralis muscle
GSM4771110	plaPRT	Vastus lateralis muscle
GSM4771111	plaPRT	Vastus lateralis muscle
GSM4771112	plaPRT	Vastus lateralis muscle
GSM4771113	plaPRT	Vastus lateralis muscle
GSM4771114	plaPRT	Vastus lateralis muscle
GSM4771117	plaPRT	Vastus lateralis muscle
GSM4771121	plaPRT	Vastus lateralis muscle
GSM4771122	plaPRT	Vastus lateralis muscle
GSM4771123	plaPRT	Vastus lateralis muscle
GSM4771124	plaPRT	Vastus lateralis muscle
GSM4771125	plaPRT	Vastus lateralis muscle
GSM4771133	plaPRT	Vastus lateralis muscle
GSM4771138	plaPRT	Vastus lateralis muscle
GSM4771139	plaPRT	Vastus lateralis muscle
GSM4771140	plaPRT	Vastus lateralis muscle
GSM4771141	plaPRT	Vastus lateralis muscle
GSM4771142	plaPRT	Vastus lateralis muscle
GSM4771143	plaPRT	Vastus lateralis muscle
GSM4771146	plaPRT	Vastus lateralis muscle
GSM4771147	plaPRT	Vastus lateralis muscle
GSM4771152	plaPRT	Vastus lateralis muscle
GSM4771153	plaPRT	Vastus lateralis muscle
GSM4771154	plaPRT	Vastus lateralis muscle
GSM4771155	plaPRT	Vastus lateralis muscle
GSM4771156	plaPRT	Vastus lateralis muscle
GSM4771157	plaPRT	Vastus lateralis muscle
GSM4771053	metPRT	Vastus lateralis muscle
GSM4771054	metPRT	Vastus lateralis muscle
GSM4771058	metPRT	Vastus lateralis muscle
GSM4771059	metPRT	Vastus lateralis muscle
GSM4771060	metPRT	Vastus lateralis muscle
GSM4771061	metPRT	Vastus lateralis muscle
GSM4771069	metPRT	Vastus lateralis muscle
GSM4771070	metPRT	Vastus lateralis muscle
GSM4771071	metPRT	Vastus lateralis muscle
GSM4771072	metPRT	Vastus lateralis muscle
GSM4771076	metPRT	Vastus lateralis muscle
GSM4771077	metPRT	Vastus lateralis muscle
GSM4771082	metPRT	Vastus lateralis muscle
GSM4771083	metPRT	Vastus lateralis muscle
GSM4771085	metPRT	Vastus lateralis muscle
GSM4771086	metPRT	Vastus lateralis muscle
GSM4771088	metPRT	Vastus lateralis muscle
GSM4771089	metPRT	Vastus lateralis muscle
GSM4771090	metPRT	Vastus lateralis muscle
GSM4771099	metPRT	Vastus lateralis muscle
GSM4771100	metPRT	Vastus lateralis muscle
GSM4771102	metPRT	Vastus lateralis muscle
GSM4771103	metPRT	Vastus lateralis muscle
GSM4771104	metPRT	Vastus lateralis muscle
GSM4771105	metPRT	Vastus lateralis muscle
GSM4771108	metPRT	Vastus lateralis muscle
GSM4771109	metPRT	Vastus lateralis muscle
GSM4771115	metPRT	Vastus lateralis muscle
GSM4771116	metPRT	Vastus lateralis muscle
GSM4771118	metPRT	Vastus lateralis muscle
GSM4771119	metPRT	Vastus lateralis muscle
GSM4771120	metPRT	Vastus lateralis muscle
GSM4771126	metPRT	Vastus lateralis muscle
GSM4771127	metPRT	Vastus lateralis muscle
GSM4771128	metPRT	Vastus lateralis muscle
GSM4771129	metPRT	Vastus lateralis muscle
GSM4771130	metPRT	Vastus lateralis muscle
GSM4771131	metPRT	Vastus lateralis muscle
GSM4771132	metPRT	Vastus lateralis muscle
GSM4771134	metPRT	Vastus lateralis muscle
GSM4771135	metPRT	Vastus lateralis muscle
GSM4771136	metPRT	Vastus lateralis muscle
GSM4771137	metPRT	Vastus lateralis muscle
GSM4771144	metPRT	Vastus lateralis muscle
GSM4771145	metPRT	Vastus lateralis muscle
GSM4771148	metPRT	Vastus lateralis muscle
GSM4771149	metPRT	Vastus lateralis muscle
GSM4771150	metPRT	Vastus lateralis muscle
GSM4771151	metPRT	Vastus lateralis muscle
GSM4771158	metPRT	Vastus lateralis muscle
GSM4771159	metPRT	Vastus lateralis muscle
GSM4771160	metPRT	Vastus lateralis muscle
GSM4771161	Young	Vastus lateralis muscle
GSM4771162	Young	Vastus lateralis muscle
GSM4771163	Young	Vastus lateralis muscle
GSM4771164	Young	Vastus lateralis muscle
GSM4771165	Young	Vastus lateralis muscle
GSM4771166	Young	Vastus lateralis muscle
GSM4771167	Young	Vastus lateralis muscle
GSM4771168	Young	Vastus lateralis muscle
GSM4771169	Young	Vastus lateralis muscle
GSM4771170	Young	Vastus lateralis muscle
GSM4771171	Young	Vastus lateralis muscle
GSM4771172	Young	Vastus lateralis muscle
GSM4771173	Young	Vastus lateralis muscle
GSM4771174	Young	Vastus lateralis muscle
GSM4771175	Young	Vastus lateralis muscle
GSM4771176	Young	Vastus lateralis muscle
GSM4771177	Young	Vastus lateralis muscle
GSM4771178	Young	Vastus lateralis muscle
GSM4771179	Young	Vastus lateralis muscle
GSM4771180	Young	Vastus lateralis muscle
GSM4771181	Young	Vastus lateralis muscle
