Sample_geo_accession	Condition	Group
GSM4952876	Control Diet 	Cardiac tissue
GSM4952877	Control Diet 	Cardiac tissue
GSM4952878	Control Diet 	Cardiac tissue
GSM4952879	Control Diet 	Cardiac tissue
GSM4952880	Control Diet 	Cardiac tissue
GSM4952881	Control Diet 	Cardiac tissue
GSM4952882	Control Diet 	Cardiac tissue
GSM4952883	Control Diet 	Cardiac tissue
GSM4952884	Control Diet 	Cardiac tissue
GSM4952885	Control Diet 	Cardiac tissue
GSM4952886	 Iron-Deficient Diet	Cardiac tissue
GSM4952887	 Iron-Deficient Diet	Cardiac tissue
GSM4952888	 Iron-Deficient Diet	Cardiac tissue
GSM4952889	 Iron-Deficient Diet	Cardiac tissue
GSM4952890	 Iron-Deficient Diet	Cardiac tissue
GSM4952891	 Iron-Deficient Diet	Cardiac tissue
GSM4952892	 Iron-Deficient Diet	Cardiac tissue
GSM4952893	 Iron-Deficient Diet	Cardiac tissue
GSM4952894	 Iron-Deficient Diet	Cardiac tissue
GSM4952895	 Iron-Deficient Diet	Cardiac tissue
