Sample_geo_accession	Condition	Group
GSM3595776	 240 minutes post-sprint exercise	Male subjects
GSM3595777	 240 minutes post-sprint exercise	Male subjects
GSM3595778	 240 minutes post-sprint exercise	Male subjects
GSM3595779	 240 minutes post-sprint exercise	Male subjects
GSM3595780	 240 minutes post-sprint exercise	Male subjects
GSM3595781	 240 minutes post-sprint exercise	Male subjects
GSM3595782	 240 minutes post-sprint exercise	Male subjects
GSM3595762	Control 	Male subjects
GSM3595763	Control 	Male subjects
GSM3595764	Control 	Male subjects
GSM3595765	Control 	Male subjects
GSM3595766	Control 	Male subjects
GSM3595767	Control 	Male subjects
GSM3595768	Control 	Male subjects
GSM3595783	 240 minutes post-sprint exercise	Female subjects
GSM3595784	 240 minutes post-sprint exercise	Female subjects
GSM3595785	 240 minutes post-sprint exercise	Female subjects
GSM3595786	 240 minutes post-sprint exercise	Female subjects
GSM3595787	 240 minutes post-sprint exercise	Female subjects
GSM3595788	 240 minutes post-sprint exercise	Female subjects
GSM3595789	 240 minutes post-sprint exercise	Female subjects
GSM3595769	Control 	Female subjects
GSM3595770	Control 	Female subjects
GSM3595771	Control 	Female subjects
GSM3595772	Control 	Female subjects
GSM3595773	Control 	Female subjects
GSM3595774	Control 	Female subjects
GSM3595775	Control 	Female subjects
