	GSM4795609	GSM4795610	GSM4795611	GSM4795612	GSM4795613	GSM4795614
ACAA1	795	495	725	597	464	574
ACAA2	1943	1475	1697	1506	1303	1626
ACAA2P1	2	1	0	3	1	1
ACACA	3583	2221	3082	3031	2245	2822
ACACB	323	285	315	313	249	278
ACAD10	427	255	342	251	212	274
ACAD11	642	362	562	423	319	434
ACAD8	404	214	357	316	242	295
ACAD9	2081	1453	2058	1649	1358	1682
ACAD9-DT	33	14	31	18	12	26
ACADL	4	6	2	3	6	1
ACADM	1533	1033	1323	1121	1177	1262
ACADS	273	186	266	193	169	233
ACADSB	663	464	610	449	475	496
ACADVL	7297	4589	6415	5183	4484	5432
ACAN	5	3	0	0	1	3
ACAP1	38	14	12	24	18	18
ACAP2	3131	2191	2937	2134	2062	2299
ACAP2-IT1	20	18	14	9	17	17
ACAP3	475	293	427	310	222	361
ACAT1	1431	891	1169	997	961	998
ACAT2	2779	1706	2555	2172	1969	2344
ACBD3	2542	1695	2143	1777	1663	1919
ACBD3-AS1	7	0	5	4	6	2
ACBD4	115	64	119	68	57	63
ACBD5	1041	722	868	739	732	765
ACBD6	1677	1100	1520	1089	998	1202
ACBD7	140	91	100	103	108	130
ACCS	60	59	68	61	49	65
ACCSL	0	1	0	0	0	1
ACD	773	520	727	613	459	620
ACE	32	44	31	37	24	14
ACE2	22	29	46	22	21	21
ACE3P	0	0	0	0	0	0
ACER1	0	0	0	0	3	0
ACER2	31	40	41	37	42	19
ACER2P1	0	0	0	0	0	0
ACER3	762	518	685	563	540	663
ACHE	76	50	71	49	34	46
ACIN1	8988	5422	7516	6113	5474	6073
ACKR1	0	0	0	0	0	0
ACKR2	6	4	4	2	6	0
ACKR3	4	0	0	2	5	3
ACKR4	17	8	21	6	4	12
ACKR4P1	0	0	0	0	0	0
ACLY	18551	11566	15801	14129	11615	13916
ACMSD	12	15	17	16	14	18
ACNATP	0	0	0	0	0	0
ACO1	4357	3088	3927	2836	2781	3148
ACO2	3025	1968	2579	2153	1795	2208
ACOD1	0	0	0	1	0	0
ACOT1	54	40	79	48	45	32
ACOT11	103	71	98	78	61	84
ACOT12	0	0	0	1	0	0
ACOT13	597	468	538	502	402	558
ACOT2	475	328	466	414	314	377
