Sample_geo_accession	Condition	Group
GSM3633169	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633170	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633171	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633172	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633173	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633174	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633175	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633176	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633161	Wildtype 	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633162	Wildtype 	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633163	Wildtype 	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633164	Wildtype 	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633165	Wildtype 	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633166	Wildtype 	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633167	Wildtype 	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633168	Wildtype 	Male C57BL/6J mice; Control Diet; 20 deg C
GSM3633185	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633186	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633187	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633188	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633189	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633190	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633191	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633192	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633177	Wildtype 	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633178	Wildtype 	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633179	Wildtype 	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633180	Wildtype 	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633181	Wildtype 	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633182	Wildtype 	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633183	Wildtype 	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633184	Wildtype 	Male C57BL/6J mice; Control Diet; 30 deg C
GSM3633201	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633202	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633203	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633204	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633205	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633206	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633207	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633208	 UCP1(-/-) (Ucp1-Knockout)	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633193	Wildtype 	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633194	Wildtype 	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633195	Wildtype 	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633196	Wildtype 	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633197	Wildtype 	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633198	Wildtype 	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633199	Wildtype 	Male C57BL/6J mice; High-Fat Diet; 30 deg C
GSM3633200	Wildtype 	Male C57BL/6J mice; High-Fat Diet; 30 deg C
