Sample_geo_accession	Condition	Group
GSM4799153	 pre ketogenic diet	blood
GSM4799154	 post ketogenic diet	blood
GSM4799155	 pre ketogenic diet	blood
GSM4799156	 post ketogenic diet	blood
GSM4799157	 pre ketogenic diet	blood
GSM4799158	 post ketogenic diet	blood
GSM4799159	 pre ketogenic diet	blood
GSM4799160	 post ketogenic diet	blood
GSM4799161	 pre ketogenic diet	blood
GSM4799162	 post ketogenic diet	blood
GSM4799163	 pre ketogenic diet	blood
GSM4799164	 post ketogenic diet	blood
GSM4799165	 pre ketogenic diet	blood
GSM4799166	 post ketogenic diet	blood
GSM4799167	 pre ketogenic diet	blood
GSM4799168	 post ketogenic diet	blood
GSM4799169	 pre ketogenic diet	blood
GSM4799170	 post ketogenic diet	blood
GSM4799171	 pre ketogenic diet	blood
GSM4799172	 post ketogenic diet	blood
GSM4799173	 pre ketogenic diet	blood
GSM4799174	 post ketogenic diet	blood
GSM4799175	 pre ketogenic diet	blood
GSM4799176	 post ketogenic diet	blood
GSM4799177	 pre ketogenic diet	blood
GSM4799178	 post ketogenic diet	blood
GSM4799179	 pre ketogenic diet	blood
GSM4799180	 post ketogenic diet	blood
GSM4799181	 pre ketogenic diet	blood
GSM4799182	 post ketogenic diet	blood
GSM4799183	 pre ketogenic diet	blood
GSM4799184	 post ketogenic diet	blood
GSM4799185	 pre ketogenic diet	blood
GSM4799186	 post ketogenic diet	blood
GSM4799187	 pre ketogenic diet	blood
GSM4799188	 post ketogenic diet	blood
GSM4799189	 pre ketogenic diet	blood
GSM4799190	 post ketogenic diet	blood
GSM4799191	 pre ketogenic diet	blood
GSM4799192	 post ketogenic diet	blood
GSM4799193	 pre ketogenic diet	blood
GSM4799194	 post ketogenic diet	blood
GSM4799195	 pre ketogenic diet	blood
GSM4799196	 post ketogenic diet	blood
GSM4799197	 pre ketogenic diet	blood
GSM4799198	 post ketogenic diet	blood
GSM4799199	 pre ketogenic diet	blood
GSM4799200	 post ketogenic diet	blood
GSM4799201	 pre ketogenic diet	blood
GSM4799202	 post ketogenic diet	blood
GSM4799203	 pre ketogenic diet	blood
GSM4799204	 post ketogenic diet	blood
GSM4799205	 pre ketogenic diet	blood
GSM4799206	 post ketogenic diet	blood
GSM4799207	 pre ketogenic diet	blood
GSM4799208	 post ketogenic diet	blood
