Sample_geo_accession	Condition	Group
GSM4103429	right atrium No Atrial Fibrillation	Heart
GSM4103433	right atrium No Atrial Fibrillation	Heart
GSM4103434	right atrium No Atrial Fibrillation	Heart
GSM4103435	right atrium No Atrial Fibrillation	Heart
GSM4103430	left atrium No Atrial Fibrillation	Heart
GSM4103437	left atrium No Atrial Fibrillation	Heart
GSM4103438	left atrium No Atrial Fibrillation	Heart
GSM4103439	left atrium No Atrial Fibrillation	Heart
GSM4103440	left atrium No Atrial Fibrillation	Heart
GSM4103431	left ventricle No Atrial Fibrillation	Heart
GSM4103432	left ventricle No Atrial Fibrillation	Heart
GSM4103446	left ventricle No Atrial Fibrillation	Heart
GSM4103447	left ventricle No Atrial Fibrillation	Heart
GSM4103448	left ventricle No Atrial Fibrillation	Heart
GSM4103449	left ventricle No Atrial Fibrillation	Heart
GSM4103450	left ventricle No Atrial Fibrillation	Heart
GSM4103451	left ventricle No Atrial Fibrillation	Heart
GSM4103436	right ventricle No Atrial Fibrillation	Heart
GSM4103441	left atrium Atrial Fibrillation	Heart
GSM4103442	left atrium Atrial Fibrillation	Heart
GSM4103443	left atrium Atrial Fibrillation	Heart
GSM4103444	left atrium Atrial Fibrillation	Heart
GSM4103445	left atrium Atrial Fibrillation	Heart
GSM4103452	right atrium Atrial Fibrillation	Heart
GSM4103453	right atrium Atrial Fibrillation	Heart
GSM4103454	right atrium Atrial Fibrillation	Heart
GSM4103455	right atrium Atrial Fibrillation	Heart
GSM4103456	right atrium Atrial Fibrillation	Heart
GSM4775487	control left atrium	Heart
GSM4775489	control left atrium	Heart
GSM4775491	control left atrium	Heart
GSM4775493	control left atrium	Heart
GSM4775495	control left atrium	Heart
GSM4775497	control left atrium	Heart
GSM4775499	control left atrium	Heart
GSM4775501	control left atrium	Heart
GSM4775503	control left atrium	Heart
GSM4775505	control left atrium	Heart
GSM4775488	control right atrium	Heart
GSM4775490	control right atrium	Heart
GSM4775492	control right atrium	Heart
GSM4775494	control right atrium	Heart
GSM4775496	control right atrium	Heart
GSM4775498	control right atrium	Heart
GSM4775500	control right atrium	Heart
GSM4775502	control right atrium	Heart
GSM4775504	control right atrium	Heart
GSM4775506	control right atrium	Heart
