gene_symbol	GSM1587297	GSM1587294	GSM1587299	GSM1587295	GSM1587296	GSM1587298
0610005C13Rik	5.87109375	5.359375	5.55859375	6.03515625	5.1953125	5.98828125
0610006L08Rik	3.607421875	3.541015625	3.66796875	3.953125	3.34375	3.849609375
0610007P14Rik	7.203125	6.99609375	7.02734375	6.90625	7.4140625	6.90625
0610009B22Rik	8.4140625	8.1015625	8.0703125	8.0390625	8.296875	7.953125
0610009L18Rik	6.2265625	6.33984375	5.79296875	6.30078125	5.91015625	6.203125
0610009O20Rik	6.51171875	6.537109375	6.59375	6.48046875	6.484375	6.4609375
0610010F05Rik	7.369140625	7.341796875	7.46875	7.158203125	7.515625	7.037109375
0610010K14Rik	7.1171875	6.91015625	6.908203125	6.857421875	7.490234375	6.78515625
0610011F06Rik	7.59765625	7.017578125	7.16796875	7.1015625	6.857421875	7.0546875
0610012G03Rik	7.80859375	7.682291666666667	7.794270833333333	7.729166666666667	7.7421875	7.796875
0610025J13Rik	5.0078125	5.1015625	4.9375	4.92578125	4.8671875	4.8125
0610030E20Rik	7.130859375	7.236328125	7.3828125	7.255859375	7.056640625	7.123046875
0610033M10Rik	4.62890625	4.90234375	5.02734375	5.125	4.64453125	5.15234375
0610037L13Rik	5.983984375	5.987890625	5.901953125	5.809765625	6.084765625	5.7890625
0610038B21Rik	5.08203125	5.0625	5.37890625	5.0078125	4.89453125	5.23828125
0610039K10Rik	3.400390625	3.5625	3.54296875	3.552734375	3.572265625	3.736328125
0610040A22Rik	2.939453125	3.103515625	2.814453125	2.787109375	2.890625	3.078125
0610040B10Rik	5.615234375	5.611328125	5.482421875	5.578125	5.69140625	5.337890625
0610040F04Rik	5.8671875	6.01953125	5.89453125	6.42578125	6.015625	6.3125
0610040J01Rik	6.125	5.78515625	6.265625	5.8359375	5.7734375	5.71484375
0610042E11Rik	3.7138671875	3.9296875	3.9296875	3.818359375	3.5224609375	3.74609375
0710001A04Rik	4.3046875	4.6953125	4.7421875	4.875	4.30078125	4.87109375
0710001D07Rik	5.90625	5.84765625	5.9453125	5.25	5.6640625	5.390625
1010001B22Rik	5.390625	5.46484375	5.4296875	5.61328125	5.32421875	5.53125
1010001I08Rik	2.654296875	2.71875	2.796875	2.861328125	2.63671875	2.626953125
1110002L01Rik	5.25	5.1015625	5.5	4.65234375	5.01953125	4.70703125
1110003F02Rik	6.5859375	6.56640625	6.76953125	6.73046875	6.12890625	6.46484375
1110004E09Rik	6.634765625	6.658203125	6.708984375	6.625	6.583984375	6.57421875
1110004F10Rik	8.7265625	8.6328125	8.703125	8.484375	9.046875	8.5390625
1110004M10Rik	3.55859375	3.87109375	3.9443359375	4.03515625	3.8505859375	4.1630859375
1110006E14Rik	3.3984375	3.36328125	3.4609375	3.259765625	3.400390625	3.033203125
1110006O24Rik	5.12890625	5.52734375	5.3046875	5.06640625	5.2265625	5.03125
1110008E08Rik	5.90625	6.00390625	6.359375	6.17578125	5.87890625	6.08984375
1110008F13Rik	7.126953125	7.09375	7.123046875	7.111328125	7.126953125	7.0859375
1110008L16Rik	7.05859375	7.16015625	7.31640625	7.12109375	7.2265625	6.79296875
1110008P14Rik	8.165364583333334	8.079427083333334	7.71484375	7.989583333333333	7.959635416666667	7.895833333333333
1110012L19Rik	7.43359375	7.1953125	7.5859375	6.66796875	7.3671875	6.75390625
1110014L15Rik	4.1796875	4.28125	4.50390625	4.34765625	4.15625	4.359375
1110015O18Rik	1.88671875	2.177734375	2.001953125	2.29296875	2.146484375	2.220703125
1110017D15Rik	6.67578125	5.28515625	6.39453125	5.015625	4.71484375	4.74609375
1110018N20Rik	3.8046875	3.673828125	3.84375	3.78125	3.79296875	3.787109375
1110019B22Rik	4.79296875	4.56640625	4.58984375	4.95703125	4.46875	4.63671875
1110019D14Rik	5.3125	5.28515625	5.0	4.98828125	5.19140625	4.859375
1110020A21Rik	6.62109375	6.71875	6.859375	6.67578125	6.3046875	6.51953125
1110020C17Rik	5.3203125	5.58203125	5.4296875	5.8125	5.265625	5.61328125
1110028F11Rik	3.7158203125	3.814453125	3.8271484375	3.966796875	3.9189453125	3.9560546875
1110028F18Rik	5.3359375	5.36328125	5.375	5.3984375	5.51171875	5.26953125
1110032A03Rik	7.193359375	7.228515625	7.24609375	6.986328125	7.046875	6.8125
1110032F04Rik	3.658203125	3.7275390625	3.8466796875	4.025390625	3.48828125	3.93359375
1110034G24Rik	6.83984375	6.626953125	6.92578125	6.2734375	6.6953125	6.296875
1110035E04Rik	3.048828125	3.220703125	3.5390625	3.4765625	3.029296875	3.48828125
1110035H17Rik	4.2421875	4.6015625	4.65234375	4.234375	4.3828125	4.48046875
1110037F02Rik	7.703125	7.7109375	7.802734375	7.509765625	8.041015625	7.55078125
1110038B12Rik	8.21875	7.9453125	8.1640625	7.49609375	8.3203125	7.41796875
1110038F14Rik	6.95703125	7.109375	6.625	6.96875	7.34375	7.0546875
1110046J04Rik	3.50390625	3.431640625	3.19140625	3.515625	3.453125	4.30859375
1110050P16Rik	3.8828125	3.951171875	4.23046875	4.51171875	4.12890625	4.609375
1110051M20Rik	6.921875	6.77734375	6.83984375	6.80859375	6.79296875	6.7421875
1110059E24Rik	7.953125	8.078125	8.0703125	8.21875	8.3671875	8.1484375
1110059G02Rik	7.9306640625	8.1064453125	7.7998046875	7.8271484375	8.0078125	6.818359375
1110059G10Rik	8.4921875	8.46875	8.65625	8.3515625	8.6328125	8.4140625
1110064A23Rik	6.03515625	6.0859375	6.6328125	5.40625	6.1171875	4.765625
1110065P20Rik	7.20703125	7.296875	7.0703125	7.09375	7.39453125	6.8828125
1190002N15Rik	6.5859375	6.5703125	6.346354166666667	6.260416666666667	6.608072916666667	6.033854166666667
1190003K10Rik	3.615234375	3.517578125	3.4921875	3.52734375	3.30859375	3.53515625
1190005I06Rik	7.828125	7.76953125	7.4453125	7.7109375	7.640625	7.30859375
1190007I07Rik	7.8125	7.7421875	7.90234375	7.8046875	7.75	7.80859375
1200003I10Rik	2.810546875	3.08203125	3.130859375	3.140625	3.044921875	3.044921875
1200007C13Rik	4.87890625	5.23046875	4.6875	5.3359375	4.9765625	5.26171875
1300002E11Rik	6.41796875	6.4140625	5.79296875	5.92578125	6.33203125	5.703125
1300014J16Rik	2.767578125	2.865234375	3.15234375	2.916015625	3.029296875	2.96875
1300017J02Rik	5.05078125	4.90625	4.83984375	5.9296875	5.01171875	5.64453125
130004C03	5.57421875	5.859375	5.5234375	5.62890625	6.2109375	5.66796875
1500002C15Rik	5.7578125	5.7734375	5.25390625	5.76171875	5.6796875	5.73046875
1500002F19Rik	3.1748046875	3.390625	3.3759765625	3.2333984375	3.4169921875	3.2529296875
1500002I01Rik	3.64453125	3.69140625	3.7109375	3.669921875	3.68359375	3.876953125
1500002K03Rik	3.216796875	3.134765625	3.052734375	3.279296875	2.9609375	3.390625
1500004A13Rik	3.107421875	3.0944010416666665	2.986328125	3.3092447916666665	2.9348958333333335	3.2024739583333335
1500004F05Rik	5.93359375	5.953125	6.26953125	6.06640625	6.16015625	6.11328125
1500005C15Rik	4.25390625	4.380859375	4.4287109375	4.677734375	4.359375	4.73046875
1500009C09Rik	4.4921875	4.57421875	4.17578125	4.43359375	4.4765625	4.5
1500009L16Rik	3.326171875	3.447265625	3.626953125	3.619140625	3.5087890625	3.69921875
1500011B03Rik	6.248046875	6.3828125	6.392578125	6.26953125	6.41796875	6.486328125
1500011K16Rik	8.8671875	8.8359375	8.84375	8.9296875	8.984375	9.0546875
1500015A07Rik	6.4765625	6.53125	6.69140625	6.546875	6.3671875	6.671875
1500015O10Rik	6.157552083333333	5.680989583333333	6.243489583333333	4.169921875	5.666015625	4.173177083333333
1500017E21Rik	2.07421875	2.283203125	2.150390625	1.9287109375	2.0234375	2.1796875
1500032P08Rik	5.30078125	5.4296875	5.94921875	5.55859375	5.49609375	5.54296875
