Sample_geo_accession	Condition	Group
GSM4747383	DMSO	Islets of Langerhans
GSM4747385	DMSO	Islets of Langerhans
GSM4747387	DMSO	Islets of Langerhans
GSM4747389	DMSO	Islets of Langerhans
GSM4747391	DMSO	Islets of Langerhans
GSM4747393	DMSO	Islets of Langerhans
GSM4747395	DMSO	Islets of Langerhans
GSM4747397	VCS	Islets of Langerhans
GSM4747399	VCS	Islets of Langerhans
GSM4747401	VCS	Islets of Langerhans
GSM4747403	VCS	Islets of Langerhans
GSM4747404	VCS	Islets of Langerhans
GSM4747406	VCS	Islets of Langerhans
GSM4747408	VCS	Islets of Langerhans
GSM4747410	TAC	Islets of Langerhans
GSM4747412	TAC	Islets of Langerhans
GSM4747414	TAC	Islets of Langerhans
GSM4747416	TAC	Islets of Langerhans
GSM4747418	TAC	Islets of Langerhans
GSM4747420	TAC	Islets of Langerhans
GSM4747422	TAC	Islets of Langerhans
