Sample_geo_accession	Condition	Group
GSM1881090	control	Skeletal Muscle
GSM1881091	control	Skeletal Muscle
GSM1881092	control	Skeletal Muscle
GSM1881093	control	Skeletal Muscle
GSM1881094	 High-Fat Diet: Day 5	Skeletal Muscle
GSM1881095	 High-Fat Diet: Day 5	Skeletal Muscle
GSM1881096	 High-Fat Diet: Day 5	Skeletal Muscle
GSM1881097	 High-Fat Diet: Day 5	Skeletal Muscle
GSM1881098	 High-Fat Diet: Day 42	Skeletal Muscle
GSM1881099	 High-Fat Diet: Day 42	Skeletal Muscle
GSM1881100	 High-Fat Diet: Day 42	Skeletal Muscle
GSM1881101	 High-Fat Diet: Day 42	Skeletal Muscle
