gene_symbol	GSM1631704	GSM1631700	GSM1631697	GSM1631702	GSM1631699	GSM1631698	GSM1631701	GSM1631703	GSM1631706	GSM1631705
0610005C13Rik	7.9140625	43.3125	33.15625	21.390625	8.890625	15.234375	10.953125	31.5625	13.1640625	49.09375
0610006L08Rik	23.609375	27.640625	9.328125	36.3125	24.984375	9.2265625	8.3359375	42.65625	59.71875	11.9453125
0610007P14Rik	724.5	866.5	905.5	958.0	633.5	849.0	814.5	847.0	947.0	910.0
0610009B22Rik	21712.0	17216.0	21728.0	19536.0	19536.0	15296.0	15728.0	17616.0	19792.0	19424.0
0610009L18Rik	3792.0	4028.0	3308.0	3634.0	4468.0	3778.0	3318.0	3754.0	4048.0	3916.0
0610009O20Rik	1055.5	1357.4375	1183.125	1000.375	1323.0	1433.5	1307.6875	1200.0	1377.125	1199.1875
0610010F05Rik	2378.375	2551.375	1913.375	2077.75	2310.125	1951.5	1956.25	2097.625	2150.625	2125.375
0610010K14Rik	2190.5	1776.5	1942.5	2134.5	2002.5	2056.5	2048.0	1904.5	2165.0	2347.0
0610011F06Rik	4884.0	3910.0	4507.0	4954.0	4912.0	4289.0	5166.0	4996.0	5249.0	5008.0
0610012G03Rik	9188.833333333334	8542.75	8952.666666666666	9649.666666666666	9266.666666666666	8759.333333333334	9918.916666666666	10089.0	8911.833333333334	10390.166666666666
0610025J13Rik	12.9921875	39.0	142.0	14.90625	94.5625	12.2890625	186.375	64.625	36.625	11.8203125
0610030E20Rik	915.0625	1299.125	1559.125	1249.75	1453.875	1515.125	1298.75	1101.75	1041.125	1658.125
0610033M10Rik	161.25	48.625	98.5625	149.875	33.9375	37.96875	93.0	94.5625	244.25	98.3125
0610037L13Rik	1750.575	1659.275	1608.275	1952.625	1448.0125	1549.75	1861.775	1726.075	1620.975	1675.975
0610038B21Rik	342.5	338.75	191.625	299.25	383.75	415.5	90.625	314.75	243.0	315.5
0610039K10Rik	22.625	22.3125	24.65625	6.015625	6.53515625	18.125	14.578125	55.46875	19.03125	12.3828125
0610040A22Rik	122.875	70.6875	94.75	18.203125	123.3125	123.1875	72.9375	218.75	149.375	78.4375
0610040B10Rik	441.390625	606.625	431.0	489.375	355.375	330.1875	484.3125	340.4375	596.875	654.125
0610040F04Rik	225.25	360.75	275.5	220.625	68.0625	180.125	291.0	226.625	189.5	345.75
0610040J01Rik	1236.0	1060.0	1362.0	1104.0	1591.0	1408.0	1685.0	1231.0	1217.0	1613.0
0610042E11Rik	21.87890625	33.234375	31.6015625	68.21875	23.6640625	69.515625	60.353515625	62.03515625	49.29296875	35.4296875
0710001A04Rik	10.6953125	18.265625	7.15625	19.578125	9.890625	50.40625	21.296875	15.8203125	15.421875	20.84375
0710001D07Rik	674.0	753.0	685.5	654.5	906.0	683.5	539.5	448.25	701.0	532.5
1010001B22Rik	73.9375	285.5	88.125	182.0	222.5	297.25	178.375	259.0	98.625	397.25
1010001I08Rik	25.234375	6.8046875	9.046875	13.859375	55.28125	24.65625	21.796875	11.7109375	94.1875	52.34375
1110002L01Rik	627.5	523.0	498.25	89.1875	498.75	530.5	560.0	393.5	747.5	650.0
1110003F02Rik	31.3125	44.6875	26.828125	29.625	52.5625	52.71875	55.40625	28.84375	34.28125	49.3125
1110004E09Rik	1678.03125	1216.4453125	1162.3671875	1394.0234375	1446.171875	1435.046875	1122.15625	1262.484375	1363.75	1326.46875
1110004F10Rik	6136.0	6372.0	6756.0	6840.0	6816.0	6556.0	6640.0	6200.0	6384.0	6308.0
1110004M10Rik	370.578125	478.4375	447.125	381.6953125	444.9375	479.03125	370.78125	375.015625	428.5	389.0625
1110006E14Rik	177.875	313.75	223.75	165.375	184.0	201.5	180.125	207.5	225.375	178.875
1110006O24Rik	99.1875	18.796875	33.84375	92.3125	92.375	64.875	12.078125	5.10546875	29.578125	28.234375
1110008E08Rik	270.0	385.25	367.5	220.625	179.75	289.0	207.375	325.0	361.25	204.25
1110008F13Rik	9844.5	8812.375	10457.125	10628.5	9438.375	9022.625	9629.875	9421.5	10702.125	10551.375
1110008L16Rik	987.5	947.5	877.5	1729.0	1523.0	1504.0	1170.0	1203.0	1412.0	1260.0
